keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Advance Auto Parts,Marietta,1001,#1001,220 Greene Street,OH,45750
Advance Auto Parts,Bridgeport,1002,#1002,916 National Road,OH,43912
Advance Auto Parts,Lancaster,1003,#1003,1208 N. Memorial Drive,OH,43130
Advance Auto Parts,Bellaire,1004,#1004,310 28Th St.,OH,43906
Advance Auto Parts,Springfield,1005,#1005,1751 S. Limestone St.,OH,45505
Advance Auto Parts,Springfield,1006,#1006,1831 East Main Street,OH,45503
Advance Auto Parts,Piqua,1007,#1007,113 South College St.,OH,45356
Advance Auto Parts,Chillicothe,1008,#1008,1038 North Bridge St.,OH,45601
Advance Auto Parts,Heath,1009,#1009,744 Hebron Rd.,OH,43056
Advance Auto Parts,Coshocton,1011,#1011,329 South 2Nd St.,OH,43812
Advance Auto Parts,Nelsonville,1012,#1012,1160 E Canal St.,OH,45764
Advance Auto Parts,Mansfield,1013,#1013,976 West 4Th St.,OH,44906
Advance Auto Parts,Springfield,1014,#1014,660 N. Limestone St.,OH,45503
Advance Auto Parts,Findlay,1015,#1015,932 Tiffin Ave.,OH,45840
Advance Auto Parts,Paulding,1016,#1016,1051 North Williams St.,OH,45879
Advance Auto Parts,St. Marys,1017,#1017,1407 Commerce Drive,OH,45885
Advance Auto Parts,Alliance,1018,#1018,2240 West State St.,OH,44601
Advance Auto Parts,Celina,1021,#1021,521 Grand Lake Rd.,OH,45822
Advance Auto Parts,Uhrichsville,1022,#1022,1720 Commerce Drive,OH,44683
Advance Auto Parts,Lima,1023,#1023,1133 Bellefontaine Ave.,OH,45804
Advance Auto Parts,Columbus,1024,#1024,1354 Harrisburg Pike,OH,43223
Advance Auto Parts,Columbus,1025,#1025,5819 Cleveland Ave.,OH,43231
Advance Auto Parts,Lima,1026,#1026,2008 Elida Road,OH,45805
Advance Auto Parts,Canal Fulton,1027,#1027,2055 South Locust St.,OH,44614
Advance Auto Parts,New Carlisle,1028,#1028,439 North Main Street.,OH,45344
Advance Auto Parts,Columbus,1029,#1029,3960 Cleveland Ave.,OH,43224
Advance Auto Parts,Columbus,1033,#1033,3511 Sullivant Ave.,OH,43204
