keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Bi-Lo,Simpsonville,57,#57,2607 Woodruff Road,SC,29681
Bi-Lo,Augusta,514,#514,2803 Wrightsboro Rd.,GA,30909
Bi-Lo,Simpsonville,624,#624,699 Fairview Rd,SC,29680
Bi-Lo,Greenville,5006,#5006,2712 Anderson Rd.,SC,29611
Bi-Lo,Franklin,5011,#5011,245 Macon Plaza,NC,28734
Bi-Lo,Greenville,5012,#5012,505-A North Main Street,SC,29601
Bi-Lo,Greenville,5016,#5016,6 K-Mart Plaza,SC,29602
Bi-Lo,Metter,5022,#5022,155 South Leroy St.,GA,30439
Bi-Lo,Concord,5026,#5026,595 Hwy 601 Bypass South,NC,28025
Bi-Lo,Millen,5031,#5031,540 East Winthrop Ave.,GA,30442
Bi-Lo,Hartsville,5032,#5032,819 West Carolina Ave.,SC,29550
Bi-Lo,Lancaster,5041,#5041,571 E Bypass 9,SC,29720
Bi-Lo,Woodruff,5042,#5042,372 South Main Street,SC,29388
Bi-Lo,Clinton,5046,#5046,927 S Broad Street,SC,29325
Bi-Lo,Columbia,5064,#5064,3315 Broad River Rd,SC,29210
Bi-Lo,Columbia,5065,#5065,7830 Garners Ferry,SC,29209
Bi-Lo,North Charleston,5074,#5074,1357 Remount Rd.,SC,29406
Bi-Lo,Landrum,5085,#5085,1750 Hwy 14 East,SC,29356
Bi-Lo,Inman,5089,#5089,11153 Asheville Hwy.,SC,29349
Bi-Lo,Greenville,5092,#5092,3715 E. North St.,SC,29615
Bi-Lo,Belmont,5093,#5093,6507 Wilkinson Blvd.,NC,28012
Bi-Lo,Seneca,5097,#5097,191 Bilo Pl,SC,29678
Bi-Lo,Mt. Pleasant,5101,#5101,1440 Ben Sawyer Blvd.,SC,29464
Bi-Lo,Martinez,5103,#5103,500 Fury's Ferry Road,GA,30907
Bi-Lo,Surfside Beach,5104,#5104,1610 Hwy. 17 South,SC,29575
Bi-Lo,North Myrtle Beach,5105,#5105,720 N Main Street,SC,29582
Bi-Lo,Socastee,5107,#5107,5020 Dick Pond Road,SC,29588
Bi-Lo,Boiling Springs,5113,#5113,3720 Boiling Springs Road,SC,29316
Bi-Lo,Myrtle Beach,5116,#5116,1241 38th Avenue North,SC,29582
Bi-Lo,Lexington,5135,#5135,421 Columbia Ave.,SC,29072
Bi-Lo,Greenville,5150,#5150,3619 Pelham Rd.,SC,29615
Bi-Lo,Charleston,5153,#5153,3125 Bees Ferry Road,SC,29414
Bi-Lo,Charlotte,5156,#5156,8620 Camfield Street,NC,28277
Bi-Lo,Beaufort,5158,#5158,2127 Boundary St.,SC,29902
Bi-Lo,Greer,5161,#5161,1365 W. Wade Hampton Blvd.,SC,29650
Bi-Lo,Hilton Head Island,5164,#5164,95 Mathews Drive,SC,29928
Bi-Lo,Waynesville,5168,#5168,366 Russ Avenue,NC,28786
Bi-Lo,Honea Path,5172,#5172,500 East Greer St.,SC,29654
Bi-Lo,Royston,5173,#5173,1041 Franklin Springs Street,GA,30662
Bi-Lo,Chesnee,5178,#5178,712 S. Alabama Ave.,SC,29323
Bi-Lo,Lancaster,5181,#5181,1256 Hwy 9 Bypass,SC,29720
Bi-Lo,Spartanburg,5182,#5182,2401 Reidville Rd.,SC,29301
Bi-Lo,Kannapolis,5185,#5185,1351 S. Cannon Blvd.,NC,28081
Bi-Lo,Mauldin,5188,#5188,207 W. Butler Rd,SC,29662
Bi-Lo,Greenville,5195,#5195,2435 East North Street,SC,29615
Bi-Lo,Easley,5199,#5199,5155 Calhoun Memorial Hwy,SC,29640
Bi-Lo,Charlotte,5200,#5200,5336 Prosperity Church Road,NC,28269
Bi-Lo,Gastonia,5206,#5206,2204 Union Rd.,NC,28054
Bi-Lo,Marion,5211,#5211,500 North Main St.,NC,28752
Bi-Lo,Gaffney,5214,#5214,1013 W. Floyd Baker Blvd.,SC,29340
Bi-Lo,Asheville,5217,#5217,801 Fairview Rd.,NC,28803
Bi-Lo,Columbia,5218,#5218,9003 Two Notch Road,SC,29223
Bi-Lo,Lincolnton,5219,#5219,427 North Generals Blvd.,NC,28093
Bi-Lo,Waynesboro,5224,#5224,263 Liberty St.,GA,30830
Bi-Lo,Summerville,5228,#5228,975 Bacons Bridge Rd.,SC,29485
Bi-Lo,Newton,5229,#5229,2725 E Northwest Blvd.,NC,28658
Bi-Lo,Cheraw,5232,#5232,8 Chesterfield Rd.,SC,29520
Bi-Lo,Charlotte,5237,#5237,6320 Albemarle Road,NC,28212
Bi-Lo,Goose Creek,5246,#5246,142 E. St. James Avenue,SC,29445
Bi-Lo,Pelzer,5256,#5256,330 Lebby Street,SC,29669
Bi-Lo,Aiken,5262,#5262,1016 Pine Log Road,SC,29803
Bi-Lo,Spartanburg,5265,#5265,100 North Town Drive,SC,29303
Bi-Lo,North Charleston,5266,#5266,4391 Dorchester Rd.,SC,29405
Bi-Lo,Laurens,5267,#5267,1500 Western Square Drive,SC,29360
Bi-Lo,Chester,5268,#5268,1436 J.A. Cochran Bypass,SC,29706
Bi-Lo,Conway,5269,#5269,901 Church Street,SC,29527
Bi-Lo,Anderson,5270,#5270,2901 South Main St.,SC,29624
Bi-Lo,Columbia,5271,#5271,2230 Decker Blvd.,SC,29223
Bi-Lo,Greenville,5273,#5273,1818 Woodruff Rd.,SC,29607
Bi-Lo,Greer,5274,#5274,2460 Hudson Rd.,SC,29651
Bi-Lo,Hilton Head Island,5275,#5275,70 Pope Avenue,SC,29928
Bi-Lo,Thomson,5276,#5276,687 Main Street,GA,30824
Bi-Lo,Anderson,5277,#5277,1706 E. Greenville St.,SC,29621
Bi-Lo,Charlotte,5279,#5279,9108 Lawyers Rd.,NC,28227
Bi-Lo,Abbeville,5280,#5280,809 W Greenwood Street,SC,29620
Bi-Lo,Columbia,5282,#5282,4464 Devine St.,SC,29205
Bi-Lo,Easley,5283,#5283,1021 S. Pendleton St.,SC,29642
Bi-Lo,Moncks Corner,5284,#5284,"110 BI-LO Drive, Suite B",SC,29461
Bi-Lo,Newberry,5285,#5285,1937 Wilson Rd.,SC,29108
Bi-Lo,Mt. Pleasant,5286,#5286,1909 N Highway 17,SC,29464
Bi-Lo,York,5287,#5287,717D East Liberty Street,SC,29745
Bi-Lo,Pisgah Forest,5288,#5288,41 Forest Gate Dr.,NC,28768
Bi-Lo,Taylors,5289,#5289,3039 Wade Hampton Blvd.,SC,29687
Bi-Lo,Columbia,5290,#5290,3900-B N. Main St.,SC,29203
Bi-Lo,Elberton,5291,#5291,709 Lower Heard Street,GA,30635
Bi-Lo,Hephzibah,5292,#5292,2512 Tobacco Road,GA,30815
Bi-Lo,Summerville,5296,#5296,1452 Boone Hill Rd.,SC,29483
Bi-Lo,Greer,5297,#5297,715 E. Wade Hampton Blvd.,SC,29651
Bi-Lo,Chattanooga,5301,#5301,7804 E. Brainerd Rd.,TN,37421
Bi-Lo,Chattanooga,5305,#5305,1600 E. 23rd St.,TN,37403
Bi-Lo,Chattanooga,5315,#5315,703 Signal Mountain Road,TN,37405
Bi-Lo,Dayton,5324,#5324,420 Market Street,TN,37321
Bi-Lo,Chattanooga,5326,#5326,"3600 Hixson Pike, Suite 138",TN,37415
Bi-Lo,Trenton,5333,#5333,112 Crimson Drive,GA,30752
Bi-Lo,Chattanooga,5335,#5335,6951 Lee Highway,TN,37421
Bi-Lo,Cleveland,5343,#5343,2310 McGrady Drive,TN,37311
Bi-Lo,Ft. Oglethorpe,5346,#5346,1873 Battlefield Pkwy.,GA,30742
Bi-Lo,Etowah,5347,#5347,841 U.S. 411 North,TN,37331
Bi-Lo,Ft. Oglethorpe,5349,#5349,531 Battlefield Pkwy.,GA,30742
Bi-Lo,Lafayette,5352,#5352,311 North Main St.,GA,30728
Bi-Lo,Chattanooga,5359,#5359,4011 Brainerd Rd.,TN,37411
Bi-Lo,Ooltewah,5373,#5373,9213 Lee Highway,TN,37363
Bi-Lo,Rossville,5406,#5406,319 Chickamauga Avenue,GA,30741
Bi-Lo,Spartanburg,5408,#5408,2199 Southport Road,SC,29306
Bi-Lo,Charleston,5409,#5409,1200 Sam Rittenburg Blvd.,SC,29407
Bi-Lo,Mt. Pleasant,5410,#5410,774 S. Shelmore Blvd.,SC,29464
Bi-Lo,Cleveland,5412,#5412,255 Ocoee Crossing NW,TN,37312
Bi-Lo,Charlotte,5413,#5413,2924 Mt. Holly - Huntersville Road,NC,28214
Bi-Lo,Blairsville,5415,#5415,342 Blue Ridge Street,GA,30512
Bi-Lo,Sumter,5417,#5417,2055 Wedgefield Road,SC,29154
Bi-Lo,Seneca,5419,#5419,115 Rochester Hwy,SC,29672
Bi-Lo,Statesville,5420,#5420,1909 E. Broad Street,NC,28677
Bi-Lo,Candler,5421,#5421,511 Smokey Park Hwy,NC,28715
Bi-Lo,Aiken,5423,#5423,1149 York Street,SC,29801
Bi-Lo,Red Bank,5427,#5427,3901 Dayton Blvd.,TN,37415
Bi-Lo,Chatsworth,5430,#5430,502 G.I. Maddox Parkway,GA,30705
Bi-Lo,Sylvania,5431,#5431,1109 W. Ogeechee St.,GA,30467
Bi-Lo,Edgefield,5432,#5432,155 Carolina Square,SC,29824
Bi-Lo,Morganton,5437,#5437,1555 E. Union Street,NC,28655
Bi-Lo,Kingstree,5441,#5441,1319 N LongStreet st,SC,29556
Bi-Lo,Columbia,5442,#5442,6021 St. Andrews Road,SC,29212
Bi-Lo,Charlotte,5444,#5444,1620 Ashley Road,NC,28208
Bi-Lo,Charlotte,5445,#5445,4430 The Plaza,NC,28215
Bi-Lo,Lyman,5446,#5446,12189 Greenville Hwy,SC,29365
Bi-Lo,Charleston,5448,#5448,860 Folly Road,SC,29412
Bi-Lo,Litchfield,5461,#5461,14427 Ocean Hwy Unit 4301,SC,29585
Bi-Lo,East Ridge,5510,#5510,3715 Ringgold Rd.,TN,37412
Bi-Lo,Orangeburg,5513,#5513,365 STONEWALL JACKSON BLVD,SC,29115
Bi-Lo,Spartanburg,5519,#5519,140 Fernwood Dr.,SC,29307
Bi-Lo,Winnsboro,5521,#5521,1126 US Highway 321 Bus S,SC,29180
Bi-Lo,North Augusta,5522,#5522,111 Edgewood Avenue,SC,29841
Bi-Lo,Beaufort,5525,#5525,860 Paris Island Gateway,SC,29906
Bi-Lo,Irmo,5526,#5526,200 Friarsgate Boulevard,SC,29063
Bi-Lo,Vidalia,5534,#5534,1101 East First Street,GA,30474
Bi-Lo,Soddy Daisy,5538,#5538,10161 Old Dayton Pike,TN,37379
Bi-Lo,Clemson,5539,#5539,501 Old Greenville Hwy.,SC,29631
Bi-Lo,Augusta,5542,#5542,3457 Peach Orchard Road,GA,30906
Bi-Lo,Black Mountain,5547,#5547,205 NC Hwy 9,NC,28711
Bi-Lo,Florence,5550,#5550,500 Pamplico Hwy.,SC,29501
Bi-Lo,Pickens,5552,#5552,2700 Gentry Memorial Hwy,SC,29671
Bi-Lo,Greenwood,5553,#5553,2010 Montague Avenue,SC,29646
Bi-Lo,Rutherfordton,5554,#5554,145 US Highway 74A,NC,28139
Bi-Lo,Greenwood,5555,#5555,714 Bypass 25 NE,SC,29646
Bi-Lo,Batesburg,5558,#5558,249 West Columbia Ave.,SC,29006
Bi-Lo,Augusta,5560,#5560,1631 Gordon Highway,GA,30906
Bi-Lo,Greenville,5563,#5563,1315 S. Pleasantburg,SC,29605
Bi-Lo,Pendleton,5566,#5566,7709 Hwy. 76,SC,29670
Bi-Lo,Statesboro,5567,#5567,34 Statesboro Mall,GA,30458
Bi-Lo,Greenville,5568,#5568,3518 Hwy 153,SC,29611
Bi-Lo,Washington,5577,#5577,136 Washington Plaza,GA,30673
Bi-Lo,Cayce,5578,#5578,2453 Charleston Hwy.,SC,29033
Bi-Lo,West Columbia,5580,#5580,2916 Emanuel Church Road,SC,29170
Bi-Lo,Greenville,5581,#5581,3220 W. Blue Ridge Dr.,SC,29611
Bi-Lo,Stanley,5582,#5582,421 Hwy 27 South,NC,28164
Bi-Lo,Darlington,5587,#5587,508 Lamar Hwy.,SC,29532
Bi-Lo,Florence,5593,#5593,2640 W Palmetto Street,SC,29501
Bi-Lo,Hendersonville,5603,#5603,120 Henderson Crossing,NC,28739
Bi-Lo,Clearwater,5604,#5604,4435 Jefferson Davis Hwy.,SC,29822
Bi-Lo,Gastonia,5605,#5605,1955 Davis Park Rd.,NC,28052
Bi-Lo,Chattanooga,5606,#5606,4510 Highway 58,TN,37416
Bi-Lo,Monroe,5607,#5607,1642 Dickerson Blvd.,NC,28110
Bi-Lo,Greenville,5608,#5608,2111 North Pleasantburg Drive,SC,29611
Bi-Lo,Fountain Inn,5612,#5612,1103 North Main St.,SC,29644
Bi-Lo,Berea,5613,#5613,7 Farrs Bridge Road,SC,29617
Bi-Lo,East Ridge,5614,#5614,6723 Ringgold Rd.,TN,37412
Bi-Lo,West Columbia,5615,#5615,2349 Augusta Rd.,SC,29169
Bi-Lo,Rossville,5617,#5617,820 Mission Ridge Rd.,GA,30741
Bi-Lo,Columbus,5620,#5620,651 W. Mills Street,NC,28722
Bi-Lo,Summerville,5623,#5623,1625 N. Main St.,SC,29483
Bi-Lo,Martinez,5625,#5625,4480 Columbia Rd.,GA,30907
Bi-Lo,Anderson,5626,#5626,3233 Mall Rd.,SC,29621
Bi-Lo,Bennettsville,5631,#5631,1085 Cottingham Blvd. N.,SC,29512
Bi-Lo,Gastonia,5633,#5633,2601 South New Hope Road,NC,28056
Bi-Lo,Pageland,5637,#5637,501 South Pearl Street,SC,29728
Bi-Lo,Columbia,5638,#5638,120 Forum Drive,SC,29229
Bi-Lo,Dalton,5639,#5639,1287 Cleveland Hwy.,GA,30720
Bi-Lo,Pineville,5640,#5640,9101 Pineville-Matthews Road,NC,28134
Bi-Lo,Summerville,5645,#5645,10150 Dorchester Road,SC,29485
Bi-Lo,Travelers Rest,5653,#5653,148 Walnut Lane,SC,29690
Bi-Lo,Orangeburg,5655,#5655,1370 Chestnut N.E.,SC,29115
Bi-Lo,Simpsonville,5661,#5661,120 Hwy 14,SC,29681
Bi-Lo,Chattanooga,5673,#5673,1667 Ooltewah-Ringgold Road,TN,37363
Bi-Lo,North Myrtle Beach,5702,#5702,3924 Hwy 17 South,SC,29582
Bi-Lo,Hixson,5703,#5703,5604 Hixson Pike,TN,37343
Bi-Lo,Greenville,5704,#5704,"101 Verdae Blvd, Suite 1200",SC,29607
Bi-Lo,Walterboro,5707,#5707,550 Robertson Blvd,SC,29488
Bi-Lo,Anderson,5709,#5709,4405 HWY 24,SC,29626
Bi-Lo,Hampton,5712,#5712,1703 Elm Street W.,SC,29924
Bi-Lo,Hixson,5713,#5713,8530 Hixson Pike,TN,37343
Bi-Lo,Chattanooga,5714,#5714,3801 Tennessee Ave.,TN,37409
Bi-Lo,Harrison,5715,#5715,8634 Highway 58,TN,37341
Bi-Lo,Rock Hill,5716,#5716,1401 E. Main St.,SC,29730
Bi-Lo,Lincolnton,5717,#5717,742 West Highway 27,NC,28092
Bi-Lo,York,5719,#5719,1095 Filbert Hwy,SC,29745
Bi-Lo,Fort Mill,5720,#5720,1329 West Highway 160,SC,29715
Bi-Lo,Chapin,5722,#5722,1419 Chapin Road,SC,29036
Bi-Lo,Cayce,5723,#5723,300 Knox Abbott Drive,SC,29033
Bi-Lo,Hanahan,5726,#5726,1000 Tanner Ford Blvd.,SC,29410
Bi-Lo,Union,5740,#5740,320 North Duncan Bypass,SC,29379
Bi-Lo,Pawleys Island,5741,#5741,115 Willbrook Boulevard,SC,29585
Bi-Lo,EDISTO ISLAND,5742,#5742,104 Jungle Road,SC,29438
Bi-Lo,JOHNS ISLAND,5743,#5743,3575 Maybank Highway,SC,29455
Bi-Lo,GLENNVILLE,5744,#5744,312 South Main Street,GA,30427
Bi-Lo,Charleston,5745,#5745,445 Meeting Street,SC,29403
Bi-Lo,Pooler,5746,#5746,1042 US Highway 80 West,GA,31322
Bi-Lo,Mullins,5747,#5747,208 East McIntyre Street,SC,29574
Bi-Lo,Bamberg,5748,#5748,3386 Railroad Avenue,SC,29003
Bi-Lo,Ladson,5749,#5749,9616 Highway 78,SC,29456
Bi-Lo,Charleston,5751,#5751,630 Skylark Drive,SC,29407
Bi-Lo,Garden City,5752,#5752,4415 Augusta Street,GA,31408
Bi-Lo,St Matthews,5753,#5753,615 Harry C Raysor Drive South,SC,29135
Bi-Lo,Darien,5754,#5754,1338 North Way,GA,31305
Bi-Lo,Greenwood,5755,#5755,3353 Highway 72/221 East,SC,29649
Bi-Lo,Lexington,5757,#5757,760 Highway 378,SC,29072
Bi-Lo,Murrells Inlet,5758,#5758,4430 Highway 17 Bypass,SC,29576
Bi-Lo,Columbia,5759,#5759,4711-1 Forest Drive,SC,29206
Bi-Lo,Bluffton,5760,#5760,50 Burnt Church Road,SC,29910
Bi-Lo,Savannah,5761,#5761,7360 Skidaway Road,GA,31406
Bi-Lo,Prosperity,5762,#5762,518 North Wheeler Avenue,SC,29127
Bi-Lo,Savannah,5763,#5763,2142 East Victory Drive,GA,31404
Bi-Lo,Clover,5764,#5764,136 South Main Street,SC,29710
