keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Bob's Store,E. Northport,1,#1 #001 #0001,3083 Jericho Turnpike,NY,11731
Bob's Store,Selden,2,#2 #002 #0002,"College Plaza, 15 College Plaza",NY,11784
Bob's Store,Patchogue,3,#3 #003 #0003,"Gateway Plaza, 499 Sunrise Hwy",NY,11772
Bob's Store,West Islip,4,#4 #004 #0004,"South Bay Commons, 135-187 Sunrise Hwy",NY,11795
Bob's Store,Middletown,5,#5 #005 #0005,"Stop and Shop Plaza, 416 East Main St",CT,6457
Bob's Store,Enfield,6,#6 #006 #0006,"Enfield Commons, 25 Hazard Avenue",CT,6082
Bob's Store,Raynham,7,#7 #007 #0007,"Cape Roads Plaza, 600 South Street West",MA,2767
Bob's Store,Waterbury,8,#8 #008 #0008,910 Wolcott St.,CT,6705
Bob's Store,Newington,9,#9 #009 #0009,"Shaws Plaza, 172 Kitts Lane",CT,6111
Bob's Store,Milford,10,#10 #0010 #00010,195 Cherry Street,CT,6460
Bob's Store,Cranston,12,#12 #0012 #00012,1400 Oaklawn Avenue,RI,2920
Bob's Store,Middleton,13,#13 #0013 #00013,"Marketplace Shopping Center, 230 S. Main Street, RT 114",MA,1949
Bob's Store,Danbury,15,#15 #0015 #00015,114 Federal Road,CT,6811
Bob's Store,Simsbury,16,#16 #0016 #00016,"Simsbury Commons, 504 Bushy Hill Rd",CT,6070
Bob's Store,Randolph,17,#17 #0017 #00017,"Randolph Crossing Plaza, Route 139 & 24, 100 Mazzeo ",MA,2368
Bob's Store,Billerica,18,#18 #0018 #00018,"Towne Plaza, 700 Boston Road",MA,1821
Bob's Store,Freehold,19,#19 #0019 #00019,"Freehold Raceway Plaza, 91 Trotters Way",NJ,7728
Bob's Store,Franklin,20,#20 #0020 #00020,"Horace Mann Plaza, 273 East Central Street",MA,2038
Bob's Store,Shrewsbury,21,#21 #0021 #00021,"Shrewsbury Retail Center, 571 Boston Turnpike, Suite C",MA,1545
Bob's Store,Seekonk,24,#24 #0024 #00024,"Bayberry Plaza, 150 Highland Ave, Route 6",MA,2771
Bob's Store,Salem,27,#27 #0027 #00027,"Rockingham Mall, 92 Cluff Crossing",NH,3079
Bob's Store,Nashua,30,#30 #0030 #00030,"Turnpike Plaza, 255-269 Amherst Street",NH,3063
Bob's Store,Framingham,31,#31 #0031 #00031,"Shoppers World, 1 Worcester Rd",MA,1701
Bob's Store,Manchester,32,#32 #0032 #00032,220 Hale Road,CT,6040
Bob's Store,Fitchburg,34,#34 #0034 #00034,"Twin City Plaza, 146 Whalon Street",MA,1420
Bob's Store,Ansonia,38,#38 #0038 #00038,"Ansonia Shopping Center, 409 Main St",CT,6401
Bob's Store,Bedford,39,#39 #0039 #00039,"Bedford Mall, 73 South River Road (Route 3)",NH,3110
Bob's Store,Norwalk ,42,#42 #0042 #00042,"Main Ave. Shopping Center, 380 Main Ave",CT,6850
Bob's Store,South Attleboro,44,#44 #0044 #00044,"Bristol Place Shopping Center, 1110 Newport Ave",MA,2703
Bob's Store,Saugus,77,#77 #0077 #00077,1020 Broadway,MA,1906
Bob's Store,Totowa,78,#78 #0078 #00078,"Channel Shopping Plaza, 465 Route 46",NJ,7511
Bob's Store,Springfield,79,#79 #0079 #00079,350 Route 22,NJ,7081
Bob's Store,Hamden,81,#81 #0081 #00081,2300 Dixwell Avenue,CT,6514
Bob's Store,Waterford,83,#83 #0083 #00083,"Crossroads Center, 167 Waterford Parkway North",CT,6385
Bob's Store,Fairfield,96,#96 #0096 #00096,"Fairfield Shopping Center, 889 Post Road",CT,6430
