keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Buckle,Kearney,1,#1,2407 W 24th Street P.O. Box 1480,NE,68845
Buckle,Columbus,2,#2,118 E 24th Street,NE,68601
Buckle,Norfolk,4,#4,1700 Market Lane,NE,68701
Buckle,Wichita,5,#5,7700 E Kellogg Space R-3,KS,67207
Buckle,Hays,6,#6,2918 Vine Street Suite 300,KS,67601
Buckle,Grand Island,7,#7,3404 W 13th Street Space 132,NE,68803
Buckle,Storm Lake,8,#8,521 Lake Avenue,IA,50588
Buckle,Scottsbluff,9,#9,2302 Frontage Road Suite 27,NE,69361
Buckle,Salina,10,#10,2259 South 9th Space 50,KS,67401
Buckle,Great Bend,11,#11,1313 Main Street,KS,67530
Buckle,McCook,13,#13,218 N Highway 83 Space 1,NE,69001
Buckle,North Platte,14,#14,1000 S Dewey Space 120,NE,69101
Buckle,Liberal,15,#15,1533 N Kansas Avenue,KS,67901
Buckle,Dodge City,16,#16,2601 Central,KS,67801
Buckle,Beatrice,17,#17,2205 N 6th Street Space 20,NE,68310
Buckle,Lincoln,18,#18,6100 O Street Space 141,NE,68505
Buckle,Spencer,19,#19,901 11th Street SW,IA,51301
Buckle,Sterling,20,#20,1305 W Main Street,CO,80751
Buckle,Garden City,22,#22,2214 E Kansas Avenue,KS,67846
Buckle,Carroll,23,#23,529 N Adams,IA,51401
Buckle,Manhattan,24,#24,100 Manhattan Town Ctr Suite 695,KS,66502
Buckle,Emporia,25,#25,1682 Industrial Road,KS,66801
Buckle,Wichita,26,#26,4600 W Kellogg Dr.,KS,67209
Buckle,Pittsburg,27,#27,202 E Centennial,KS,66762
Buckle,Kearney,28,#28,5019 2nd Avenue Suite 36,NE,68847
Buckle,Lawrence,29,#29,805 Massachusetts Street,KS,66044
Buckle,Ponca City,30,#30,2101 N 14th Street,OK,74601
Buckle,Mason City,31,#31,100 S. Federal Ave. Space 106,IA,50401
Buckle,Hutchinson,32,#32,1500 East 11th Ave. Suite 40,KS,67501
Buckle,Sioux City,33,#33,4400 Sergeant Rd. Space 408,IA,51106
Buckle,Bartlesville,34,#34,2350 SE Washington Blvd Space 218,OK,74006
Buckle,Fremont,35,#35,920 E 23rd Street Space D-06,NE,68025
Buckle,Columbia,36,#36,2300 Bernadette Drive Space 614,MO,65203
Buckle,Council Bluffs,37,#37,1751 Madison Avenue Space 510,IA,51501
Buckle,Ardmore,39,#39,1211 N Commerce Space B3,OK,73401
Buckle,Joplin,40,#40,101 N Range Line Road Space B-11-4,MO,64801
Buckle,Stillwater,43,#43,719 N Perkins Road,OK,74075
Buckle,Sedalia,44,#44,890 Thompson Blvd.,MO,65301
Buckle,Fayetteville,45,#45,4201 N Shiloh Dr.,AR,72703
Buckle,Jonesboro,46,#46,3000 E Highland Dr Space 213,AR,72401
Buckle,Fort Smith,47,#47,5111 Rogers Ave Space 142,AR,72903
Buckle,Jefferson City,48,#48,3600 Country Club Dr Space 1118,MO,65109
Buckle,Lawton,49,#49,143 Central Mall,OK,73501
Buckle,Topeka,50,#50,1801 SW Wanamaker Rd Space A-07-B,KS,66604
Buckle,Madison,52,#52,20 E Towne Mall,WI,53704
Buckle,Sioux Falls,53,#53,4001 W 41st Street Ste 30,SD,57106
Buckle,Muskogee,54,#54,501 N Main Space 80,OK,74401
