keywords,city,Aggdata Store Number,store_number,address,state,zip_code
California Pizza Kitchen,Los Angeles,0,0 00 000,Ronald Tutor Student Campus Center,CA,90089
California Pizza Kitchen,Beverly Hills,1,1 01 001,207 S. Beverly Dr.,CA,90212
California Pizza Kitchen,Los Angeles,2,2 02 002,121 N. La Cienega Blvd.,CA,90048
California Pizza Kitchen,Atlanta,4,4 04 004,"3393 Peachtree Road, N.E.",GA,30326
California Pizza Kitchen,Honolulu,5,5 05 005,4211 Waialae Avenue,HI,96816
California Pizza Kitchen,Brentwood,6,6 06 006,11677 San Vicente Blvd.,CA,90049
California Pizza Kitchen,Newport Beach,7,7 07 007,1151 Newport Center Drive,CA,92660
California Pizza Kitchen,Las Vegas,10,10 010 0010,3400 Las Vegas Blvd. South,NV,89109
California Pizza Kitchen,McLean,11,11 011 0011,7939 L. Tysons Corner Ctr,VA,22102
California Pizza Kitchen,Los Angeles,12,12 012 0012,330 S. Hope St.,CA,90071
California Pizza Kitchen,Studio City,13,13 013 0013,12265 Ventura Blvd.,CA,91604
California Pizza Kitchen,Marina Del Rey,14,14 014 0014,13345 Fiji Way,CA,90292
California Pizza Kitchen,Redondo Beach,16,16 016 0016,1815 Hawthorne Blvd.,CA,90278
California Pizza Kitchen,Oak Brook,22,22 022 0022,551 Oak Brook Center,IL,60523
California Pizza Kitchen,Santa Barbara,23,23 023 0023,719 Paseo Nuevo,CA,93101
California Pizza Kitchen,Pasadena,24,24 024 0024,99 N. Los Robles Ave.,CA,91101
California Pizza Kitchen,Solana Beach,25,25 025 0025,437 S. Highway 101,CA,92075
California Pizza Kitchen,Encino,27,27 027 0027,16101 Ventura Blvd.,CA,91436
California Pizza Kitchen,Richmond Heights,28,28 028 0028,1493 St. Louis Galleria,MO,63117
California Pizza Kitchen,Bethesda,29,29 029 0029,7101 Democracy Blvd.,MD,20817
California Pizza Kitchen,Palm Desert,30,30 030 0030,"73-080 El Paseo, Suite 8",CA,92260
