keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Casual Male XL,Rochester,1174,#1174,951 Jefferson Road,NY,14623
Casual Male XL,Manhattan,1292,#1292,1830 South Road,NY,12601
Casual Male XL,Pleasant Hill,1417,#1417,4938 S. Staples Street,TX,78411
Casual Male XL,Lakewood,1540,#1540,695 6th Avenue,NY,10010
Casual Male XL,San Francisco,1708,#1708,651 Contra Costa Blvd,CA,94523
Casual Male XL,Beverly Hills,1746,#1746,4437 Candlewood Street,CA,90712
Casual Male XL,Boston,5000,#5000,700 Mission Street,CA,94103
Casual Male XL,New York,5008,#5008,9737 Wilshire Blvd,CA,90212
Casual Male XL,Dallas,5012,#5012,399 Boylston Street,MA,2116
Casual Male XL,Washington,5013,#5013,1301 Avenue Of The Americas,NY,10019
Casual Male XL,Aventura,5014,#5014,11661 Preston Road,TX,75230
Casual Male XL,Manhasset,5016,#5016,1020 Connecticut Avenue NW,DC,20036
Casual Male XL,Boca Raton,5025,#5025,18801-A Biscayne Blvd,FL,33180
Casual Male XL,Chicago,5029,#5029,1625 Northern Boulevard,NY,11030
Casual Male XL,Atlanta,5103,#5103,2301 Glades Road,FL,33431
Casual Male XL,Lenexa,9011,#9011,113 East Chicago Avenue,IL,60611
Casual Male XL,Vernon Hills,9015,#9015,3157 Peachtree Rd North East,GA,30305
Casual Male XL,Columbus,9053,#9053,9702 Quivira Road,KS,66215
Casual Male XL,Memphis,9054,#9054,701 North Milwaukee Avenue,IL,60061
Casual Male XL,Saint Louis,9055,#9055,1113 Kenney Center,OH,43220
Casual Male XL,Lathrup Village,9056,#9056,847 S White Station Road,TN,38117
Casual Male XL,Allen Park,9058,#9058,1026 S Brentwood Blvd,MO,63117
Casual Male XL,Novi,9059,#9059,26300 Southfield Road,MI,48076
Casual Male XL,Sterling Heights,9060,#9060,3480 Fairlane Drive,MI,48101
Casual Male XL,Totowa,9063,#9063,43263 Crescent Blvd.,MI,48375
Casual Male XL,Menlo Park,9064,#9064,13967 Lakeside Circle,MI,48313
Casual Male XL,Rockville,9066,#9066,540 Us Highway 46,NJ,7512
Casual Male XL,Mesquite,9067,#9067,236 Lafayette Road,NJ,8837
Casual Male XL,Houston,9070,#9070,11503-A Rockville Pike,MD,20852
Casual Male XL,Arlington,9072,#9072,1725 N Town East Blvd,TX,75150
Casual Male XL,Escondido,9074,#9074,5393 Westheimer Road,TX,77056
Casual Male XL,Northridge,9076,#9076,4100 S Cooper Street,TX,76015
Casual Male XL,Columbia,9080,#9080,1004 West Valley Parkway #23,CA,92025
Casual Male XL,Warwick,9082,#9082,19422 Nordhoff Street,CA,91324
Casual Male XL,North Dartmouth,9084,#9084,"6435 Dobbin Road, Unit 26",MD,21045
Casual Male XL,Tyngsboro,9105,#9105,800 Bald Hill Road,RI,2886
Casual Male XL,Hometown,9112,#9112,21 Faunce Corner Rd,MA,2747
Casual Male XL,Oakbrook Terrace,9117,#9117,440 Middlesex Road,MA,1879
Casual Male XL,Newport News,9119,#9119,8735 S Cicero Ave,IL,60456
Casual Male XL,Greenwood,9120,#9120,17 W 180 22Nd Street,IL,60181
Casual Male XL,Tonawanda,9123,#9123,12233 Jefferson Avenue,VA,23602
Casual Male XL,Columbia,9127,#9127,723 US Highway 31 N,IN,46142
Casual Male XL,North Charleston,9131,#9131,1228-1230 Niagara Falls Bvld,NY,14150
Casual Male XL,Hanover,9137,#9137,1005 Bower Parkway,SC,29212
Casual Male XL,West Springfield,9139,#9139,7620 Rivers Avenue,SC,29406
Casual Male XL,Mebane,9142,#9142,1410 Washington Street,MA,2339
Casual Male XL,Albany,9144,#9144,223-227 Memorial Avenue,MA,1089
Casual Male XL,Myrtle Beach,9147,#9147,4000 Arrowhead Blvd,NC,27302
Casual Male XL,Oklahoma City,9149,#9149,110 Wolf Road,NY,12205
Casual Male XL,Madison,9152,#9152,4630 Factory Stores Blvd,SC,29579
Casual Male XL,Woodbridge,9155,#9155,5401 N. May Avenue,OK,73112
Casual Male XL,Dedham,9157,#9157,2021 Gallatin Pike North,TN,37115
Casual Male XL,Niagara Falls,9159,#9159,13289 Worth Avenue,VA,22192
Casual Male XL,Merrillville,9160,#9160,735 Providence Hwy,MA,2026
Casual Male XL,Orlando,9161,#9161,242 Andover Street,MA,1960
Casual Male XL,Rochester,9166,#9166,1630 Military Road,NY,14304
Casual Male XL,Milford,9171,#9171,2217A E 80Th Avenue,IN,46410
Casual Male XL,Greensboro,9172,#9172,5728 International Drive,FL,32819
Casual Male XL,Virginia Beach,9174,#9174,3333 W Henrietta Rd,NY,14623
Casual Male XL,Paramus,9175,#9175,1501 Boston Post Road,CT,6460
Casual Male XL,Union,9176,#9176,3806-A High Point Road,NC,27407
Casual Male XL,Roseville,9178,#9178,"116 South Independence Boulevard, Suite 106",VA,23462
Casual Male XL,Greenfield,9180,#9180,450 N State St Route 17,NJ,7652
Casual Male XL,Salem,9186,#9186,2456 US Hwy 22,NJ,7083
Casual Male XL,Lake Grove,9187,#9187,"2480 Fairview Ave. N, Space 145",MN,55113
