keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Cinemark,White City,1426,1426 01426,7501 Crater Lake Hwy,OR,97503
Cinemark,Redding,1427,1427 01427,359 Park Marina Circle,CA,96001
Cinemark,Albuquerque,1428,1428 01428,4591 San Mateo Blvd. Ne,NM,87109
Cinemark,Woodland,1429,1429 01429,1579-a East St,CA,95776
Cinemark,Brownsville,1430,1430 01430,3471 Old Hwy 77,TX,78520
Cinemark,West Valley City,1431,1431 01431,3601 S. 2700 W.Suite E105,UT,84119
Cinemark,Lancaster,1432,1432 01432,44790 Valley Central Way,CA,93534
Cinemark,Indianapolis,1433,1433 01433,1848 E Stop 13 Road,IN,46227
Cinemark,Tulsa,1434,1434 01434,6808 S. Memorial,OK,74133
Cinemark,Indianapolis,1435,1435 01435,10455 East Washington,IN,46229
Cinemark,San Antonio,1436,1436 01436,5063 N.W. Loop 410,TX,78229
Cinemark,Wooster,1437,1437 01437,4108 Burbank Road,OH,44691
Cinemark,Lancaster,1438,1438 01438,3250 West Pleasant Run Rd.,TX,75146
Cinemark,North Little Rock,1439,1439 01439,4188 E. McCain Blvd,AR,72117
Cinemark,Wilmington,1440,1440 01440,1796 W. Newport Pike,DE,19804
Cinemark,Garland,1441,1441 01441,4040 South Shiloh Road,TX,75041
Cinemark,Sand Springs,1442,1442 01442,1112 E. Charles Page Blvd,OK,74063
Cinemark,Ada,1444,1444 01444,1106 North Hills Shopping Centre,OK,74820
Cinemark,Mankato,1445,1445 01445,"1850 Adams St., Suite 15River Hills Mall",MN,56001
Cinemark,Salt Lake City,1446,1446 01446,2227 S. Highland Dr.,UT,84106
Cinemark,Grand Prairie,1447,1447 01447,220 Westchester Parkway,TX,75052
Cinemark,Round Rock,1448,1448 01448,"2132 N. Mays, Ste. 800",TX,78664
Cinemark,Plainview,1449,1449 01449,1001 I-27 N Hwy 70,TX,79072
Cinemark,Sandy,1450,1450 01450,"9539 So. 700 E., Suite 2",UT,84070
Cinemark,Monroe,1451,1451 01451,4700 Millhaven Road Located in the Pecanland Mall,LA,71203
Cinemark,Youngstown,1452,1452 01452,469 Boardman-poland Rd.,OH,44512
Cinemark,Lubbock,1453,1453 01453,5721 58th Street,TX,79424
Cinemark,Big Spring,1454,1454 01454,1801 East FM 700,TX,79720
Cinemark,Corpus Christi,1455,1455 01455,5858 S.P.I.D.,TX,78412
Cinemark,Provo,1456,1456 01456,University Pkwy @ 2230 North,UT,84604
Cinemark,McAllen,1457,1457 01457,100 W. Nolana Loop,TX,78504
Cinemark,Cleburne,1458,1458 01458,1643 W. Henderson St.,TX,76031
Cinemark,Stephenville,1461,1461 01461,2900 West Washington StreetSuite 53,TX,76401
Cinemark,Harlingen,1462,1462 01462,629 North 13th Street,TX,78550
Cinemark,Lynchburg,1464,1464 01464,"3700 Candlers Mountain Road, 700",VA,24502
Cinemark,McAllen,1465,1465 01465,1800 S. 16th Street,TX,78501
Cinemark,Springfield,1466,1466 01466,2850 Gateway St.,OR,97477
Cinemark,North Richland Hills,1467,1467 01467,7560 N.E. Loop 820,TX,76180
Cinemark,Layton,1468,1468 01468,720 West 1500 NorthLayton Hills Mall,UT,84041
Cinemark,Fayetteville,1469,1469 01469,157 Banks Station,GA,30214
Cinemark,Lexington,1470,1470 01470,200 Lexington Green Circle,KY,40503
Cinemark,Danville,1471,1471 01471,4175 Blackhawk Plaza Circle,CA,94526
Cinemark,Tupelo,1472,1472 01472,1001 Barnes Crossing,MS,38804
Cinemark,Chino,1473,1473 01473,5546 Philadelphia St.In The Chino Promenade Shopping Center,CA,91710
Cinemark,Victorville,1474,1474 01474,12353 Mariposa Rd.Just East Of Interstate 15 Off,CA,92392
Cinemark,Summerville,1475,1475 01475,4488 Ladson Road,SC,29485
Cinemark,Warren,1476,1476 01476,28600 Dequindre,MI,48092
Cinemark,Cathedral City,1477,1477 01477,34491 Date Palm Drive,CA,92234
Cinemark,North Canton,1478,1478 01478,6284 Dressler Rd. Nw,OH,44720
Cinemark,Mansfield,1479,1479 01479,498 N. Lexington-Springmill Road,OH,44906
Cinemark,Greensboro,1480,1480 01480,2101 New Garden Road,NC,27410
Cinemark,Ashland,1481,1481 01481,400 Winchester Avenue,KY,41101
Cinemark,Bowling Green,1482,1482 01482,1234 North Main Street,OH,43402
Cinemark,Alliance,1483,1483 01483,2500 W. State St.,OH,44601
Cinemark,Hanford,1484,1484 01484,1669 W. Lacey,CA,93230
Cinemark,Columbus,1485,1485 01485,2570 Bethel Road,OH,43220
Cinemark,Texas City,1488,1488 01488,10000 E.F. Lowry ExpresswayIn The Mall Of The Mainland,TX,77591
Cinemark,Albuquerque,1489,1489 01489,9201 Coors Rd N.W.,NM,87114
Cinemark,College Station,1490,1490 01490,1401 Earl Rudder Frwy South,TX,77845
Cinemark,Erie,1491,1491 01491,1910 Rotunda Drive,PA,16509
Cinemark,Somerdale,1492,1492 01492,Cooper Towne Center711 Evesham Road,NJ,8083
Cinemark,Laredo,1493,1493 01493,5412 San Bernardo1/4 Mile North Of Calton Rd.,TX,78041
Cinemark,Pasadena,1494,1494 01494,2101 E. Beltway 8,TX,77503
Cinemark,McKinney,1495,1495 01495,1701 S. Central Expressway,TX,75069
Cinemark,Plano,1496,1496 01496,1818 Coit Road,TX,75075
Cinemark,Mishawaka,1497,1497 01497,910 W. Edison Rd,IN,46545
Cinemark,Harlingen,1498,1498 01498,401 S. Expressway 83,TX,78550
Cinemark,Lexington,1500,1500 01500,425 Codell Drive,KY,40509
Cinemark,Gahanna,1501,1501 01501,323 Stoneridge Lane,OH,43230
Cinemark,Rochester,1502,1502 01502,2609 West Henrietta Road,NY,14623
Cinemark,Rochester,1503,1503 01503,2291 Buffalo Road,NY,14624
Cinemark,Lewisville,1504,1504 01504,420 Oakbend Dr.,TX,75067
Cinemark,Grapevine,1505,1505 01505,911 State Hwy 114 W,TX,76051
Cinemark,Dallas,1506,1506 01506,11819 Webb Chapel,TX,75234
Cinemark,Arlington,1507,1507 01507,Six Flags Mall2815 E Division St,TX,76011
Cinemark,Redding,1508,1508 01508,980 Old Alturas Rd.,CA,96003
Cinemark,Paris,1509,1509 01509,1225 Ne Loop 286,TX,75460
Cinemark,Matthews,1510,1510 01510,9508 Northeast Court -- Located behind IHOP & Krispy Donuts. Off Highway 74-Independence Boulevard,NC,28105
Cinemark,Weslaco,1511,1511 01511,2113 West Expressway 83,TX,78596
Cinemark,The Woodlands,1512,1512 01512,1600 Lake Robbins,TX,77380
Cinemark,Tracy,1513,1513 01513,3300 N. Naglee Rd.West Valley Mall,CA,95376
Cinemark,Houston,1514,1514 01514,12920 Northwest Freeway,TX,77040
Cinemark,Melrose Park,1515,1515 01515,1001 West North Ave,IL,60160
Cinemark,Austin,1518,1518 01518,S. I-35 North Of Stassney Ln.5501 Ih 35,TX,78744
Cinemark,Del Rio,1519,1519 01519,2205 Veterans Blvd.,TX,78840
Cinemark,North Canton,1520,1520 01520,4720 Mega Street NW,OH,44720
Cinemark,Plano,1521,1521 01521,3800 Dallas Parkway,TX,75093
Cinemark,Boardman,1522,1522 01522,7401 Market Street,OH,44512
Cinemark,Lubbock,1523,1523 01523,2535 82nd St.,TX,79423
Cinemark,Springfield,1524,1524 01524,2900 Gateway,OR,97477
Cinemark,El Paso,1525,1525 01525,11855 Gateway West,TX,79936
Cinemark,Benton,1526,1526 01526,17314 I-30,AR,72015
Cinemark,Bourbonnais,1527,1527 01527,1600 North State Route 50,IL,60914
Cinemark,Ogden,1528,1528 01528,"3651 Wall Avenue, Newgate Mall",UT,84405
Cinemark,El Paso,1529,1529 01529,7440 Remcon Circle,TX,79912
Cinemark,Pflugerville,1530,1530 01530,"15436 F.M. 1825, I-35 N. @ FM 1825",TX,78660
Cinemark,Salisbury,1531,1531 01531,"305 Faith Rd. , Innes Street Market",NC,28146
