keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Crate and Barrel ,Chicago,101,101 #101 00101,1864 N. Clybourn Avenue,IL,60614
Crate and Barrel ,Oak Brook,103,103 #103 00103,35 Oakbrook Center,IL,60523
Crate and Barrel ,Chicago,105,105 #105 00105,646 N. Michigan Avenue,IL,60611
Crate and Barrel ,Northbrook,106,106 #106 00106,1775 Lake Cook Road,IL,60062
Crate and Barrel ,Schaumburg,107,107 #107 00107,760 North Martingale Road,IL,60173
Crate and Barrel ,Skokie,108,108 #108 00108,4999 Old Orchard Center,IL,60077
Crate and Barrel ,Chicago,115,115 #115 00115,850 W. North Avenue,IL,60642
Crate and Barrel ,Naperville,117,117 #117 00117,1860 W. Jefferson Avenue,IL,60540
Crate and Barrel ,Richmond Heights,121,121 #121 00121,1 The Boulevard,MO,63117
Crate and Barrel ,Geneva,124,124 #124 00124,1102 Commons Drive,IL,60134
Crate and Barrel ,Wauwatosa,131,131 #131 00131,2450 N. Mayfair Road,WI,53226
Crate and Barrel ,Indianapolis,133,133 #133 00133,8701 Keystone Crossing,IN,46240
Crate and Barrel ,Deer Park,135,135 #135 00135,20530 N. Rand Road,IL,60010
Crate and Barrel ,Kittery,209,209 #209 00209,350 US Route 1,ME,3904
Crate and Barrel ,Providence,215,215 #215 00215,38 Providence Place,RI,2903
Crate and Barrel ,Hingham,218,218 #218 00218,98 Derby Street,MA,2043
Crate and Barrel ,Albany,231,231 #231 00231,1 Crossgates Mall Road,NY,12203
Crate and Barrel ,Houston,233,233 #233 00233,4006 Westheimer,TX,77027
Crate and Barrel ,Dallas,303,303 #303 00303,1317 Inwood Road,TX,75247
Crate and Barrel ,Dallas,304,304 #304 00304,3104 Knox Street,TX,75205
Crate and Barrel ,Plano,305,305 #305 00305,6113 West Park Boulevard,TX,75093
Crate and Barrel ,Austin,307,307 #307 00307,9607 Research Blvd,TX,78759
Crate and Barrel ,Corte Madera,312,312 #312 00312,320 Town Center Corte Madera,CA,94925
Crate and Barrel ,Palo Alto,351,351 #351 00351,530 Stanford Shopping Center,CA,94304
Crate and Barrel ,San Jose,353,353 #353 00353,301 Santana Row,CA,95128
Crate and Barrel ,Berkeley,356,356 #356 00356,1785 4th Street,CA,94710
Crate and Barrel ,Walnut Creek,358,358 #358 00358,1115 Broadway Plaza,CA,94596
Crate and Barrel ,Roseville,359,359 #359 00359,1151 Galleria Blvd.,CA,95678
Crate and Barrel ,Bellevue,361,361 #361 00361,555 Bellevue Square NE,WA,98004
Crate and Barrel ,Seattle,401,401 #401 00401,2680 NE 49th Street,WA,98105
Crate and Barrel ,Tigard,402,402 #402 00402,7267 SW Bridgeport Road,OR,97224
Crate and Barrel ,Pasadena,403,403 #403 00403,75 W. Colorado Boulevard,CA,91105
Crate and Barrel ,Woodland Hills,404,404 #404 00404,6360 Topanga Canyon Boulevard,CA,91367
Crate and Barrel ,San Diego,405,405 #405 00405,4589 La Jolla Village Drive,CA,92122
Crate and Barrel ,Costa Mesa,406,406 #406 00406,3333 Bear Street,CA,92626
Crate and Barrel ,Beverly Hills,412,412 #412 00412,438 N. Beverly Drive,CA,90210
Crate and Barrel ,Los Angeles,450,450 #450 00450,189 The Grove Drive,CA,90036
Crate and Barrel ,Carlsbad,452,452 #452 00452,5600 Paseo Del Norte,CA,92008
Crate and Barrel ,Torrance,454,454 #454 00454,21710 Hawthorne Blvd.,CA,90503
Crate and Barrel ,Scottsdale,505,505 #505 00505,7014-604 E. Camelback Road,AZ,85251
Crate and Barrel ,Scottsdale,506,506 #506 00506,15220 N. Scottsdale Road,AZ,85254
Crate and Barrel ,Tucson,507,507 #507 00507,2905 East Skyline Drive,AZ,85718
Crate and Barrel ,Murray,511,511 #511 00511,6207 South State Street,UT,84107
Crate and Barrel ,Dubai,513,513 #513 00513,Sheikh Zayed Rd,WV,UAE
Crate and Barrel ,Dubai,515,515 #515 00515,Mirdif City Center,WV,UAE
Crate and Barrel ,McLean,518,518 #518 00518,1800 W. International Drive,VA,22102
Crate and Barrel ,Alexandria,521,521 #521 00521,1700 Prince Street,VA,22314
Crate and Barrel ,Arlington,551,551 #551 00551,2800 Clarendon Blvd,VA,22201
Crate and Barrel ,Richmond,553,553 #553 00553,11800 W. Broad Street,VA,23233
Crate and Barrel ,Annapolis,555,555 #555 00555,2270 Annapolis Mall Road,MD,21401
Crate and Barrel ,New York,557,557 #557 00557,650 Madison Avenue,NY,10022
