keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Cub Foods,Blaine,1598,#1598,12595 Central Ave Ne,MN,55434
Cub Foods,Maplewood,1599,#1599,2390 White Bear Avenue,MN,55109
Cub Foods,Maple Grove,1600,#1600,8150 Wedgewood Ln,MN,55369
Cub Foods,Crystal,1601,#1601,5301 36th Ave N,MN,55422
Cub Foods,Rochester,1602,#1602,1021 15th Ave Se,MN,55904
Cub Foods,Duluth,1603,#1603,615 W Central Entrance,MN,55811
Cub Foods,Apple Valley,1604,#1604,15350 Cedar Ave,MN,55124
Cub Foods,Mankato,1606,#1606,1800 Madison Ave,MN,56001
Cub Foods,Willmar,1607,#1607,2201 South 1st Street,MN,56201
Cub Foods,Blaine,1608,#1608,585 Northtown Dr,MN,55434
Cub Foods,Brooklyn Park,1609,#1609,7555 W Broadway,MN,55428
Cub Foods,Maplewood,1611,#1611,100 W County Rd B,MN,55117
Cub Foods,Stillwater,1612,#1612,1801 Market Drive,MN,55082
Cub Foods,Cottage Grove,1613,#1613,8690 E Point Douglas Rd,MN,55016
Cub Foods,Saint Paul,1614,#1614,1440 University Ave W,MN,55104
Cub Foods,Eagan,1616,#1616,1940 Cliff Lake Rd,MN,55122
Cub Foods,Bloomington,1625,#1625,403 North Veterans Parkway,IL,61704
Cub Foods,Saint Anthony,1629,#1629,3930 Silver Lake Rd,MN,55421
Cub Foods,Fridley,1630,#1630,250 57th Ave Ne,MN,55432
Cub Foods,Burnsville,1631,#1631,1750 County Rd 42 West,MN,55337
Cub Foods,Monticello,1632,#1632,216 7th Street West,MN,55362
Cub Foods,Plymouth,1633,#1633,4445 Nathan Ln,MN,55442
Cub Foods,Forest Lake,1634,#1634,2013 Broadway Ave W,MN,55025
Cub Foods,Hastings,1635,#1635,1729 Market Blvd,MN,55033
Cub Foods,Shorewood,1636,#1636,23800 State Hwy 7,MN,55331
Cub Foods,Northfield,1637,#1637,2423 Highway 3 South,MN,55057
Cub Foods,Coon Rapids,1638,#1638,2050 Northdale Blvd,MN,55433
Cub Foods,Inver Grove Heights,1639,#1639,7850 Cahill Road,MN,55076
Cub Foods,Savage,1640,#1640,14075 Hwy 13,MN,55378
Cub Foods,Arden Hills,1641,#1641,3717 Lexington Ave N,MN,55126
Cub Foods,Champlin,1643,#1643,8600 N 114th Ave,MN,55316
Cub Foods,Chanhassen,1644,#1644,7900 Market Blvd,MN,55317
Cub Foods,Cambridge,1645,#1645,100 Opportunity Blvd North East,MN,55008
Cub Foods,New Brighton,1649,#1649,2600 Rice Creek Rd,MN,55112
Cub Foods,Plymouth,1650,#1650,3550 Vicksburg Ln North,MN,55447
Cub Foods,Rosemount,1651,#1651,3784 W 150th St,MN,55068
Cub Foods,Blaine,1652,#1652,4205 Pheasant Ridge Dr,MN,55449
Cub Foods,Mankato,1653,#1653,1200 S Riverfront Dr,MN,56001
Cub Foods,Brooklyn Park,1654,#1654,9655 Colorado Lane North,MN,55445
Cub Foods,Lakeville,1656,#1656,7435 W 179th St,MN,55044
Cub Foods,Lakeville,1657,#1657,20250 Heritage Drive,MN,55044
Cub Foods,Burnsville,1658,#1658,300 E Travelers Trail,MN,55337
Cub Foods,Saint Paul,4973,#4973,1177 Clarence St,MN,55106
Cub Foods,Eagan,4974,#4974,1020 Diffley Road,MN,55123
Cub Foods,Woodbury,6680,#6680,8432 Tamarack Village,MN,55125
Cub Foods,Minneapolis,6681,#6681,5937 Nicollet Avenue South,MN,55419
Cub Foods,Minneapolis,6682,#6682,701 West Broadway Avenue,MN,55411
Cub Foods,Edina,6683,#6683,6775 York Avenue South,MN,55435
Cub Foods,Saint Louis Park,6684,#6684,3620 Texas Avenue South,MN,55426
Cub Foods,Brooklyn Center,6685,#6685,3245 County Road 10,MN,55430
Cub Foods,Roseville,6686,#6686,2100 North Snelling Avenue,MN,55113
Cub Foods,Saint Paul,6687,#6687,2197 Old Hudson Road,MN,55119
Cub Foods,Rogers,6688,#6688,13855 Rogers Drive,MN,55374
Cub Foods,Shakopee,6689,#6689,1198 Vierling Drive East,MN,55379
Cub Foods,Bloomington,6690,#6690,8421 Lyndale Ave South,MN,55420
Cub Foods,Bloomington,1001034,#1001034,10520 France Avenue South,MN,55431
Cub Foods,Coon Rapids,1001035,#1001035,12900 Riverdale Drive,MN,55448
Cub Foods,Eden Prairie,1001036,#1001036,8015 Den Road,MN,55344
Cub Foods,Minneapolis,1001037,#1001037,2850 26th Ave South,MN,55406
Cub Foods,Minnetonka,1001038,#1001038,4801 Highway 101,MN,55345
Cub Foods,Saint Paul,1001041,#1001041,2001 So Robert St,MN,55118
Cub Foods,White Bear Township,1001042,#1001042,1059 Meadowland Drive,MN,55127
Cub Foods,Elk River,1001043,#1001043,19216 Freeport Avenue,MN,55330
Cub Foods,Buffalo,1001044,#1001044,1008 East Highway 55,MN,55313
Cub Foods,Baxter,1001045,#1001045,14133 Edgewood Dr North,MN,56425
Cub Foods,Grand Rapids,1001046,#1001046,2410 South Pokegama Ave,MN,55744
Cub Foods,Brainerd,1001047,#1001047,417 8th Ave Ne,MN,56401
