keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Dillard's,Raleigh,140,140,3501 Sumner Blvd,NC,27616
Dillard's,Cary,141,141,1105 Walnut Street,NC,27511
Dillard's,Burlington,143,143,1003 Boston Drive,NC,27215
Dillard's,Greensboro,144,144,125 Four Seasons Towne Center,NC,27407
Dillard's,Winston-salem,145,145,3320 Silas Creek Pkwy. #3500,NC,27103
Dillard's,Hickory,146,146,1930 Us Highway 70 Se,NC,28602
Dillard's,Asheville,148,148,#3 South Tunnel Road,NC,28805
Dillard's,Charlotte,150,150,4400 Sharon Road,NC,28211
Dillard's,Pineville,151,151,11041 Carolina Place Pkwy,NC,28134
Dillard's,Gastonia,152,152,250 N. New Hope Road,NC,28054
Dillard's,Charlotte,153,153,7535 Northlake Mall Dr,NC,28216
Dillard's,Wilmington,156,156,3500 Oleander Drive,NC,28403
Dillard's,Charleston,161,161,2066 Sam Rittenburg Blvd.,SC,29407
Dillard's,North Charleston,162,162,2150 Northwood Blvd,SC,29406
Dillard's,Myrtle Beach,163,163,100 Coastal Grand Circle,SC,29577
Dillard's,Columbia,164,164,100 Columbiana Circle,SC,29212
Dillard's,Aiken,165,165,2441 Whiskey Rd #169,SC,29803
Dillard's,Greenville,166,166,700 Haywood Road,SC,29607
Dillard's,Spartanburg,167,167,205 W. Blackstock Road,SC,29301
Dillard's,Anderson,168,168,3101 N.main Suite D,SC,29621
Dillard's,Norfolk,170,170,200 Monticello Ave,VA,23510
Dillard's,Virginia Beach,171,171,701 Lynnhaven Parkway,VA,23452
Dillard's,Chesapeake,172,172,1401 Greenbrier Parkway,VA,23320
Dillard's,Newport News,174,174,12300 Jefferson Avenue Ste 300,VA,23602
Dillard's,Richmond,176,176,11824 W Broad Street,VA,23233
Dillard's,Richmond,179,179,9208 Stony Point Parkway,VA,23235
Dillard's,Tampa,201,201,2223 N Westshore Blvd,FL,33607
Dillard's,Tampa,203,203,8161 Citrus Park Town Ctr Mall,FL,33625
Dillard's,Brandon,204,204,303 Brandon Town Center Mall,FL,33511
Dillard's,St. Petersburg,205,205,6990 Tyrone Square,FL,33710
Dillard's,Clearwater,206,206,27001 Us Highway 19 N,FL,33761
Dillard's,Port Richey,207,207,9409 U.s. Highway 19,FL,34668
Dillard's,Wesley Chapel,208,208,28335 Paseo Dr,FL,33543
Dillard's,Lakeland,209,209,3800 Us Highway 98 North,FL,33809
Dillard's,Lake Wales,210,210,100 Eagle Ridge Dr,FL,33859
Dillard's,Sarasota,212,212,400 Southgate Plaza,FL,34239
Dillard's,Port Charlotte,214,214,1441 Tamiami Trail,FL,33948
Dillard's,Ft. Myers,215,215,4125 Cleveland Ave,FL,33901
Dillard's,Naples,216,216,1798 Tamiami Trail North,FL,34102
Dillard's,Estero,218,218,8017 Via Sardinia Way,FL,33928
Dillard's,Orlando,221,221,8001 S. Orange Blossom Trail,FL,32809
Dillard's,Oviedo,222,222,1000 Oviedo Marketplace Blvd,FL,32765
Dillard's,Sanford,224,224,300 Town Center Circle,FL,32771
Dillard's,Ocoee,225,225,9403 West Colonial Dr.,FL,34761
Dillard's,Altamonte Springs,226,226,451 E Altamonte Dr Ste #1101,FL,32701
Dillard's,Orlando,227,227,3403 E. Colonial Dr.,FL,32803
Dillard's,Ocala,229,229,4414 S. W. College Rd,FL,34474
Dillard's,Jacksonville,230,230,4755 Town Crossing Drive,FL,32246
Dillard's,Orange Park,232,232,1910 Wells Road,FL,32073
Dillard's,Jacksonville,233,233,10300 Southside Blvd.,FL,32256
Dillard's,Gainesville,234,234,6495 West Newberry Road,FL,32605
Dillard's,Daytona Beach,235,235,1700 W International Speedway,FL,32114
Dillard's,Merritt Island,236,236,777 E Merritt Island Causeway,FL,32952
Dillard's,Melbourne,237,237,1700 W. New Haven Ave.,FL,32904
Dillard's,Jensen Beach,238,238,3210 N.w. Federal Hwy,FL,34957
Dillard's,Spanish Fort,239,239,10101 Eastern Shore Blvd,AL,36527
Dillard's,Mobile,241,241,3300 Bell Air Mall,AL,36606
Dillard's,Pensacola,242,242,5100 N 9th Ave.,FL,32504
Dillard's,Tallahassee,243,243,1500 Apalachee Parkway,FL,32301
Dillard's,Vero Beach,244,244,6200 20th Street,FL,32966
Dillard's,Mary Esther,246,246,300 Mary Esther Blvd,FL,32569
Dillard's,Panama City Beach,247,247,200 Pier Park Dr.,FL,32413
Dillard's,Panama City,248,248,2298 Martin Luther King Blvd,FL,32405
Dillard's,Ft. Lauderdale,251,251,2500 East Sunrise Blvd.,FL,33304
Dillard's,Plantation,252,252,8000 W  Broward Blvd Ste 150,FL,33388
Dillard's,Pembroke Pines,253,253,11945 Pines Blvd,FL,33026
Dillard's,Wellington,256,256,10304 Forest Hill Blvd,FL,33414
Dillard's,Alpharetta,260,260,7000 North Point Circle,GA,30022
Dillard's,Buford,261,261,3333 Buford Dr.,GA,30519
Dillard's,Douglasville,262,262,6720 Douglas Blvd,GA,30135
Dillard's,Lithonia,263,263,8000 Mall Parkway,GA,30038
Dillard's,Atlanta,264,264,4500 Ashford Dunwoody Rd,GA,30346
Dillard's,Atlanta,265,265,1371 Market Street,GA,30363
Dillard's,Newnan,266,266,370 Newnan Crossing Bypass,GA,30265
Dillard's,Augusta,267,267,3450 Wrightsboro Rd,GA,30909
Dillard's,Macon,268,268,5080 Riverside Drive,GA,31210
Dillard's,Dothan,274,274,900 Commons Dr,AL,36303
Dillard's,Columbus,275,275,3247 Manchester Expressway,GA,31909
Dillard's,Albany,276,276,2601 Dawson Rd,GA,31707
Dillard's,Savannah,277,277,14025 Abercorn St,GA,31419
Dillard's,St. Louis,301,301,1105 St Louis Galleria,MO,63117
Dillard's,Chesterfield,302,302,100 Chesterfield Mall,MO,63017
Dillard's,St. Louis,305,305,220 South County Center,MO,63129
Dillard's,Fairview Heights,306,306,275 St Clair Square,IL,62208
Dillard's,St. Peters,309,309,2 Mid Rivers Mall Drive,MO,63376
Dillard's,Marion,310,310,3000 W. De Young Street,IL,62959
Dillard's,Jefferson City,311,311,3600 Country Club Drive,MO,65109
Dillard's,Columbia,312,312,2300 Bernadette Drive,MO,65203
Dillard's,Springfield,314,314,2825 S Glenstone Ave Ste 400,MO,65804
Dillard's,St. Joseph,317,317,3702 Frederick Ave,MO,64506
Dillard's,Overland Park,322,322,11601 West 95th Street,KS,66214
Dillard's,Independence,323,323,18805 East 39th Street,MO,64057
Dillard's,Kansas City,324,324,7350 Nw 87th Terrace,MO,64153
Dillard's,Wichita,330,330,7700 East Kellogg,KS,67207
Dillard's,Wichita,331,331,4600 W Kellogg,KS,67209
Dillard's,Salina,334,334,2259  South 9th,KS,67401
Dillard's,Manhattan,335,335,102 Manhattan Town Center,KS,66502
Dillard's,Topeka,336,336,1791 Sw Wanamaker Road,KS,66604
Dillard's,West Des Moines,340,340,101 Jordan Creek  Pkwy,IA,50266
Dillard's,Omaha,343,343,3030 Oakview Drive,NE,68144
Dillard's,Lincoln,344,344,6100 O St,NE,68505
Dillard's,Grand Island,345,345,3404 West 13th #100,NE,68803
Dillard's,Coralville,346,346,1411 Coral Ridge Ave,IA,52241
Dillard's,Waterloo,347,347,2060 Crossroads Blvd Ste 300,IA,50702
