keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Disney Store,Glendale,201,#201,732 Americana Way,CA,91210
Disney Store,Glendale,301,#301,1152 Glendale Galleria,CA,91210
Disney Store,Costa Mesa,303,#303,3333 Bristol Street,CA,92626
Disney Store,Torrance,305,#305,3525 Carson Street,CA,90503
Disney Store,McLean,311,#311,1961 Chain Bridge Road,VA,22102
Disney Store,Northridge,314,#314,9301 Tampa Avenue,CA,91324
Disney Store,San Antonio,316,#316,7400 San Pedro Avenue,TX,78216
Disney Store,Concord,317,#317,355 Sunvalley Mall,CA,94520
Disney Store,Braintree,319,#319,250 Granite Street,MA,02184-2810
Disney Store,Woodbridge,321,#321,282 Woodbridge Center,NJ,07095-1321
Disney Store,Pittsburgh,325,#325,421 South Hills Village,PA,15241
Disney Store,Metairie,326,#326,3301 Veterans Memorial Avenue,LA,70002-7647
Disney Store,Lake Grove,328,#328,313 Smith Haven Mall,NY,11755
Disney Store,Cherry Hill,329,#329,2000 Route 38,NJ,08002-2101
Disney Store,Scottsdale,330,#330,7014-2216 East Camelback Road,AZ,85251
Disney Store,Schaumburg,333,#333,1600 Golf & Meacham Road,IL,60173
Disney Store,Miami,337,#337,19575 Biscayne Boulevard,FL,33180
Disney Store,Santa Clara,339,#339,2855 Stevens Creek Boulevard,CA,95050
Disney Store,Honolulu,341,#341,1450 Ala Moana Boulevard,HI,96814
Disney Store,Montclair,344,#344,5060 East Montclair Plaza Lane,CA,91763
Disney Store,Dallas,346,#346,8687 North Central Expressway,TX,75225
Disney Store,Garden City,350,#350,630 Old Country Road,NY,11530
Disney Store,Sacramento,351,#351,1689 Arden Way,CA,95815
Disney Store,Tukwila,352,#352,536 Southcenter Mall,WA,98188
Disney Store,Newark,355,#355,715 Christiana Mall Road,DE,19702
Disney Store,Overland Park,357,#357,11447 West 95th Street,KS,66214
Disney Store,Indianapolis,358,#358,6020 East 82nd Street,IN,46250
