keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Don Pablo's,Ft. Worth,17,5017 517,7050 Ridgmar Meadow Rd.,TX,76116
Don Pablo's,Indianapolis,21,5021 521,3824 E. 82nd St.,IN,46240
Don Pablo's,Indianapolis,25,5025 525,8150 US 31 S.,IN,46227
Don Pablo's,Maumee,28,5028 528,6040 Knight's Inn Place,OH,43537
Don Pablo's,N. Richland Hills,29,5029 529,5121 Rufe Snow,TX,76180
Don Pablo's,Newport,31,5031 531,401 Riverboat Row,KY,41071
Don Pablo's,Manassas,37,5037 537,10691 Davidson Place,VA,20109
Don Pablo's,Cincinnati,38,5038 538,"2692 Madison Rd, Suite 1",OH,45208
Don Pablo's,Laurel,39,5039 539,14600 Laurel Place,MD,20707
Don Pablo's,Flint,40,5040 540,G-3145 Miller Rd.,MI,48507
Don Pablo's,Beavercreek,51,5051 551,2745 Fairfield Commons,OH,45431
Don Pablo's,Lafayette,55,5055 555,50 N. Creasey Lane,IN,47905
Don Pablo's,Merrillville,57,5057 557,2831 E. 80th Ave.,IN,46410
Don Pablo's,Richfield,60,5060 560,980 W. 78th St.,MN,55423
Don Pablo's,Pittsburgh,61,5061 561,140 Andrew Dr.,PA,15275
Don Pablo's,Sterling,63,5063 563,46280 Potomac Run Plaza,VA,20164
Don Pablo's,Monroeville,67,5067 567,122 Mall Blvd.,PA,15146
Don Pablo's,Sanford,69,5069 569,100 Towne Center Blvd.,FL,32771
Don Pablo's,Orlando,76,5076 576,8717 International Dr.,FL,32819
Don Pablo's,Shelby Township,79,5079 579,14181 Hall Rd.,MI,48315
Don Pablo's,N. Canton,90,5090 590,6476 Strip N.W.,OH,44720
Don Pablo's,Greenville,94,5094 594,741 Haywood Rd.,SC,29607
Don Pablo's,Eden Prairie,97,5097 597,11347 Viking Dr.,MN,55344
Don Pablo's,Columbia,102,50102 5102,6191 Columbia Crossing Circle,MD,21045
Don Pablo's,Deptford,105,50105 5105,1860 Deptford Center Rd.,NJ,8096
Don Pablo's,Baltimore,113,50113 5113,8161 Honeygo Blvd.,MD,21236
Don Pablo's,Grand Prairie,116,50116 5116,444 West I-20,TX,75052
Don Pablo's,Battle Creek,120,50120 5120,5805 Beckley Rd.,MI,49015
Don Pablo's,Knoxville,121,50121 5121,2916 Knoxville Center Drive,TN,37924
Don Pablo's,Moorestown,128,50128 5128,1361 Nixon Drive,NJ,8057
Don Pablo's,Atlanta,130,50130 5130,3131 Cobb Parkway S.E. Suite 100,GA,30339
Don Pablo's,Alexandria,135,50135 5135,3525 Jefferson Davis Hwy,VA,22305
Don Pablo's,Owings Mills,141,50141 5141,One Restaurant Park Drive,MD,21117
Don Pablo's,Maple Grove,148,50148 5148,7887 Elm Creek Blvd.,MN,55311
Don Pablo's,Carmel,155,50155 5155,14758 U.S. Highway 31,IN,46032
Don Pablo's,Newark,156,50156 5156,600 Center Boulevard,DE,19702
Don Pablo's,Sarasota,157,50157 5157,5911 Fruitville Road,FL,34232
