keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Family Christian,DAYTONA BEACH,14,CHR#14 CHR#140014X CHR#1400014X CHR#14000014X CHR#140014XMOBILE,2286 W INTERNATIONAL SPEEDWAY,FL,32114-1124
Family Christian,WEST MELBOURNE,15,CHR#15 CHR#150015X CHR#1500015X CHR#15000015X CHR#150015XMOBILE,"205 PALM BAY ROAD NE, Suite 137",FL,32904-8612
Family Christian,FLINT,25,CHR#25 CHR#250025X CHR#2500025X CHR#25000025X CHR#250025XMOBILE,G3577 MILLER RD STE 5,MI,48507-1272
Family Christian,LOMBARD,26,CHR#26 CHR#260026X CHR#2600026X CHR#26000026X CHR#260026XMOBILE,2820C S HIGHLAND AVE,IL,60148-7140
Family Christian,NAPERVILLE,28,CHR#28 CHR#280028X CHR#2800028X CHR#28000028X CHR#280028XMOBILE,936 S STATE RTE 59,IL,60540-9530
Family Christian,ELK GROVE VILLAGE,31,CHR#31 CHR#310031X CHR#3100031X CHR#31000031X CHR#310031XMOBILE,855 MEACHAM RD,IL,60007-3073
Family Christian,MONROEVILLE,38,CHR#38 CHR#380038X CHR#3800038X CHR#38000038X CHR#380038XMOBILE,3747 WILLIAM PENN HWY SPACE R,PA,15146-2125
Family Christian,BEAVERCREEK,41,CHR#41 CHR#410041X CHR#4100041X CHR#41000041X CHR#410041XMOBILE,2742 N FAIRFIELD RD,OH,45431-1779
Family Christian,LEXINGTON,43,CHR#43 CHR#430043X CHR#4300043X CHR#43000043X CHR#430043XMOBILE,127 W TIVERTON WAY STE 128,KY,40503-4488
Family Christian,SAGINAW,45,CHR#45 CHR#450045X CHR#4500045X CHR#45000045X CHR#450045XMOBILE,4721 BAY RD,MI,48604-2527
Family Christian,MIAMI,46,CHR#46 CHR#460046X CHR#4600046X CHR#46000046X CHR#460046XMOBILE,7710 N KENDALL DR,FL,33156-7523
Family Christian,SOUTH BEND,47,CHR#47 CHR#470047X CHR#4700047X CHR#47000047X CHR#470047XMOBILE,1290 E IRELAND RD STE 500,IN,46614-3462
Family Christian,PARKERSBURG,48,CHR#48 CHR#480048X CHR#4800048X CHR#48000048X CHR#480048XMOBILE,204 LAKEVIEW CENTER STE 9,WV,26101-1053
Family Christian,MADISON,49,CHR#49 CHR#490049X CHR#4900049X CHR#49000049X CHR#490049XMOBILE,1746 EAGAN RD,WI,53704-3748
Family Christian,MIAMISBURG,50,CHR#50 CHR#500050X CHR#5000050X CHR#50000050X CHR#500050XMOBILE,1 PRESTIGE PLAZA,OH,45342-3767
Family Christian,MATTESON,51,CHR#51 CHR#510051X CHR#5100051X CHR#51000051X CHR#510051XMOBILE,4559 LINCOLN HWY,IL,60443-2318
Family Christian,ST LOUIS,53,CHR#53 CHR#530053X CHR#5300053X CHR#53000053X CHR#530053XMOBILE,10807 W FLORISSANT AVE,MO,63136-2405
Family Christian,BARTLETT,54,CHR#54 CHR#540054X CHR#5400054X CHR#54000054X CHR#540054XMOBILE,6025 STAGE RD STE 36,TN,38134-8313
Family Christian,STERLING HEIGHTS,57,CHR#57 CHR#570057X CHR#5700057X CHR#57000057X CHR#570057XMOBILE,44943 SCHOENHERR RD,MI,48313-1141
Family Christian,MERRILLVILLE,62,CHR#62 CHR#620062X CHR#6200062X CHR#62000062X CHR#620062XMOBILE,1932 EAST 80TH,IN,46410-5735
Family Christian,WINSTON-SALEM,66,CHR#66 CHR#660066X CHR#6600066X CHR#66000066X CHR#660066XMOBILE,1608 S STRATFORD RD STE  612B,NC,27103-2924
Family Christian,CHESTERFIELD,68,CHR#68 CHR#680068X CHR#6800068X CHR#68000068X CHR#680068XMOBILE,74 THF BLVD,MO,63005-1150
Family Christian,COLUMBIA,74,CHR#74 CHR#740074X CHR#7400074X CHR#74000074X CHR#740074XMOBILE,715 FASHION DR STE 6,SC,29229
Family Christian,LOUISVILLE,77,CHR#77 CHR#770077X CHR#7700077X CHR#77000077X CHR#770077XMOBILE,4649 OUTER LOOP,KY,40219-3970
