keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Fiesta Mart,Houston,1,#1 #01,1020 Quitman,TX,77009
Fiesta Mart,Houston,2,#2 #02,2300 North Shepherd,TX,77008
Fiesta Mart,Houston,3,#3 #03,800 S Wayside,TX,77023
Fiesta Mart,S Houston,4,#4 #04,1603 Spencer Hwy,TX,77587
Fiesta Mart,Houston,5,#5 #05,5600 Mykawa,TX,77033
Fiesta Mart,Rosenberg,6,#6 #06,3707 Ave H,TX,77471
Fiesta Mart,Houston,7,#7 #07,6200 Bellaire,TX,77081
Fiesta Mart,Houston,8,#8 #08,2323 Wirt Rd,TX,77055
Fiesta Mart,Houston,9,#9 #09,10401 Jensen,TX,77093
Fiesta Mart,Houston,10,#10 #010,12201 East Fwy,TX,77015
Fiesta Mart,Houston,11,#11 #011,4711 Airline,TX,77022
Fiesta Mart,Houston,12,#12 #012,5800 Lyons,TX,77020
Fiesta Mart,Houston,14,#14 #014,14315 Bellaire,TX,77083
Fiesta Mart,Houston,17,#17 #017,4200 San Jacinto,TX,77004
Fiesta Mart,Houston,18,#18 #018,8130 Kirby,TX,77054
Fiesta Mart,Houston,20,#20 #020,8320 FM 1960,TX,77070
Fiesta Mart,Houston,22,#22 #022,12355 Main,TX,77035
Fiesta Mart,Houston,23,#23 #023,9419 Mesa,TX,77028
Fiesta Mart,Houston,24,#24 #024,11240 Fondren,TX,77096
Fiesta Mart,Austin,25,#25 #025,3909 N I-35 Service Rd,TX,78722
Fiesta Mart,Houston,28,#28 #028,11006 Airline,TX,77037
Fiesta Mart,Dallas,29,#29 #029,611 W Jefferson,TX,75208
Fiesta Mart,Houston,31,#31 #031,1175 Edgebrook,TX,77034
Fiesta Mart,Dallas,32,#32 #032,9727 Webb Chapel,TX,75220
Fiesta Mart,Dallas,34,#34 #034,3030 S Lancaster,TX,75216
Fiesta Mart,Houston,37,#37 #037,7510 Bellfort,TX,77061
Fiesta Mart,Houston,39,#39 #039,8710 Bellaire,TX,77036
Fiesta Mart,Dallas,40,#40 #040,5334 Ross Ave,TX,75206
Fiesta Mart,Houston,41,#41 #041,1728 W Mt Houston,TX,77038
Fiesta Mart,Houston,43,#43 #043,8650 S Braeswood,TX,77031
Fiesta Mart,Fort Worth,46,#46 #046,275 NE 28th Street,TX,76106
Fiesta Mart,Missouri City,47,#47 #047,1530 Independence Blvd,TX,77489
Fiesta Mart,Houston,49,#49 #049,4114 Fulton,TX,77009
Fiesta Mart,Houston,50,#50 #050,5815 Lockwood,TX,77026
Fiesta Mart,Houston,51,#51 #051,9420 Cullen,TX,77051
Fiesta Mart,Irving,53,#53 #053,975 E Irving Blvd,TX,75060
Fiesta Mart,Garland,54,#54 #054,2940 S 1st Street,TX,75041
Fiesta Mart,Houston,56,#56 #056,4330 Hwy 6 North,TX,77084
Fiesta Mart,Dallas,57,#57 #057,2951 S Buckner Blvd,TX,75227
Fiesta Mart,Dallas,58,#58 #058,8060 Spring Valley,TX,75240
Fiesta Mart,Plano,59,#59 #059,1200 E Parker,TX,75074
Fiesta Mart,Arlington,60,#60 #060,1300 E Pioneer Pkwy,TX,76010
Fiesta Mart,Fort Worth,61,#61 #061,2700 8th Ave,TX,76110
Fiesta Mart,Austin,64,#64 #064,5510 South IH-35,TX,78745
Fiesta Mart,Dallas,65,#65 #065,2225 West Ledbetter,TX,75224
Fiesta Mart,Katy,66,#66 #066,333 S. Mason Road,TX,77450
Fiesta Mart,Fort Worth,67,#67 #067,421 W Bolt Street,TX,76110
Fiesta Mart,Dallas,68,#68 #068,6401 Abrams,TX,75231
Fiesta Mart,Fort Worth,69,#69 #069,7809 Camp Bowie W,TX,76116
Fiesta Mart,Carrollton,70,#70 #070,1235 S Josey Lane,TX,75006
Fiesta Mart,Dallas,71,#71 #071,3434 W Illinois,TX,75211
Fiesta Mart,Irving,73,#73 #073,1145 W Airport Fwy,TX,75062
Fiesta Mart,Dallas,74,#74 #074,11445 Garland Road,TX,75218
Fiesta Mart,Richardson,75,#75 #075,1332 S Plano Rd,TX,75081
Fiesta Mart,Fort Worth,76,#76 #076,4245 E Berry Street,TX,76105
Fiesta Mart,Dallas,77,#77 #077,3460 Webb Chapel,TX,75220
Fiesta Mart,Fort Worth,78,#78 #078,102 NW 28th St,TX,76106
Fiesta Mart,Houston,79,#79 #079,12584 Westheimer,TX,77077
Fiesta Mart,Sugar Land,80,#80 #080,13833 Southwest Fwy,TX,77478
Fiesta Mart,Conroe,81,#81 #081,210 E Davis St,TX,77301
