keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Finish Line,Indianapolis,1,#1 #01,5840 Crawfordsville Rd.,IN,46224
Finish Line,Mesquite,5,#5 #05,2062 Town East Mall,TX,75150
Finish Line,Lincolnwood,6,#6 #06,3333 W Touhy Avenue,IL,60712
Finish Line,Longview,8,#8 #08,3500 McCann Rd,TX,75601
Finish Line,New Philadelphia,16,#16 #016,400 Mill Ave SE  #225,OH,44663
Finish Line,Elyria,17,#17 #017,4439 Midway Mall,OH,44035
Finish Line,Winston-Salem,18,#18 #018,3320 Silas Creek Pkwy.,NC,27103
Finish Line,Gastonia,19,#19 #019,246 N. Hope Rd.,NC,28054
Finish Line,Charleston,21,#21 #021,3000 Charleston Town Cent,WV,25389
Finish Line,Winchester,22,#22 #022,1850 Apple Blossom Dr.,VA,22601
Finish Line,Marion,27,#27 #027,1479 Marion Waldo Rd.,OH,43302
Finish Line,Findlay,28,#28 #028,1800 Tiffin Rd.,OH,45840
Finish Line,Athens,29,#29 #029,3700 Atlanta Hwy,GA,30606
Finish Line,Morgantown,30,#30 #030,9317 Mall Rd,WV,26505
Finish Line,Portage,31,#31 #031,6650 S Westnedge Ave.,MI,49024
Finish Line,Harrisonburg,33,#33 #033,1925 E Market,VA,22801
Finish Line,Lima,34,#34 #034,2400 Elida Rd.,OH,45805
Finish Line,Parma,35,#35 #035,7903 W Ridgewood Dr.,OH,44129
Finish Line,Mentor,39,#39 #039,7850 Mentor Ave.,OH,44060
Finish Line,Pittsburgh,44,#44 #044,1000 Ross Park Mall Dr.,PA,15237
Finish Line,Anderson,46,#46 #046,2109 State Rd 9 S,IN,46016
Finish Line,Lafayette,48,#48 #048,2415 Sagamore Pkwy.,IN,47905
Finish Line,Indianapolis,49,#49 #049,10202 E. Washington St.,IN,46229
Finish Line,Muncie,50,#50 #050,3501 Granville Ave.,IN,47303
Finish Line,Paducah,51,#51 #051,5101 Hinkleville Rd.,KY,42001
Finish Line,Mishawaka,52,#52 #052,6501 N Grape Rd.,IN,46545
Finish Line,Greenwood,53,#53 #053,1251 US Hwy. 31 N,IN,46142
Finish Line,Kokomo,55,#55 #055,1146 S 17th St.,IN,46902
