keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Food Emporium,New York,715,#XX715,1175 Third Ave.,NY,10021
Food Emporium,New York,716,#XX716,1450 Third Ave,NY,10028
Food Emporium,New York,717,#XX717,969 Second Ave,NY,10022
Food Emporium,New York,718,#XX718,2415 Broadway,NY,10024
Food Emporium,New York,719,#XX719,1331 First Ave,NY,10021
Food Emporium,New York,720,#XX720,10 Union Square,NY,10003
Food Emporium,New York,722,#XX722,1211 Madison Ave,NY,10028
Food Emporium,New York,724,#XX724,452 West 43rd St,NY,10036
Food Emporium,New York,725,#XX725,810 Eighth Ave,NY,10019
Food Emporium,New York,726,#XX726,1066 Third Ave,NY,10021
Food Emporium,New York,727,#XX727,200 East 32nd St,NY,10016
Food Emporium,New York,728,#XX728,316 Greenwich St,NY,10013
Food Emporium,New York,729,#XX729,401 East 59th St,NY,10022
Food Emporium,New Canaan,875,#XX875,280 Elm Street,CT,6840
