keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Friendly's,Agawam,1,1 #1,19 Springfield Street,MA,1001
Friendly's,Auburn,3,3 #3,697 Southbridge Street,MA,1501
Friendly's,East Longmeadow,25,25 #25,562 North Main Street,MA,1028
Friendly's,Lee,41,41 #41,145 Housatonic Street,MA,1238
Friendly's,North Adams,53,53 #53,245 State Road,MA,1247
Friendly's,Palmer,62,62 #62,1519 North Main Street,MA,1069
Friendly's,Webster,87,87 #87,129 East Main Street,MA,1570
Friendly's,Westfield,90,90 #90,431 East Main Street,MA,1085
Friendly's,Wethersfield,91,91 #91,1045 Silas Deane Highway,CT,6109
Friendly's,Willimantic,97,97 #97,1405 Main Street,CT,6226
Friendly's,South Hadley,106,106 #106,489 Newton Street,MA,1075
Friendly's,Fairhaven,116,116 #116,6 Sarahs Way,MA,2719
Friendly's,Hartsdale,126,126 #126,361 N. Central Street,NY,10530
Friendly's,Sudbury,130,130 #130,457 Boston Post Road,MA,1776
Friendly's,Yonkers,152,152 #152,477 Tuckahoe Road,NY,10710
Friendly's,Worcester,154,154 #154,966 Grafton Street,MA,1604
Friendly's,Bridgeport,156,156 #156,4545 North Main Street,CT,6606
Friendly's,Morris Plains,162,162 #162,435 Speedwell Avenue,NJ,7950
Friendly's,Holyoke,172,172 #172,1745 Northampton Street,MA,1040
Friendly's,Clark,175,175 #175,1463 Raritan Road,NJ,7066
Friendly's,Chelmsford,180,180 #180,20 Boston Road,MA,1824
Friendly's,Weymouth,206,206 #206,415 Washington Street,MA,2188
Friendly's,Hillsdale,211,211 #211,441 Hillsdale Avenue,NJ,7642
Friendly's,Stoneham,227,227 #227,611 Main Street,MA,2180
Friendly's,Norwich,228,228 #228,105 West Town Street,CT,6360
Friendly's,Mount Kisco,231,231 #231,445 East Main Street,NY,10549
Friendly's,Ludlow,233,233 #233,471 Center Street,MA,1056
Friendly's,Bloomfield,237,237 #237,1243 Broad Street,NJ,7003
Friendly's,Convent Station,286,286 #286,192 Madison Avenue,NJ,7961
Friendly's,Manchester,302,302 #302,1229 South Willow Street,NH,3103
Friendly's,Holden,310,310 #310,1060 Main Street,MA,1520
Friendly's,Fishkill,332,332 #332,1053 Main Street,NY,12524
Friendly's,East Greenbush,333,333 #333,9 Troy Road,NY,12061
Friendly's,Bennington,337,337 #337,300 South Street,VT,5201
Friendly's,Unionville,342,342 #342,1835 Farmington Avenue,CT,6085
Friendly's,Tenafly,343,343 #343,114 County Road,NJ,7670
Friendly's,Pompton Plains,359,359 #359,575 Pompton Turnpike,NJ,7444
Friendly's,Morrisville,362,362 #362,897 West Trenton Avenue,PA,19067
Friendly's,Doylestown,382,382 #382,460 North Main Street,PA,18901
Friendly's,Tewksbury,387,387 #387,759 Main Street,MA,1876
Friendly's,Westmont,391,391 #391,670 Cuthbert Road,NJ,8108
Friendly's,Midland Park,399,399 #399,195 Godwin Avenue,NJ,7432
Friendly's,Framingham,402,402 #402,27 Temple Street,MA,1701
Friendly's,Concord,433,433 #433,203 North Main Street,NH,3301
Friendly's,Warminster,438,438 #438,380 West Street Road,PA,18974
Friendly's,Yorktown Heights,439,439 #439,1983 Commerce Street,NY,10598
Friendly's,Sturbridge,443,443 #443,367 Main Street,MA,1566
Friendly's,Frazer,462,462 #462,43 Lancaster Pike,PA,19355
Friendly's,Darien,470,470 #470,275 Boston Post Road,CT,6820
Friendly's,Springfield,489,489 #489,1250 Baltimore Pike,PA,19064
Friendly's,Lenox,496,496 #496,505 Pittsfield Road,MA,1240
Friendly's,Wollaston,514,514 #514,699 Hancock Street,MA,2170
Friendly's,Hanover,516,516 #516,1985 Washington Street,MA,2339
Friendly's,South Weymouth,520,520 #520,1021 Main Street,MA,2190
