keywords,city,Aggdata Store Number,store_number,address,state,zip_code
GNC,WILLINGBORO,10000,#10000 #0010000 #00010000 00010000 010000,217 SUNSET ROAD,NJ,8046
GNC,HILLSBORO,10001,#10001 #0010001 #00010001 00010001 010001,421 NORTH HIGH STREET,OH,45133
GNC,MIDDLETOWN,10004,#10004 #0010004 #00010004 00010004 010004,1 FITZGERALD DRIVE,NY,10940
GNC,WARRENSBURG,10005,#10005 #0010005 #00010005 00010005 010005,3864 MAIN STREET,NY,12885
GNC,NEW CASTLE,10006,#10006 #0010006 #00010006 00010006 010006,2034 NEW CASTLE AVENUE,DE,19720
GNC,LANSDALE,10007,#10007 #0010007 #00010007 00010007 010007,10 WEST MAIN STREET,PA,19446
GNC,SOUDERTON,10008,#10008 #0010008 #00010008 00010008 010008,741 ROUTE 113,PA,18964
GNC,HUBBARD,10011,#10011 #0010011 #00010011 00010011 010011,147 WEST LIBERTY STREET,OH,44425
GNC,YOUNGSTOWN,10012,#10012 #0010012 #00010012 00010012 010012,3527 CANFIELD ROAD,OH,44511
GNC,BELVIDERE,10014,#10014 #0010014 #00010014 00010014 010014,2 UPPER SAREPTA ROAD,NJ,7823
GNC,GREENCASTLE,10015,#10015 #0010015 #00010015 00010015 010015,200 NORTH ANTRIM WAY,PA,17225
GNC,HUNTINGDON,10017,#10017 #0010017 #00010017 00010017 010017,9635 WILLIAM PENN HIGHWAY,PA,16652
GNC,ELMIRA,10019,#10019 #0010019 #00010019 00010019 010019,1000 PENNSYLVANIA AVENUE,NY,14904
GNC,BALTIMORE,10022,#10022 #0010022 #00010022 00010022 010022,9708 BELAIR ROAD,MD,21236
GNC,BALTIMORE,10033,#10033 #0010033 #00010033 00010033 010033,MERRITT PARK S/C,MD,21222
GNC,REISTERSTOWN,10034,#10034 #0010034 #00010034 00010034 010034,11917-19 REISTERSTOWN RD,MD,21136
GNC,BALTIMORE,10035,#10035 #0010035 #00010035 00010035 010035,PERRY HALL SHOPPING CENTER,MD,21236
GNC,BALTIMORE,10036,#10036 #0010036 #00010036 00010036 010036,5804 RITCHIE HIGHWAY,MD,21225
GNC,SEVERNA PARK,10037,#10037 #0010037 #00010037 00010037 010037,25 JONES STATION ROAD WEST,MD,21146
GNC,YOUNGSTOWN,10039,#10039 #0010039 #00010039 00010039 010039,540 EAST MIDLOTHIAN BLVD.,OH,44502
GNC,PENN YAN,10041,#10041 #0010041 #00010041 00010041 010041,138 ELM STREET,NY,14527
GNC,DOUGLASSVILLE,10043,#10043 #0010043 #00010043 00010043 010043,12 DOUGLASSVILLE SHOP CTR,PA,19518
GNC,SCHENECTADY,10045,#10045 #0010045 #00010045 00010045 010045,1203 EASTERN AVENUE,NY,12308
GNC,HUDSON FALLS,10046,#10046 #0010046 #00010046 00010046 010046,1262 DIX AVENUE,NY,12839
GNC,PHILADELPHIA,10055,#10055 #0010055 #00010055 00010055 010055,6401 OXFORD AVENUE,PA,19111
GNC,IRVINGTON,10057,#10057 #0010057 #00010057 00010057 010057,1015 SPRINGFIELD AVENUE,NJ,7111
GNC,PETERSBURG,10058,#10058 #0010058 #00010058 00010058 010058,2141 SOUTH CRATER ROAD,VA,23805
GNC,CORRY,10059,#10059 #0010059 #00010059 00010059 010059,827 N. CENTER STREET,PA,16407
GNC,POUGHKEEPSIE,10060,#10060 #0010060 #00010060 00010060 010060,40 VASSAR ROAD,NY,12603
GNC,ROME,10063,#10063 #0010063 #00010063 00010063 010063,1727 BLACK RIVER BLVD,NY,13440
GNC,PULASKI,10069,#10069 #0010069 #00010069 00010069 010069,4764 SALINA STREET,NY,13142
GNC,CHITTENANGO,10070,#10070 #0010070 #00010070 00010070 010070,1365 WEST GENESEE STREET,NY,13037
GNC,ANSONIA,10072,#10072 #0010072 #00010072 00010072 010072,404 MAIN STREET,CT,6401
GNC,GRANVILLE,10073,#10073 #0010073 #00010073 00010073 010073,116 QUAKER STREET,NY,12832
GNC,RED BANK,10074,#10074 #0010074 #00010074 00010074 010074,140 WATER STREET,NJ,7701
GNC,WARREN,10078,#10078 #0010078 #00010078 00010078 010078,5001 MAHONING AVENUE,OH,44483
GNC,NORRISTOWN,10079,#10079 #0010079 #00010079 00010079 010079,LOGAN SQUARE PLAZA,PA,19401
GNC,WHEELING,10081,#10081 #0010081 #00010081 00010081 010081,2102 WARWOOD AVENUE,WV,26003
GNC,TONAWANDA,10083,#10083 #0010083 #00010083 00010083 010083,DEL-TON PLAZA,NY,14150
GNC,JOHNSTOWN,10087,#10087 #0010087 #00010087 00010087 010087,507 MAIN STREET,PA,15901
GNC,PHILADELPHIA,10091,#10091 #0010091 #00010091 00010091 010091,5911-5933 RIDGE AVENUE,PA,19128
GNC,BRIDGETON,10094,#10094 #0010094 #00010094 00010094 010094,52 EAST BROAD STREET,NJ,8302
GNC,SALAMANCA,10096,#10096 #0010096 #00010096 00010096 010096,9 BROAD STREET,NY,14779
GNC,PHILADELPHIA,10097,#10097 #0010097 #00010097 00010097 010097,164 WEST CHELTEN AVENUE,PA,19144
GNC,PALATINE BRIDGE,10099,#10099 #0010099 #00010099 00010099 010099,9 EAST GRAND STREET,NY,13428
GNC,PHILADELPHIA,10100,#10100 #0010100 #00010100 00010100 010100,3900 CASTOR AVENUE,PA,19124
GNC,CLARKSBURG,10102,#10102 #0010102 #00010102 00010102 010102,505 ROSEBUD PLAZA,WV,26301
GNC,WATERTOWN,10103,#10103 #0010103 #00010103 00010103 010103,1271 MAIN STREET,CT,6795
GNC,BARBOURSVILLE,10109,#10109 #0010109 #00010109 00010109 010109,6401 US ROUTE 60,WV,25504
GNC,BLAIRSVILLE,10112,#10112 #0010112 #00010112 00010112 010112,200 RESORT PLAZA DRIVE,PA,15717
GNC,PHILADELPHIA,10113,#10113 #0010113 #00010113 00010113 010113,8130 ROOSEVELT BOULEVARD,PA,19152
GNC,VALLEY COTTAGE,10115,#10115 #0010115 #00010115 00010115 010115,133 ROUTE 303,NY,10989
GNC,OLD FORGE,10116,#10116 #0010116 #00010116 00010116 010116,401-403 SOUTH MAIN STREET,PA,18518
GNC,MT. WASHINGTON,10117,#10117 #0010117 #00010117 00010117 010117,634 NORTH BARDSTOWN ROAD,KY,40047
GNC,DUMFRIES,10118,#10118 #0010118 #00010118 00010118 010118,18039 DUMFRIES SHOPPING CENTER,VA,22026
GNC,PHILADELPHIA,10119,#10119 #0010119 #00010119 00010119 010119,7564-70 HAVERFORD AVE.,PA,19151
GNC,MERRIMACK,10120,#10120 #0010120 #00010120 00010120 010120,416 DANIEL WEBSTER HIGHWAY,NH,3054
GNC,PHILADELPHIA,10122,#10122 #0010122 #00010122 00010122 010122,3200-92 RED LION ROAD,PA,19114
GNC,PITTSBURGH,10123,#10123 #0010123 #00010123 00010123 010123,3210 BANKSVILLE ROAD,PA,15216
GNC,SALEM,10125,#10125 #0010125 #00010125 00010125 010125,435 EAST BROADWAY,NJ,8079
GNC,GENEVA,10126,#10126 #0010126 #00010126 00010126 010126,633 SOUTH BROADWAY,OH,44041
GNC,BLACKSBURG,10128,#10128 #0010128 #00010128 00010128 010128,850 UNIVERSITY CITY BLVD.,VA,24060
GNC,FRANKLIN SQUARE,10130,#10130 #0010130 #00010130 00010130 010130,178 NEW HYDE PARK ROAD,NY,11010
GNC,LITCHFIELD,10131,#10131 #0010131 #00010131 00010131 010131,331 WEST STREET,CT,6759
GNC,STAUNTON,10132,#10132 #0010132 #00010132 00010132 010132,1500 WEST BEVERLY STREET,VA,24401
GNC,PHILADELPHIA,10134,#10134 #0010134 #00010134 00010134 010134,1315 EAST WASHINGTON LANE,PA,19138
