keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Giant Eagle,Gibsonia,1691,#1691 #001691 #01691,5600 William Flynn Highway,PA,15044
Giant Eagle,Groveport,6537,#6537 #006537 #06537,3841 S. Hamilton Road,OH,43125
Giant Eagle,New Kensington,8,#8 #008 #08,200 Tarentum Bridge Road,PA,15068
Giant Eagle,Greensburg,9,#9 #009 #09,6204 Route 30,PA,15601
Giant Eagle,North Huntingdon,10,#10 #0010 #010,8901 Route 30,PA,15642
Giant Eagle,North Versailles,15,#15 #0015 #015,1701 Lincoln Highway,PA,15137
Giant Eagle,Johnstown,16,#16 #0016 #016,1451 Scalp Avenue,PA,15904
Giant Eagle,Pittsburgh,17,#17 #0017 #017,6320 Shakespeare Street,PA,15206
Giant Eagle,Glenshaw,18,#18 #0018 #018,1671 Butler Plank Road,PA,15116
Giant Eagle,Johnstown,19,#19 #0019 #019,1233 Broad Street,PA,15906
Giant Eagle,West View,25,#25 #0025 #025,1029 West View Park Drive,PA,15229
Giant Eagle,West Mifflin,29,#29 #0029 #029,1356 Hoffman Boulevard,PA,15122
Giant Eagle,Export,32,#32 #0032 #032,4810 Old William Penn Hwy,PA,15632
Giant Eagle,Leetsdale,37,#37 #0037 #037,Quaker Village S.C.,PA,15056
Giant Eagle,Pittsburgh,38,#38 #0038 #038,1901 Murray Avenue,PA,15217
Giant Eagle,Leechburg,41,#41 #0041 #041,41 Towne Center Drive,PA,15656
Giant Eagle,Seven Fields,42,#42 #0042 #042,206 Seven Fields Blvd,PA,16046
Giant Eagle,Pittsburgh,45,#45 #0045 #045,9805 McKnight Road,PA,15237
Giant Eagle,Johnstown,46,#46 #0046 #046,344 Goucher Street,PA,15905
Giant Eagle,Pittsburgh,52,#52 #0052 #052,132 Ben Avon Heights Road,PA,15237
Giant Eagle,Belle Vernon,53,#53 #0053 #053,300 Tri County Plaza,PA,15012
Giant Eagle,Somerset,54,#54 #0054 #054,1606 North Center Avenue,PA,15501
Giant Eagle,Morgantown,58,#58 #0058 #058,4500 University Town Center,WV,26501
Giant Eagle,Morgantown,59,#59 #0059 #059,130 Greenbag Road,WV,26505
Giant Eagle,Monroeville,60,#60 #0060 #060,4010 Monroeville Boulevard,PA,15146
Giant Eagle,Pittsburgh,61,#61 #0061 #061,2021 Wharton Avenue,PA,15203
Giant Eagle,Rochester,62,#62 #0062 #062,111 West Madison Street,PA,15074
Giant Eagle,Pittsburgh,63,#63 #0063 #063,4250 Murray Avenue,PA,15217
Giant Eagle,Beaver Falls,66,#66 #0066 #066,2650 Constitution Boulevard,PA,15010
Giant Eagle,Pittsburgh,67,#67 #0067 #067,8080 McIntyre Square Drive,PA,15237
Giant Eagle,Coraopolis,68,#68 #0068 #068,5990 University Blvd,PA,15108
Giant Eagle,Pittsburgh,72,#72 #0072 #072,910 Freeport Road,PA,15238
Giant Eagle,West Mifflin,73,#73 #0073 #073,9901 Mountainview Drive,PA,15122
Giant Eagle,Pittsburgh,74,#74 #0074 #074,1165 McKinney Lane,PA,15220
Giant Eagle,Baden,75,#75 #0075 #075,1600 West State Street,PA,15005
Giant Eagle,Monroeville,76,#76 #0076 #076,4680 Old William Penn Hwy,PA,15146
Giant Eagle,Pittsburgh,77,#77 #0077 #077,254 Yost Boulevard-Braddock,PA,15221
Giant Eagle,Pittsburgh,78,#78 #0078 #078,230 Rodi Road,PA,15235
Giant Eagle,Roaring Spring,79,#79 #0079 #079,510 S Route 36,PA,16673-1629
Giant Eagle,Brookville,80,#80 #0080 #080,40 White Street,PA,15825
Giant Eagle,Greensburg,81,#81 #0081 #081,"5142 Route 30, Suite 140",PA,15601
Giant Eagle,Latrobe,82,#82 #0082 #082,1050 Mt. Laurel Plaza,PA,15650
Giant Eagle,DuBois,84,#84 #0084 #084,100 N Main Street,PA,15801
Giant Eagle,Oil City,86,#86 #0086 #086,602 East 2nd Street,PA,16301
Giant Eagle,St. Mary's,87,#87 #0087 #087,846 South Saint Marys Street,PA,15857
Giant Eagle,Titusville,88,#88 #0088 #088,110 S Martin Street,PA,16354
Giant Eagle,Columbus,177,#177 #00177 #0177,851 W Fifth Ave,OH,43212
Giant Eagle,Strongsville,178,#178 #00178 #0178,17887 South Park Center,OH,44136
Giant Eagle,West Richfield,179,#179 #00179 #0179,4428 Broadview Road,OH,44286
Giant Eagle,Ellwood City,182,#182 #00182 #0182,289 State Route 288,PA,16117
Giant Eagle,Mentor,196,#196 #00196 #0196,7960 Plaza Boulevard,OH,44060
Giant Eagle,North Ridgeville,199,#199 #00199 #0199,34325 Center Ridge Road,OH,44039
Giant Eagle,Chesterland,203,#203 #00203 #0203,12692 Chillicothe Road,OH,44026
Giant Eagle,North Royalton,204,#204 #00204 #0204,6000 Royalton Road,OH,44133
Giant Eagle,Lyndhurst,208,#208 #00208 #0208,25105 Cedar Road,OH,44124
Giant Eagle,Bedford,209,#209 #00209 #0209,900 Northfield Road,OH,44146
Giant Eagle,Chagrin Falls,213,#213 #00213 #0213,20 Shopping Plaza,OH,44022
Giant Eagle,Willowick,216,#216 #00216 #0216,30320 Lakeshore Boulevard,OH,44095
Giant Eagle,Middleburg Heights,217,#217 #00217 #0217,6869 Southland Drive,OH,44130
Giant Eagle,Amherst,220,#220 #00220 #0220,2201 Kresge Drive,OH,44001
Giant Eagle,Twinsburg,224,#224 #00224 #0224,8960 Darrow Road,OH,44087
Giant Eagle,Brunswick,229,#229 #00229 #0229,3440 Center Road,OH,44212
Giant Eagle,Sheffield Lake,231,#231 #00231 #0231,5231 Detroit Road,OH,44054
Giant Eagle,Rices Landing,389,#389 #00389 #0389,999 North Eighty Eight Road,PA,15357
Giant Eagle,South Euclid,440,#440 #00440 #0440,4401 Mayfield Road,OH,44121
Giant Eagle,Brook Park,465,#465 #00465 #0465,14650 Snow Road,OH,44142
Giant Eagle,Bainbridge,515,#515 #00515 #0515,8515 Tanglewood Square,OH,44023
Giant Eagle,White Oak,600,#600 #00600 #0600,2001 Lincoln Way,PA,15131
Giant Eagle,Elizabeth,605,#605 #00605 #0605,800 McKeesport Rd,PA,15037
Giant Eagle,Ligonier,607,#607 #00607 #0607,117 South Walnut Street,PA,15658
Giant Eagle,Monongahela,614,#614 #00614 #0614,1300 Country Club Road,PA,15063
Giant Eagle,Pittsburgh,616,#616 #00616 #0616,600 Towne Square Way,PA,15227
Giant Eagle,Geneva,617,#617 #00617 #0617,755 South Broadway Avenue,OH,44041
Giant Eagle,Pittsburgh,619,#619 #00619 #0619,1705 South Braddock Avenue,PA,15218
Giant Eagle,North Cambria,624,#624 #00624 #0624,7 Cottonwood Street,PA,15714
Giant Eagle,Jeannette,626,#626 #00626 #0626,2000 Penny Lane Drive,PA,15644
Giant Eagle,East Liverpool,632,#632 #00632 #0632,15937 State Route 170,OH,43920
Giant Eagle,Sarver,643,#643 #00643 #0643,100 Buffalo Plaza,PA,16055
Giant Eagle,East Liverpool,645,#645 #00645 #0645,619 Bradshaw Avenue,OH,43920
Giant Eagle,Pittsburgh,646,#646 #00646 #0646,51 Walsh Road,PA,15205
Giant Eagle,Altoona,649,#649 #00649 #0649,181 Sophira Lane,PA,16602
Giant Eagle,Pittsburgh,652,#652 #00652 #0652,318-320 Cedar Avenue,PA,15212
Giant Eagle,Greenville,659,#659 #00659 #0659,50 Hadley Road,PA,16125
Giant Eagle,West Newton,660,#660 #00660 #0660,105 Robertson Street,PA,15089
Giant Eagle,Salem,664,#664 #00664 #0664,2401 East State Street,OH,44460
Giant Eagle,Cranberry Township,665,#665 #00665 #0665,20111 Route 19,PA,16066
Giant Eagle,Finleyville,667,#667 #00667 #0667,3701 Route 88,PA,15332
Giant Eagle,Brookfield,668,#668 #00668 #0668,7229 Warren-Sharon Road,OH,44403
Giant Eagle,Slippery Rock,670,#670 #00670 #0670,223 Grove City Rd.,PA,16057
Giant Eagle,Waynesburg,673,#673 #00673 #0673,100 Sugar Run Road,PA,15370
Giant Eagle,Meadville,675,#675 #00675 #0675,18511 Smock Highway,PA,16335
Giant Eagle,Franklin,681,#681 #00681 #0681,541 Allegheny Boulevard,PA,16323
Giant Eagle,Somerset,683,#683 #00683 #0683,4192 Glades Pike,PA,15501
Giant Eagle,Poland,688,#688 #00688 #0688,3130 Center Road,OH,44514
Giant Eagle,Louisville,692,#692 #00692 #0692,108 West Main Street,OH,44641
Giant Eagle,Aliquippa,694,#694 #00694 #0694,3113 Green Garden Road,PA,15001
Giant Eagle,Verona,695,#695 #00695 #0695,200 Allegheny River Boulevard,PA,15147
Giant Eagle,Pittsburgh,697,#697 #00697 #0697,9001 Frankstown Road,PA,15235
