keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Jersey Mike's,Wall,1002,1002 #1002,1933 Highway 35 & Allaire Road,NJ,7719
Jersey Mike's,Manahawkin,1003,1003 #1003,25 South Main Street,NJ,8050
Jersey Mike's,Middletown,1004,1004 #1004,1209 Route 35,NJ,7748
Jersey Mike's,Brick,1007,1007 #1007,2085 Route 88,NJ,8724
Jersey Mike's,Point Pleasant,1008,1008 #1008,2600 Bridge Avenue,NJ,8742
Jersey Mike's,Forked River,1009,1009 #1009,1 Lacey Road,NJ,8731
Jersey Mike's,Howell,1010,1010 #1010,3950 Route 9 & Aldrich Road,NJ,7731
Jersey Mike's,Manasquan,1011,1011 #1011,2627 Highway 70,NJ,8736
Jersey Mike's,Point Pleasant Beach,1012,1012 #1012,901 Richmond Avenue,NJ,8742
Jersey Mike's,Jackson,1016,1016 #1016,2275 West County Line Road,NJ,8527
Jersey Mike's,Silverton,1018,1018 #1018,1840 Hooper Avenue,NJ,8753
Jersey Mike's,Shrewsbury,1021,1021 #1021,10 Shrewsbury Plaza,NJ,7702
Jersey Mike's,West Long Branch,1022,1022 #1022,175 Monmouth Road,NJ,7764
Jersey Mike's,Whippany,1023,1023 #1023,831 Route 10 East,NJ,7981
Jersey Mike's,Hamilton,1024,1024 #1024,620 Marketplace Blvd.,NJ,8691
Jersey Mike's,Westfield,1025,1025 #1025,144 E. Broad Street,NJ,7090
Jersey Mike's,Brick,1026,1026 #1026,602 Mantoloking Road,NJ,8723
Jersey Mike's,Little Egg Harbor,1027,1027 #1027,418 Route 9 S,NJ,8087
Jersey Mike's,Lakewood,1028,1028 #1028,1195 Route 70,NJ,8701
Jersey Mike's,Brick,1029,1029 #1029,56 Chambers Bridge Road,NJ,8723
Jersey Mike's,Parsippany,1030,1030 #1030,317 Smith Road,NJ,7054
Jersey Mike's,Bayville,1031,1031 #1031,333 Atlantic City Boulevard,NJ,8721
Jersey Mike's,Cinnaminson,1032,1032 #1032,195 Route 130,NJ,8077
Jersey Mike's,Moorestown,1033,1033 #1033,1624 Nixon Drive,NJ,8057
Jersey Mike's,Morganville,1034,1034 #1034,450 Union Hill Road,NJ,7751
Jersey Mike's,Newark,1035,1035 #1035,Newark Liberty International Airport,NJ,7114
Jersey Mike's,Cherry Hill,1037,1037 #1037,512 Haddonfield Road,NJ,8002
Jersey Mike's,Marlton,1038,1038 #1038,908 Route 73 North,NJ,8053
Jersey Mike's,Lavallette,1039,1039 #1039,604 Grand Central Ave,NJ,8735
Jersey Mike's,Long Branch,1040,1040 #1040,444 Ocean Blvd North,NJ,7740
Jersey Mike's,W. Long Branch,1041,1041 #1041,400 Cedar Avenue,NJ,7764
Jersey Mike's,Somers Point,1042,1042 #1042,17 Bethel Road,NJ,8244
Jersey Mike's,Red Bank,1044,1044 #1044,100 Water Street,NJ,7701
Jersey Mike's,Holmdel,1046,1046 #1046,2145 State Route 35,NJ,7733
Jersey Mike's,Cincinnati,2001,2001 #2001,9525 Kenwood Rd.,OH,45242
Jersey Mike's,Blue Ash,2002,2002 #2002,4776 Cornell Road,OH,45241
Jersey Mike's,Cincinnati,2003,2003 #2003,3770 Paxton Road,OH,45209
Jersey Mike's,Springdale,2004,2004 #2004,11409 Princeton Pike,OH,45246
Jersey Mike's,Gahanna,2005,2005 #2005,332 South Hamilton Road,OH,43230
Jersey Mike's,Gahanna,2006,2006 #2006,1340 N. Hamilton Rd.,OH,43230
Jersey Mike's,Cincinnati,2007,2007 #2007,8138 Beechmont Avenue,OH,45255
Jersey Mike's,Cincinnati,2008,2008 #2008,8481 Winton Road,OH,45231
Jersey Mike's,Cincinnati,2009,2009 #2009,5032 Glen Crossings Way,OH,45238
Jersey Mike's,Blacklick,2011,2011 #2011,7175 East Broad Street,OH,43004
Jersey Mike's,Westerville,2013,2013 #2013,5957 Sunbury Road,OH,43081
Jersey Mike's,Pickerington,2016,2016 #2016,1213 Hill Road North,OH,43147
Jersey Mike's,Dublin,2017,2017 #2017,6702 Perimeter Loop Road,OH,43017
Jersey Mike's,Mason,2019,2019 #2019,6651 Western Row Road,OH,45040
Jersey Mike's,Heath,2020,2020 #2020,609 Hebron Road,OH,43056
Jersey Mike's,Powell,2022,2022 #2022,3958 Powell Road,OH,43065
Jersey Mike's,Hilliard,2023,2023 #2023,4664 Cemetery Road,OH,43026
Jersey Mike's,Columbus,2024,2024 #2024,1489 Polaris Parkway,OH,43240
Jersey Mike's,Willoughby,2025,2025 #2025,36295 Euclid Avenue,OH,44094
Jersey Mike's,Cincinnati,2038,2038 #2038,7346 Kenwood Rd.,OH,45236
Jersey Mike's,Centerville,2040,2040 #2040,6002 Far Hills Avenue,OH,45459
Jersey Mike's,Fairview Park,2041,2041 #2041,21875 Lorain Road,OH,44126
Jersey Mike's,Columbus,2042,2042 #2042,1293 West Lane Ave.,OH,43221
Jersey Mike's,West Chester,2043,2043 #2043,7240 Liberty Centre Drive,OH,45069
Jersey Mike's,Columbus,2044,2044 #2044,4249 North High St.,OH,43214
Jersey Mike's,Cincinnati,2045,2045 #2045,5624 Cheviot Road,OH,45247
Jersey Mike's,Chardon,2046,2046 #2046,209 Center Street,OH,44024
Jersey Mike's,Grove City,2047,2047 #2047,4114 Buckeye Parkway,OH,43123
Jersey Mike's,Cincinnati,2048,2048 #2048,12133 Royal Point Dr.,OH,45249
Jersey Mike's,Beavercreek,2049,2049 #2049,3510 Pentagon Boulevard,OH,45431
Jersey Mike's,Rocky River,2050,2050 #2050,20647 Center Ridge Road,OH,44116
Jersey Mike's,Raleigh,3001,3001 #3001,4542 Capital Boulevard,NC,27604
Jersey Mike's,Raleigh,3002,3002 #3002,5910-119 Duraleigh Rd.,NC,27612
Jersey Mike's,Greenville,3003,3003 #3003,310-D East Arlington Boulevard,NC,27858
Jersey Mike's,Greenville,3004,3004 #3004,1915 South East Greenville Blvd,NC,27858
