keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Journeys,PROVIDENCE,676,#00676 #0676 #676 0676,"PROVIDENCE PLACE , 108 PROVIDENCE PLACE, SPC A-321",RI,02903-1752
Journeys,PORTLAND,677,#00677 #0677 #677 0677,"WASHINGTON SQUARE MALL, 9426 SW WASHINGTON SQUARE RD",OR,97223-4447
Journeys,HARRISONBURG,678,#00678 #0678 #678 0678,"VALLEY MALL, 1925 E MARKET ST, STE 326",VA,22801-3432
Journeys,JENSEN BEACH,679,#00679 #0679 #679 0679,"TREASURE COAST SQUARE MALL, 3422 NW FEDERAL HWY",FL,34957-4440
Journeys,SAN ANTONIO,680,#00680 #0680 #680 0680,"INGRAM PARK MALL, 6301 NW LOOP 410, STE H-2",TX,78238-3898
Journeys,MESQUITE,681,#00681 #0681 #681 0681,"TOWN EAST MALL , 2063 TOWN EAST MALL, STE 2052",TX,75150-4118
Journeys,RICHMOND,682,#00682 #0682 #682 0682,"RICHMOND SQUARE, 3801 NATIONAL ROAD E, STE 571",IN,47374-3687
Journeys,IRVING,683,#00683 #0683 #683 0683,"IRVING MALL, 3880 IRVING MALL",TX,75062-5129
Journeys,BLAINE,684,#00684 #0684 #684 0684,"NORTHTOWN MALL, 398 NORTHTOWN DRIVE, SPC 20",MN,55434-1038
Journeys,BREA,685,#00685 #0685 #685 0685,"BREA MALL, 1035 BREA MALL",CA,92821-5718
Journeys,OMAHA,687,#00687 #0687 #687 0687,"OAK VIEW MALL, 3001 S 144TH ST, STE 1034",NE,68144-5234
Journeys,SHERMAN,688,#00688 #0688 #688 0688,"MIDWAY MALL, 4800 TEXOMA PKWY, STE 220",TX,75090-2083
Journeys,AVENTURA,689,#00689 #0689 #689 0689,"AVENTURA MALL, 19575 BISCAYNE BLVD, STE 1299",FL,33180-2352
Journeys,AKRON,691,#00691 #0691 #691 0691,"SUMMIT MALL, 3265 W MARKET ST, STE 434",OH,44333-3354
Journeys,FARGO,692,#00692 #0692 #692 0692,"WEST ACRES SHOPPING CENTER, 3902 13TH AVE S, STE 525",ND,58103-3357
Journeys,LAREDO,693,#00693 #0693 #693 0693,"MALL DEL NORTE, 5300 SAN DARIO AVE, STE 154",TX,78041-3036
Journeys,TRAVERSE CITY,694,#00694 #0694 #694 0694,"GRAND TRAVERSE MALL, 3200 S AIRPORT RD W, STE 522",MI,49684-8124
Journeys,MYRTLE BEACH,695,#00695 #0695 #695 0695,"COASTAL GRAND, 2000 COASTAL GRAND CIR, STE 180",SC,29577-9613
