keywords,city,Aggdata Store Number,store_number,address,state,zip_code
King Soopers,Denver,62000001,#001 #01 62000001 6200001 620001,1331 Speer Blvd,CO,80204
King Soopers,Arvada,62000003,#003 #03 62000003 6200003 620003,6350 Sheridan Blvd,CO,80003
King Soopers,Denver,62000005,#005 #05 62000005 6200005 620005,1355 Krameria St,CO,80220
King Soopers,Colorado Springs,62000006,#006 #06 62000006 6200006 620006,1750 W Uintah St,CO,80904
King Soopers,Denver,62000007,#007 #07 62000007 6200007 620007,5125 W Florida Ave,CO,80219
King Soopers,Highlands Ranch,62000008,#008 #08 62000008 6200008 620008,2205 W Wildcat Reserve Pkwy,CO,80129
King Soopers,Fort Collins,62000009,#009 #09 62000009 6200009 620009,1015 S Taft Hill Rd,CO,80521
King Soopers,Aurora,62000010,#0010 #010 620000010 62000010 6200010,15250 E Mississippi Ave,CO,80012
King Soopers,Pueblo,62000012,#0012 #012 620000012 62000012 6200012,3050 W Northern Ave,CO,81005
King Soopers,Louisville,62000013,#0013 #013 620000013 62000013 6200013,1375 E South Boulder Rd,CO,80027
King Soopers,Aurora,62000014,#0014 #014 620000014 62000014 6200014,655 Peoria St,CO,80011
King Soopers,Centennial,62000016,#0016 #016 620000016 62000016 6200016,19711 E Smoky Hill Rd,CO,80015
King Soopers,Fort Collins,62000018,#0018 #018 620000018 62000018 6200018,2325 S College Ave,CO,80525
King Soopers,Denver,62000019,#0019 #019 620000019 62000019 6200019,3100 S Sheridan Blvd,CO,80227
King Soopers,Wheat Ridge,62000020,#0020 #020 620000020 62000020 6200020,3400 Youngfield St,CO,80033
King Soopers,Denver,62000021,#0021 #021 620000021 62000021 6200021,825 S Colorado Blvd,CO,80246
King Soopers,Arvada,62000022,#0022 #022 620000022 62000022 6200022,9731 W 58Th Ave,CO,80002
King Soopers,Thornton,62000024,#0024 #024 620000024 62000024 6200024,750 E 104Th Ave Unit A,CO,80233
King Soopers,Littleton,62000025,#0025 #025 620000025 62000025 6200025,11747 W Ken Caryl Ave,CO,80127
King Soopers,Denver,62000026,#0026 #026 620000026 62000026 6200026,6470 E Hampden Ave,CO,80222
King Soopers,Highlands Ranch,62000027,#0027 #027 620000027 62000027 6200027,9551 S University Blvd,CO,80126
King Soopers,Boulder,62000028,#0028 #028 620000028 62000028 6200028,6550 Lookout Rd,CO,80301
King Soopers,Denver,62000029,#0029 #029 620000029 62000029 6200029,1155 E 9Th Ave,CO,80218
King Soopers,Aurora,62000030,#0030 #030 620000030 62000030 6200030,1155 S Havana St,CO,80012
King Soopers,Lakewood,62000031,#0031 #031 620000031 62000031 6200031,1927 S Wadsworth Blvd,CO,80227
King Soopers,Greeley,62000032,#0032 #032 620000032 62000032 6200032,2712 11Th Ave,CO,80631
King Soopers,Boulder,62000033,#0033 #033 620000033 62000033 6200033,3600 Table Mesa Dr,CO,80305
King Soopers,Federal Heights,62000034,#0034 #034 620000034 62000034 6200034,1575 W 84Th Ave,CO,80260
King Soopers,Denver,62000035,#0035 #035 620000035 62000035 6200035,890 S Monaco Pkwy,CO,80224
King Soopers,Arvada,62000036,#0036 #036 620000036 62000036 6200036,8031 Wadsworth Blvd,CO,80003
King Soopers,Centennial,62000038,#0038 #038 620000038 62000038 6200038,5050 E Arapahoe Rd,CO,80122
King Soopers,Aurora,62000039,#0039 #039 620000039 62000039 6200039,3190 S Parker Rd,CO,80014
King Soopers,Lakewood,62000040,#0040 #040 620000040 62000040 6200040,12043 W Alameda Pkwy,CO,80228
King Soopers,Littleton,62000041,#0041 #041 620000041 62000041 6200041,6760 S Pierce St,CO,80128
King Soopers,Longmont,62000042,#0042 #042 620000042 62000042 6200042,2255 Main St,CO,80501
King Soopers,Pueblo,62000043,#0043 #043 620000043 62000043 6200043,102 W 29Th St,CO,81008
King Soopers,Loveland,62000044,#0044 #044 620000044 62000044 6200044,253 E 29Th St,CO,80538
King Soopers,Arvada,62000045,#0045 #045 620000045 62000045 6200045,12350 W 64Th Ave,CO,80004
King Soopers,Centennial,62000047,#0047 #047 620000047 62000047 6200047,7575 S University Blvd,CO,80122
King Soopers,Aurora,62000049,#0049 #049 620000049 62000049 6200049,17000 E Iliff Ave,CO,80013
King Soopers,Littleton,62000050,#0050 #050 620000050 62000050 6200050,9820 W Belleview Ave,CO,80123
King Soopers,Aurora,62000052,#0052 #052 620000052 62000052 6200052,15109 E Colfax Ave,CO,80011
King Soopers,Colorado Springs,62000053,#0053 #053 620000053 62000053 6200053,6930 N Academy Blvd,CO,80918
King Soopers,Westminster,62000055,#0055 #055 620000055 62000055 6200055,9983 Wadsworth Pkwy,CO,80021
King Soopers,Denver,62000056,#0056 #056 620000056 62000056 6200056,2727 W Evans Ave,CO,80219
King Soopers,Wheat Ridge,62000057,#0057 #057 620000057 62000057 6200057,5301 West 38Th Ave,CO,80212
King Soopers,Colorado Springs,62000058,#0058 #058 620000058 62000058 6200058,815 Cheyenne Meadows Rd,CO,80906
King Soopers,Lakewood,62000059,#0059 #059 620000059 62000059 6200059,1545 S Kipling Pkwy,CO,80232
King Soopers,Lakewood,62000060,#0060 #060 620000060 62000060 6200060,1555 Quail St,CO,80215
King Soopers,Boulder,62000061,#0061 #061 620000061 62000061 6200061,1650 30Th St,CO,80301
King Soopers,Westminster,62000062,#0062 #062 620000062 62000062 6200062,10351 Federal Blvd,CO,80260
King Soopers,Centennial,62000063,#0063 #063 620000063 62000063 6200063,8200 S Holly St,CO,80122
King Soopers,Evergreen,62000064,#0064 #064 620000064 62000064 6200064,1173 Bergen Pkwy,CO,80439
King Soopers,Englewood,62000065,#0065 #065 620000065 62000065 6200065,101 Englewood Pkwy,CO,80110
King Soopers,Thornton,62000068,#0068 #068 620000068 62000068 6200068,3801 E 120Th Ave,CO,80233
King Soopers,Aurora,62000069,#0069 #069 620000069 62000069 6200069,4271 S Buckley Rd,CO,80013
King Soopers,Denver,62000072,#0072 #072 620000072 62000072 6200072,2750 S Colorado Blvd,CO,80222
King Soopers,Fort Collins,62000073,#0073 #073 620000073 62000073 6200073,4503 John F Kennedy Pkwy,CO,80525
King Soopers,Loveland,62000074,#0074 #074 620000074 62000074 6200074,1275 Eagle Dr,CO,80537
King Soopers,Parker,62000075,#0075 #075 620000075 62000075 6200075,12959 S Parker Rd,CO,80134
King Soopers,Colorado Springs,62000076,#0076 #076 620000076 62000076 6200076,3570 Hartsel Dr,CO,80920
King Soopers,Colorado Springs,62000077,#0077 #077 620000077 62000077 6200077,1070 W Baptist Rd,CO,80921
King Soopers,Littleton,62000078,#0078 #078 620000078 62000078 6200078,8126 S Wadsworth Blvd,CO,80128
King Soopers,Cheyenne,62000079,#0079 #079 620000079 62000079 6200079,3702 Dell Range Blvd,WY,82009
King Soopers,Longmont,62000080,#0080 #080 620000080 62000080 6200080,995 S Hover St,CO,80501
King Soopers,Brighton,62000081,#0081 #081 620000081 62000081 6200081,500 E Bromley Ln,CO,80601
King Soopers,Golden,62000082,#0082 #082 620000082 62000082 6200082,17171 S Golden Rd,CO,80401
King Soopers,Denver,62000083,#0083 #083 620000083 62000083 6200083,18605 Green Valley Ranch Blvd,CO,80249
King Soopers,Aurora,62000084,#0084 #084 620000084 62000084 6200084,6412 S Parker Rd,CO,80016
King Soopers,Arvada,62000085,#0085 #085 620000085 62000085 6200085,15200 W 64Th Ave,CO,80007
King Soopers,Conifer,62000087,#0087 #087 620000087 62000087 6200087,25637 Conifer Rd,CO,80433
King Soopers,Parker,62000088,#0088 #088 620000088 62000088 6200088,17031 Lincoln Ave,CO,80134
King Soopers,Broomfield,62000089,#0089 #089 620000089 62000089 6200089,1150 Us Highway 287,CO,80020
King Soopers,Edgewater,62000090,#0090 #090 620000090 62000090 6200090,1725 Sheridan Blvd,CO,80214
King Soopers,Castle Pines,62000091,#0091 #091 620000091 62000091 6200091,7284 Lagae Rd,CO,80108
King Soopers,Commerce City,62000092,#0092 #092 620000092 62000092 6200092,4850 E 62Nd Ave,CO,80022
King Soopers,Denver,62000093,#0093 #093 620000093 62000093 6200093,2810 Quebec St,CO,80207
King Soopers,Evans,62000095,#0095 #095 620000095 62000095 6200095,2930 11Th Ave,CO,80620
