keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Kohls,Roseville,7,#7 #07,32100 Beaconsfield St,MI,48066
Kohls,Troy,8,#8 #08,1265 Coolidge Hwy,MI,48084
Kohls,Troy,8,#8 #08,500 John R Rd,MI,48083
Kohls,Novi,9,#9 #09,43550 W Oaks Dr,MI,48377
Kohls,Sterling Heights,10,#10 #010,44200 Schoenherr Rd,MI,48313
Kohls,Westland,11,#11 #011,35000 Warren Rd,MI,48185
Kohls,Kentwood,14,#14 #014,3131 Woodland Dr SE,MI,49512
Kohls,Taylor,17,#17 #017,14500 Racho Blvd,MI,48180
Kohls,Walker,18,#18 #018,745 Center Dr NW,MI,49544
Kohls,Bolingbrook,19,#19 #019,1138 W Boughton Rd,IL,60440
Kohls,Grand Junction,25,#25 #025,636 Market St,CO,81505
Kohls,Clarksburg,31,#31 #031,330 Emily Dr,WV,26301
Kohls,Lake Worth,32,#32 #032,6054 Azle Ave,TX,76135
Kohls,Wilkes Barre,33,#33 #033,445 Wilkes Barre Township Blvd,PA,18702
Kohls,Yuma,34,#34 #034,1350 S Castle Dome Ave,AZ,85365
Kohls,Horseheads,35,#35 #035,1200 County Route 64,NY,14845
Kohls,Fort Gratiot,37,#37 #037,4485 24th Ave Ste 100,MI,48059
Kohls,Brookfield,39,#39 #039,2315 N 124th St,WI,53005
Kohls,West Allis,41,#41 #041,2601 S 108th St,WI,53227
Kohls,Milwaukee,43,#43 #043,3737 S 27th St,WI,53221
Kohls,Brown Deer,44,#44 #044,9060 N Green Bay Rd,WI,53209
Kohls,Onalaska,48,#48 #048,9404 State Road 16,WI,54650
Kohls,Burnsville,49,#49 #049,13900 Aldrich Ave S,MN,55337
Kohls,Brooklyn Center,51,#51 #051,2501 County Rd 10,MN,55430
Kohls,Maplewood,52,#52 #052,3001 Maplewood Dr,MN,55109
Kohls,Roseville,54,#54 #054,1651 County Road B2 W,MN,55113
Kohls,Woodbury,55,#55 #055,7100 Valley Creek Plz,MN,55125
Kohls,Norridge,57,#57 #057,4220 N Harlem Ave,IL,60706
Kohls,West Dundee,59,#59 #059,3000 Spring Hill Mall,IL,60118
Kohls,Arlington Heights,60,#60 #060,800 W Dundee Rd,IL,60004
Kohls,Chicago Ridge,62,#62 #062,9700 Ridgeland Ave,IL,60415
Kohls,Burbank,63,#63 #063,7608 La Crosse Ave,IL,60459
Kohls,Woodridge,64,#64 #064,1001 75th St,IL,60517
Kohls,Bloomingdale,65,#65 #065,6 Stratford Square Mall,IL,60108
Kohls,Downers Grove,66,#66 #066,2920 Finley Rd,IL,60515
Kohls,Aurora,67,#67 #067,4340 Fox Valley Center Dr,IL,60504
Kohls,Orland Park,68,#68 #068,3 Orland Park Pl,IL,60462
Kohls,Niles,70,#70 #070,590 Golf Mill Ctr,IL,60714
Kohls,Greendale,71,#71 #071,5300 S 76th St,WI,53129
Kohls,Peoria,72,#72 #072,4100 W Willow Knolls Dr,IL,61615
Kohls,Hodgkins,73,#73 #073,9350 Joliet Rd,IL,60525
Kohls,Schaumburg,75,#75 #075,171 Barrington Rd,IL,60194
Kohls,Schaumburg,75,#75 #075,410 E Golf Rd,IL,60173
Kohls,Wheaton,77,#77 #077,401 S County Farm Rd,IL,60187
Kohls,Saint Charles,78,#78 #078,3840 E Main St,IL,60174
Kohls,Eagan,79,#79 #079,1350 Town Centre Dr,MN,55123
Kohls,West Bend,82,#82 #082,1400 S Main St,WI,53095
Kohls,Merrillville,83,#83 #083,1601 Southlake Mall,IN,46410
Kohls,Carmel,84,#84 #084,2005 E Greyhound Pass,IN,46033
Kohls,Carmel,84,#84 #084,9895 N Michigan Rd,IN,46032
Kohls,Waite Park,86,#86 #086,145 2nd St S,MN,56387
Kohls,Glendale,89,#89 #089,5650 N Bayshore Dr,WI,53217
Kohls,Waukesha,91,#91 #091,2130 E Moreland Blvd,WI,53186
Kohls,Waukesha,91,#91 #091,2140 W Saint Paul Ave,WI,53188
Kohls,Columbus,95,#95 #095,3360 Olentangy River Rd,OH,43202
Kohls,Columbus,95,#95 #095,4865 N Hamilton Rd,OH,43230
Kohls,Westerville,96,#96 #096,133 Huber Village Blvd,OH,43081
Kohls,Dublin,97,#97 #097,6063 Sawmill Rd,OH,43017
Kohls,Ashwaubenon,99,#99 #099,500 Bay Park Sq,WI,54304
Kohls,Menomonee Falls,101,#101 #0101,N95W18000 Appleton Ave,WI,53051
Kohls,Springfield,102,#102 #0102,2901 S Veterans Pkwy,IL,62704
Kohls,Clive,103,#103 #0103,10201 University Ave,IA,50325
Kohls,Des Moines,104,#104 #0104,3800 Merle Hay Rd,IA,50310
Kohls,Sioux Falls,105,#105 #0105,3800 S Louise Ave,SD,57106
Kohls,Sioux Falls,105,#105 #0105,921 S Highline Pl,SD,57110
Kohls,Indianapolis,106,#106 #0106,8141 E 96th St,IN,46256
Kohls,Indianapolis,106,#106 #0106,8487 Union Chapel Rd,IN,46240
Kohls,Indianapolis,107,#107 #0107,5660 Crawfordsville Rd,IN,46224
Kohls,Anderson,108,#108 #0108,4544 S Scatterfield Rd,IN,46013
Kohls,Oak Creek,109,#109 #0109,9035 S Howell Ave,WI,53154
Kohls,Fort Wayne,110,#110 #0110,1410 Apple Glen Blvd,IN,46804
Kohls,Fort Wayne,110,#110 #0110,835 E Coliseum Blvd,IN,46805
Kohls,Green Bay,111,#111 #0111,2300 E Mason St,WI,54302
Kohls,Vernon Hills,112,#112 #0112,235 N Milwaukee Ave,IL,60061
Kohls,Appleton,113,#113 #0113,3226 E Calumet St,WI,54915
Kohls,Appleton,113,#113 #0113,800 W Northland Ave,WI,54914
Kohls,Midwest City,114,#114 #0114,7401 SE 29th St,OK,73110
Kohls,Wichita Falls,115,#115 #0115,3712 Call Field Rd Lot 3 Block 1,TX,76308
Kohls,Papillion,117,#117 #0117,8909 S 71st Plz,NE,68133
Kohls,Terre Haute,118,#118 #0118,5679 S US Highway 41,IN,47802
Kohls,Wentzville,119,#119 #0119,1239 W Pearce Blvd,MO,63385
Kohls,Sheboygan,123,#123 #0123,3347 Kohler Memorial Dr,WI,53081
Kohls,Monona,125,#125 #0125,2501 W Broadway,WI,53713
Kohls,Champaign,126,#126 #0126,109 Convenience Center Rd,IL,61820
Kohls,Forsyth,127,#127 #0127,1080 Hickory Point Mall,IL,62535
Kohls,Bloomington,129,#129 #0129,1615 E Empire St,IL,61701
Kohls,Fort Wayne,130,#130 #0130,10310 Maysville Rd,IN,46835
Kohls,Fond du Lac,132,#132 #0132,913 W Johnson St,WI,54935
Kohls,Greenwood,134,#134 #0134,550 Fry Rd,IN,46142
Kohls,Indianapolis,136,#136 #0136,4850 E Southport Rd,IN,46237
Kohls,Lafayette,138,#138 #0138,2415 Sagamore Pkwy S,IN,47905
Kohls,Athens,139,#139 #0139,1991 Epps Bridge Pkwy,GA,30606
Kohls,Rockford,140,#140 #0140,6125 E State St,IL,61108
Kohls,Watertown,141,#141 #0141,21850 Towne Center Dr,NY,13601
Kohls,Janesville,142,#142 #0142,2500 Milton Ave,WI,53545
Kohls,Sherman,143,#143 #0143,4111 N US Highway 75,TX,75090
Kohls,Bowling Green,147,#147 #0147,2321 Gary Farms Blvd,KY,42104
Kohls,Grand Blanc,148,#148 #0148,6300 S Saginaw Rd,MI,48439
Kohls,Millville,149,#149 #0149,2102 N 2nd St,NJ,8332
Kohls,Paducah,153,#153 #0153,5191 Hinkleville Rd,KY,42001
Kohls,Cape Girardeau,154,#154 #0154,315 Shirley Dr,MO,63701
Kohls,New Hartford,155,#155 #0155,8625 Clinton St,NY,13413
Kohls,Newport News,156,#156 #0156,551 Bland Blvd,VA,23602
Kohls,Sandusky,158,#158 #0158,815 Crossings Rd,OH,44870
Kohls,Wadsworth,159,#159 #0159,1119 Williams Reserve Blvd,OH,44281
Kohls,Wooster,160,#160 #0160,3792 Burbank Rd,OH,44691
Kohls,Dover,161,#161 #0161,299 N DuPont Hwy,DE,19901
Kohls,Pottstown,162,#162 #0162,351 W Schuylkill Rd,PA,19465
Kohls,Salinas,163,#163 #0163,1950 N Davis Rd,CA,93907
Kohls,Willimantic,165,#165 #0165,95 Storrs Rd,CT,6226
Kohls,Evans,166,#166 #0166,4227 Washington Rd,GA,30809
Kohls,Sioux City,167,#167 #0167,5001 Sergeant Rd,IA,51106
Kohls,Peru,168,#168 #0168,5253 State Route 251,IL,61354
Kohls,Evansville,169,#169 #0169,201 N Burkhardt Rd,IN,47715
Kohls,Evansville,169,#169 #0169,4200 Hogue Rd,IN,47712
Kohls,Georgetown,170,#170 #0170,112 Magnolia Dr,KY,40324
Kohls,Severn,171,#171 #0171,418 George Claus Blvd,MD,21144
Kohls,Salisbury,172,#172 #0172,128 W Dagsboro Rd,MD,21801
Kohls,Augusta,173,#173 #0173,80 Stephen King Dr Ste 1,ME,4330
Kohls,Machesney Park,174,#174 #0174,10153 N 2nd St,IL,61115
Kohls,Mount Pleasant,175,#175 #0175,5500 Washington Ave,WI,53406
Kohls,Gurnee,176,#176 #0176,6120 Grand Ave,IL,60031
Kohls,Mt Prospect,177,#177 #0177,1500 S Elmhurst Rd,IL,60056
Kohls,Blaine,179,#179 #0179,10311 Baltimore St NE,MN,55449
Kohls,Homewood,180,#180 #0180,17620 Halsted St,IL,60430
Kohls,Joplin,182,#182 #0182,301 Geneva Ave,MO,64801
Kohls,Fayetteville,183,#183 #0183,255 Glensford Dr,NC,28314
Kohls,Bismarck,184,#184 #0184,1129 W Century Ave,ND,58503
Kohls,Grand Island,185,#185 #0185,221 Wilmar Ave,NE,68803
Kohls,Monroe,186,#186 #0186,2323 N Telegraph Rd,MI,48162
Kohls,Zanesville,187,#187 #0187,3825 Gorsky Dr,OH,43701
Kohls,Carlisle,188,#188 #0188,226 Westminster Dr,PA,17013
Kohls,Dickson City,189,#189 #0189,3907 Commerce Blvd,PA,18519
