keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Kroger,Irmo,1100002,2 #002 #02 #2 1100002,7467 Saint Andrews Rd Ste 6,SC,29063
Kroger,Columbia,1100012,12 #0012 #012 #12 1100012,3403 Forest Drive,SC,29204
Kroger,Myrtle Beach,1100016,16 #0016 #016 #16 1100016,9610 N Kings Hwy,SC,29572
Kroger,North Myrtle Beach,1100020,20 #0020 #020 #20 1100020,781 Main St,SC,29582
Kroger,Murrells Inlet,1100025,25 #0025 #025 #25 1100025,2939 S Highway 17,SC,29576
Kroger,Myrtle Beach,1100026,26 #0026 #026 #26 1100026,3735 Renee Dr,SC,29579
Kroger,Atlanta,1100207,207 #00207 #0207 #207 1100207,"3300 Cobb Pkwy, Se, Suite #100",GA,30339
Kroger,Dunwoody,1100210,210 #00210 #0210 #210 1100210,4498 Chamblee Dunwoody Rd,GA,30338
Kroger,Tucker,1100212,212 #00212 #0212 #212 1100212,3959 Lavista Rd Ste A,GA,30084
Kroger,Covington,1100214,214 #00214 #0214 #214 1100214,3139 U.S. Highway 278 N.E.,GA,30014
Kroger,Atlanta,1100218,218 #00218 #0218 #218 1100218,3855 Buford Hwy NE,GA,30329
Kroger,Augusta,1100237,237 #00237 #0237 #237 1100237,3128 Deans Bridge Rd,GA,30906
Kroger,Augusta,1100245,245 #00245 #0245 #245 1100245,3435 Wrightsboro Rd,GA,30909
Kroger,Union City,1100247,247 #00247 #0247 #247 1100247,4550 Jonesboro Rd,GA,30291
Kroger,Athens,1100255,255 #00255 #0255 #255 1100255,2301 College Station Rd,GA,30605
Kroger,Warner Robins,1100257,257 #00257 #0257 #257 1100257,115 Russell Pkwy,GA,31088
Kroger,Atlanta,1100259,259 #00259 #0259 #259 1100259,3330 Piedmont Rd Ne,GA,30305
Kroger,Auburn,1100260,260 #00260 #0260 #260 1100260,300 N Dean Rd,AL,36830
Kroger,Dalton,1100265,265 #00265 #0265 #265 1100265,1205 Cleveland Hwy,GA,30721
Kroger,Acworth,1100291,291 #00291 #0291 #291 1100291,6199 Highway 92,GA,30102
Kroger,Cartersville,1100293,293 #00293 #0293 #293 1100293,51 N Morningside Dr,GA,30121
Kroger,Martinez,1100294,294 #00294 #0294 #294 1100294,4115 Columbia Rd,GA,30907
Kroger,Atlanta,1100295,295 #00295 #0295 #295 1100295,725 Ponce De Leon Ave Ne,GA,30306
Kroger,Atlanta,1100298,298 #00298 #0298 #298 1100298,1700 Monroe Dr Ne,GA,30324
Kroger,Decatur,1100303,303 #00303 #0303 #303 1100303,3479 Memorial Dr,GA,30032
