keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Kwik Fill,Cicero,2,02 2,6182  RT 31,NY,13039
Kwik Fill,Liverpool,3,03 3,7342 Oswego Rd.,NY,13090
Kwik Fill,Mexico,4,04 4,3251 East Main Street,NY,13114
Kwik Fill,Syracuse,5,05 5,7167 State Fair Boulevard,NY,13209
Kwik Fill,Fulton,7,07 7,800 W. Broadway,NY,13069
Kwik Fill,Oswego,8,08 8,7559 Route 104 W.,NY,13126
Kwik Fill,Pulaski,9,09 9,3897 Rome St.,NY,13142
Kwik Fill,Fulton,10,010 10,2718 State Rte 3,NY,13069
Kwik Fill,Canastota,11,011 11,3347 Seneca Turnpike,NY,13032
Kwik Fill,Auburn,12,012 12,334 Grant Avenue Road,NY,13021
Kwik Fill,Auburn,13,013 13,134 State Street,NY,13021
Kwik Fill,Canandaigua,14,014 14,2572 Rochester Road,NY,14424
Kwik Fill,Syracuse,16,016 16,6254 Thompson Rd.,NY,13206
Kwik Fill,Syracuse,17,017 17,3331 S. Salina St.,NY,13205
Kwik Fill,E. Syracuse,19,019 19,6301 Fly Road,NY,13057
Kwik Fill,E. Syracuse,20,020 20,6652 Manlius Center Road,NY,13104
Kwik Fill,Waterloo,21,021 21,395 Waterloo-Geneva Rd.,NY,13165
Kwik Fill,Weedsport,22,022 22,2695 Erie Drive,NY,13166
Kwik Fill,Binghamton,23,023 23,267 Main St.,NY,13905
Kwik Fill,Binghamton,24,024 24,1053 Front St.,NY,13905
Kwik Fill,Binghamton,25,025 25,4 W. State St.,NY,13905
Kwik Fill,Endwell,26,026 26,3408 E. Main St.,NY,13760
Kwik Fill,Johnson City,27,027 27,200 Harry L Dr.,NY,13790
Kwik Fill,Norwich,29,029 29,6135 State Route 12,NY,13815
Kwik Fill,Vestal,31,031 31,321 Bridge St.,NY,13850
Kwik Fill,Bath,34,034 34,7219 State Rte 54,NY,14810
Kwik Fill,Elmira,35,035 35,155 Madison Ave.,NY,14901
Kwik Fill,Elmira,36,036 36,1997 Lake Rd.,NY,14901
Kwik Fill,Horseheads,37,037 37,119 N. Main St.,NY,14845
Kwik Fill,Ithaca,38,038 38,303 Elmira Rd.,NY,14850
Kwik Fill,Owego,40,040 40,5 W. Main,NY,13827
Kwik Fill,Owego,41,041 41,450 North Ave.,NY,13827
Kwik Fill,Elmira,42,042 42,357 S. Walnut St.,NY,14904
Kwik Fill,Bath,43,043 43,346 W. Morris St.,NY,14810
Kwik Fill,Lyons,44,044 44,1 Forgham St.,NY,14489
Kwik Fill,Newark,45,045 45,363 W. Union St.,NY,14513
Kwik Fill,Honeoye,46,046 46,8697 Main Street,NY,14471
Kwik Fill,Naples,47,047 47,190 S. Main St.,NY,14512
Kwik Fill,Victor,48,048 48,7188 Route 96,NY,14564
Kwik Fill,Lima,49,049 49,1870 Rochester St.,NY,14485
Kwik Fill,Victor,50,050 50,7453 State Route 96,NY,14564
Kwik Fill,Newark,51,051 51,245 E. Union St.,NY,14513
Kwik Fill,Palmyra,52,052 52,703 East Main Street,NY,14522
Kwik Fill,Walworth,53,053 53,2166 Penfield-Walworth Rd.,NY,14568
Kwik Fill,Ontario,54,054 54,98 Rte. 104,NY,14519
Kwik Fill,Ontario,55,055 55,1661 Rte. 104,NY,14519
Kwik Fill,Rochester,56,056 56,950 Chili Ave.,NY,14611
Kwik Fill,Rochester,57,057 57,85 Stonewood Ave.,NY,14612
Kwik Fill,Rochester,58,058 58,3093 W. Henrietta Rd.,NY,14623
Kwik Fill,Rochester,60,060 60,201 N. Washington Ave.,NY,14445
Kwik Fill,Rochester,62,062 62,3255 Chili Ave.,NY,14624
Kwik Fill,Arcade,65,065 65,582 W. Main Street,NY,14009
Kwik Fill,Franklinville,66,066 66,66 S. Main Street,NY,14737
Kwik Fill,Olean,67,067 67,1257 Olean - Porterville Rd.,NY,14760
Kwik Fill,Olean,69,069 69,3108 W. State Street,NY,14760
Kwik Fill,Wellsville,70,070 70,3283 Riverside Drive (Rt 19),NY,14895
Kwik Fill,Wellsville,74,074 74,3 North Main Street,NY,14895
Kwik Fill,Olean,75,075 75,428 Main Street,NY,14760
Kwik Fill,Lakewood,76,076 76,301 E. Fairmount Ave.,NY,14750
Kwik Fill,Falconer,77,077 77,455 W. Main St.,NY,14733
Kwik Fill,Jamestown,78,078 78,700 Fairmount Ave.,NY,14701
Kwik Fill,Jamestown,79,079 79,161 Fluvanna Ave.,NY,14701
Kwik Fill,Mayville,80,080 80,14 Water St.,NY,14757
Kwik Fill,Westfield,82,082 82,7630 E. Main Rd.,NY,14787
Kwik Fill,Jamestown,83,083 83,1781 Foote Ave. Ext.,NY,14701
Kwik Fill,Jamestown,84,084 84,1617 West Third Street,NY,14701
