keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Les Schwab,Redmond,9,#9 #09 #009,845 NW 6th St,OR,97756
Les Schwab,Prineville,11,#11 #011 #0011,1250 E 3rd,OR,97754
Les Schwab,Bend,12,#12 #012 #0012,105 NE Franklin Ave,OR,97701
Les Schwab,Madras,13,#13 #013 #0013,28 NE Plum St,OR,97741
Les Schwab,John Day,14,#14 #014 #0014,551 W Main St,OR,97845
Les Schwab,Hood River,15,#15 #015 #0015,3140 Cascade Ave,OR,97031
Les Schwab,The Dalles,16,#16 #016 #0016,2645 E 2nd St,OR,97058
Les Schwab,Klamath Falls,17,#17 #017 #0017,5757 S 6th St,OR,97603
Les Schwab,Hermiston,18,#18 #018 #0018,830 N 1st St,OR,97838
Les Schwab,Lebanon,19,#19 #019 #0019,2275 S Santiam Hwy,OR,97355
Les Schwab,Burns,20,#20 #020 #0020,179 Hines Blvd,OR,97720
Les Schwab,Sweet Home,21,#21 #021 #0021,1707 Main Street,OR,97386
Les Schwab,Albany,23,#23 #023 #0023,2925 Santiam Hwy SE,OR,97322
Les Schwab,Milton Freewater,24,#24 #024 #0024,609 E Broadway,OR,97862
Les Schwab,Ontario,25,#25 #025 #0025,511 E Idaho Ave,OR,97914
Les Schwab,Lakeview,26,#26 #026 #0026,422 North F Street,OR,97630
Les Schwab,Springfield,27,#27 #027 #0027,3294 Main St,OR,97478
Les Schwab,Pendleton,28,#28 #028 #0028,1550 Southgate Place,OR,97801
Les Schwab,Corvallis,29,#29 #029 #0029,2119 NW 9th St,OR,97330
Les Schwab,Eugene,30,#30 #030 #0030,2295 W 11th Ave,OR,97402
Les Schwab,Medford,31,#31 #031 #0031,500 Matt Loop,OR,97501
Les Schwab,La Grande,32,#32 #032 #0032,2306 Adams Avenue,OR,97850
Les Schwab,Grants Pass,33,#33 #033 #0033,1694 NW 6th St,OR,97526
Les Schwab,Salem,34,#34 #034 #0034,1710 Lancaster Dr NE,OR,97305
Les Schwab,Milwaukie,37,#37 #037 #0037,16685 SE McLoughlin Blvd,OR,97267
Les Schwab,Medford,38,#38 #038 #0038,701 N Central Ave,OR,97501
Les Schwab,Lewiston,82,#82 #082 #0082,1408 Main Street,ID,83501
Les Schwab,Coeur d'Alene,83,#83 #083 #0083,2818 N Government Way,ID,83815
Les Schwab,Grangeville,84,#84 #084 #0084,411 East Main,ID,83530
Les Schwab,Moscow,85,#85 #085 #0085,1421 E White Ave,ID,83843
Les Schwab,Orofino,86,#86 #086 #0086,302 Johnson Avenue,ID,83544
Les Schwab,Kellogg,87,#87 #087 #0087,15 E Cameron Ave,ID,83837
Les Schwab,Weiser,89,#89 #089 #0089,250 E 1st St,ID,83672
Les Schwab,Saint Maries,90,#90 #090 #0090,930 Main Ave,ID,83861
Les Schwab,Nampa,91,#91 #091 #0091,133 Caldwell Blvd,ID,83651
Les Schwab,Twin Falls,92,#92 #092 #0092,421 Blue Lakes Blvd N,ID,83301
Les Schwab,Hayden,93,#93 #093 #0093,8820 Commerce Drive,ID,83835
Les Schwab,Jerome,94,#94 #094 #0094,1848 S Lincoln Ave,ID,83338
Les Schwab,Twin Falls,95,#95 #095 #0095,389 Poleline Rd,ID,83301
Les Schwab,Lewiston,96,#96 #096 #0096,251 Thain Road,ID,83501
Les Schwab,Boise,101,#101 #0101 #00101,6017 W Fairview Ave,ID,83704
Les Schwab,Mountain Home,102,#102 #0102 #00102,400 Airbase Rd,ID,83647
Les Schwab,Boise,103,#103 #0103 #00103,6520 W State St,ID,83714
Les Schwab,Emmett,104,#104 #0104 #00104,419 N Washington Ave,ID,83617
Les Schwab,Post Falls,105,#105 #0105 #00105,302 E Seltice Way,ID,83877
Les Schwab,Priest River,106,#106 #0106 #00106,4357 Highway 2,ID,83856
Les Schwab,Caldwell,107,#107 #0107 #00107,315 S 22nd Ave,ID,83605
Les Schwab,Ponderay,108,#108 #0108 #00108,279 Bonner Mall Way,ID,83852
Les Schwab,Pocatello,109,#109 #0109 #00109,332 N 5th Ave,ID,83201
Les Schwab,Blackfoot,110,#110 #0110 #00110,990 W Bridge St,ID,83221
Les Schwab,Idaho Falls,112,#112 #0112 #00112,970 E 17th St,ID,83404
Les Schwab,Idaho Falls,113,#113 #0113 #00113,210 Constitution Way,ID,83402
Les Schwab,Rexburg,114,#114 #0114 #00114,407 S 5th W,ID,83440
Les Schwab,Pocatello,115,#115 #0115 #00115,4020 Yellowstone Ave,ID,83202
Les Schwab,Boise,116,#116 #0116 #00116,2085 Broadway Ave,ID,83706
Les Schwab,Hailey,117,#117 #0117 #00117,520 N River St,ID,83333
Les Schwab,Boise,118,#118 #0118 #00118,1324 W Jefferson St,ID,83702
Les Schwab,Meridian,119,#119 #0119 #00119,275 S Main St,ID,83642
Les Schwab,Buhl,120,#120 #0120 #00120,1241 Burley Ave,ID,83316
Les Schwab,Eagle,121,#121 #0121 #00121,1467 E Iron Eagle Dr,ID,83616
Les Schwab,American Falls,123,#123 #0123 #00123,2842 Pocatello Ave,ID,83211
Les Schwab,Boise,124,#124 #0124 #00124,1850 S Cole Rd,ID,83709
Les Schwab,McCall,125,#125 #0125 #00125,500 Deinhard Ln,ID,83638
Les Schwab,Nampa,126,#126 #0126 #00126,2901 12th Ave Rd,ID,83686
Les Schwab,Rathdrum,127,#127 #0127 #00127,13500 N Hwy 53,ID,83858
Les Schwab,Kuna,128,#128 #0128 #00128,975 E Avalon,ID,83634
