keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Lucky Brand,JACKSONVILLE,40013,40013XXXXXX,4712 RIVER CITY DRIVE,FL,32246
Lucky Brand,BLOOMINGTON,40014,40014XXXXXX,170 SOUTH AVENUE,MN,55425-5550
Lucky Brand,TUCSON,40015,40015XXXXXX,2905 EAST SKYLINE DRIVE,AZ,85718
Lucky Brand,EDISON,40016,40016XXXXXX,100 MENLO PARK,NJ,8837
Lucky Brand,NEWARK,40017,40017XXXXXX,145 CHRISTIANA MALL,DE,19720
Lucky Brand,SAN ANTONIO,40018,40018XXXXXX,15900 LA CANTERA PKWY,TX,78256
Lucky Brand,NASHVILLE,40019,40019XXXXXX,2126 ABBOTT MARTIN ROAD,TN,37215
Lucky Brand,DALLAS,40020,40020XXXXXX,8687 NORTH CENTRAL EXPRESSWAY,TX,75225
Lucky Brand,BRIDGEWATER,40022,40022XXXXXX,400 COMMONS WAY,NJ,8807
Lucky Brand,THOUSAND OAKS,40023,40023XXXXXX,426 WEST HILLCREST DRIVE,CA,91360
Lucky Brand,SAN FRANCISCO,40024,40024XXXXXX,222 GRANT AVE.,CA,94108
Lucky Brand,BURLINGTON,40027,40027XXXXXX,77 MIDDLESEX TURNPIKE,MA,1803
Lucky Brand,WILLOWGROVE,40028,40028XXXXXX,2500 MORELAND ROAD,PA,19090
Lucky Brand,BIRMINGHAM,40030,40030XXXXXX,209 SUMMIT BLVD.,AL,35243
Lucky Brand,ST. LOUIS,40035,40035XXXXXX,97 PLAZA FRONTENAC,MO,63131
Lucky Brand,TULALIP,40037,40037XXXXXX,10600 QUIL CEDA BLVD,WA,98271
Lucky Brand,FRESNO,40361,40361XXXXXX,639 E. SHAW AVE,CA,93710
Lucky Brand,MCLEAN,40362,40362XXXXXX,7868 TYSON'S CORNER CENTER,VA,22102
Lucky Brand,MIAMI,40603,40603XXXXXX,19501 BISCAYNE AVENUE,FL,33180
Lucky Brand,SAN DIEGO,40605,40605XXXXXX,621 5TH AVENUE,CA,92101
Lucky Brand,NEWPORT BEACH,40610,40610XXXXXX,221 NEWPORT CENTER DRIVE,CA,92660
Lucky Brand,MISSION VIEJO,40611,40611XXXXXX,418 SHOPS AT MISSION VIEJO,CA,92691
