keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Massage Envy Spa,Scottsdale,1,01 001,8752 E Shea Blvd,AZ,85260
Massage Envy Spa,Mesa,4,04 004,6626 E McKellips Rd,AZ,85215
Massage Envy Spa,Gilbert,5,05 005,865 N Gilbert Rd,AZ,85234
Massage Envy Spa,Phoenix,6,06 006,13637 N Tatum Blvd,AZ,85032
Massage Envy Spa,Sugar Land,9,09 009,11134 Hwy 6 South,TX,77498
Massage Envy Spa,Scottsdale,10,010 0010,32607 N Scottsdale Rd,AZ,85262
Massage Envy Spa,Phoenix,13,013 0013,7000 E Mayo Blvd,AZ,85054
Massage Envy Spa,Redmond,15,015 0015,17214 Redmond Way,WA,98052
Massage Envy Spa,Tempe,17,017 0017,315 W Elliot Rd,AZ,85284
Massage Envy Spa,Newcastle,18,018 0018,6920 Coal Creek Parkway SE,WA,98059
Massage Envy Spa,Highlands Ranch,19,019 0019,9471 S University Blvd,CO,80126
Massage Envy Spa,Woodinville,26,026 0026,14213 NE Woodinville-Duvall Road,WA,98072
Massage Envy Spa,Manchester,27,027 0027,14523A Manchester Rd,MO,63011
Massage Envy Spa,Goodyear,28,028 0028,1468 N. Litchfield Rd.,AZ,85338
Massage Envy Spa,Jacksonville,29,029 0029,"13820 St. Augustine Road, Suite 157",FL,32258
Massage Envy Spa,Camarillo,33,033 0033,2360 East Las Posas Road,CA,93010
Massage Envy Spa,Houston,34,034 0034,12246 FM 1960 West,TX,77065
Massage Envy Spa,Kirkland,35,035 0035,11620 97th Lane NE,WA,98034
Massage Envy Spa,Roseville,38,038 0038,10441 Fairway Dr,CA,95678
Massage Envy Spa,Coppell,39,039 0039,120 S. Denton Tap Road,TX,75019
Massage Envy Spa,Houston,40,040 0040,19720 Katy Freeway,TX,77094
Massage Envy Spa,Webster,41,041 0041,943 W Bay Area Blvd,TX,77598
Massage Envy Spa,Costa Mesa,42,042 0042,3030 Harbor Blvd,CA,92626
Massage Envy Spa,Roseville,43,043 0043,1485 Eureka Road,CA,95661
Massage Envy Spa,Houston,44,044 0044,7506 F.M. 1960 West,TX,77070
Massage Envy Spa,Houston,49,049 0049,5387 Westheimer,TX,77056
Massage Envy Spa,Des Peres,50,050 0050,12123 Manchester,MO,63131
Massage Envy Spa,Vadnais Heights,51,051 0051,925 East County Road E,MN,55127
Massage Envy Spa,Puyallup,53,053 0053,4423 S Meridian,WA,98373
Massage Envy Spa,Omaha,54,054 0054,16902 Wright Plaza,NE,68130
Massage Envy Spa,San Rafael,55,055 0055,219 3rd St.,CA,94901
Massage Envy Spa,Maplewood,56,056 0056,1811 Maplewood Commons Dr.,MO,63143
Massage Envy Spa,Cottleville,57,057 0057,6085 Mid Rivers Mall Dr.,MO,63304
Massage Envy Spa,Murrieta,58,058 0058,39400 Murrieta Hot Springs Road,CA,92563
Massage Envy Spa,Spring,59,059 0059,10807 Kuykendahl Rd,TX,77382
Massage Envy Spa,Draper City,60,060 0060,219 E 12300 S,UT,84020
Massage Envy Spa,Creve Coeur,62,062 0062,12528 H Olive Blvd.,MO,63141
Massage Envy Spa,Oakville,63,063 0063,5656 Telegraph Rd.,MO,63129
Massage Envy Spa,Chesterfield,64,064 0064,1694 Clarkson Road,MO,63017
Massage Envy Spa,Sandy,65,065 0065,1838 E 9400 S,UT,84093
Massage Envy Spa,Charlotte,66,066 0066,1730 East Woodlawn Road,NC,28209
Massage Envy Spa,Flower Mound,67,067 0067,950 Parker Square,TX,75028
Massage Envy Spa,Pearland,69,069 0069,2754 Smith Ranch Road,TX,77584
Massage Envy Spa,Allen,70,070 0070,816 W. McDermott Dr.,TX,75013
Massage Envy Spa,Centennial,71,071 0071,7470-B South University Blvd,CO,80122
Massage Envy Spa,Palm Desert,72,072 0072,73111 Country Club Drive,CA,92260
Massage Envy Spa,Greensboro,73,073 0073,2619 Lawndale Drive,NC,27408
Massage Envy Spa,High Point,74,074 0074,1589 Skeet Club Rd,NC,27265
Massage Envy Spa,Gilbert,75,075 0075,2765 S Market Street,AZ,85296
Massage Envy Spa,Folsom,80,080 0080,25055 Blue Ravine Road,CA,95630
Massage Envy Spa,Federal Way,81,081 0081,"1409 S. 348th St., Ste. D-102",WA,98003
Massage Envy Spa,Midvale,82,082 0082,7682 South Union Park Avenue,UT,84047
Massage Envy Spa,Murray,83,083 0083,6352 South State Street,UT,84107
Massage Envy Spa,Plano,87,087 0087,1900 Preston Rd.,TX,75093
Massage Envy Spa,Mill Creek,88,088 0088,"15111 Main St.,",WA,98012
Massage Envy Spa,Tacoma,89,089 0089,"4502 S Steele St., Ste 1101",WA,98409
Massage Envy Spa,Southlake,92,092 0092,100 N. Kimball,TX,76092
Massage Envy Spa,Houston,93,093 0093,14008 C Memorial,TX,77079
Massage Envy Spa,Fort Myers,95,095 0095,15880 Summerlin Rd.,FL,33908
Massage Envy Spa,Bloomington,98,098 0098,7949 Southtown Center,MN,55431
Massage Envy Spa,Plymouth,99,099 0099,3225 Vicksburg Lane North,MN,55447
Massage Envy Spa,Houston,106,0106 00106,7039 Highway 6 North,TX,77095
Massage Envy Spa,Clear Lake Shores,107,0107 00107,243 FM 2094,TX,77565
Massage Envy Spa,Austin,108,0108 00108,3201 Bee Cave Road,TX,78746
Massage Envy Spa,Delafield,109,0109 00109,2920 Golf Road,WI,53018
Massage Envy Spa,San Mateo,110,0110 00110,"4060 S. El Camino Real, Suite F",CA,94403
Massage Envy Spa,Clive,112,0112 00112,12655 University Avenue,IA,50325
Massage Envy Spa,Fredericksburg,113,0113 00113,1927 Carl D. Silver Parkway,VA,22401
