keywords,city,Aggdata Store Number,store_number,address,state,zip_code
McAlister's,Oxford,1001,#1001 1001,1515 University Avenue,MS,38655
McAlister's,Hattiesburg,1002,#1002 1002,2300 Hardy Street,MS,39401
McAlister's,Tupelo,1003,#1003 1003,495 South Gloster,MS,38801
McAlister's,Ridgeland,1004,#1004 1004,"731 South Pear Orchard Road, Suite 49",MS,39157
McAlister's,Germantown,1005,#1005 1005,7710 Poplar Avenue,TN,38138
McAlister's,Hattiesburg,1006,#1006 1006,122 Sheffield Loop,MS,39402
McAlister's,Laurel,1007,#1007 1007,1106 Sawmill Road,MS,39440
McAlister's,Flowood,1008,#1008 1008,1065 River Oaks Drive,MS,39232
McAlister's,Tuscaloosa,1009,#1009 1009,101 15th Street,AL,35401
McAlister's,Memphis,1010,#1010 1010,3482 Plaza Avenue,TN,38111
McAlister's,Little Rock,1011,#1011 1011,12019 Westhaven Drive,AR,72211
McAlister's,Meridian,1012,#1012 1012,4909 27th Place,MS,39305
McAlister's,Gainesville,1013,#1013 1013,"618 Northwest 60th Street, Suite C",FL,32607
McAlister's,Auburn,1015,#1015 1015,1651 East University Drive,AL,36830
McAlister's,New Albany,1018,#1018 1018,217 State Highway 30 West,MS,38652
McAlister's,Gainesville,1019,#1019 1019,3262 Southwest 35th Boulevard,FL,32608
McAlister's,Clinton,1020,#1020 1020,620 Highway 80 East,MS,39056
McAlister's,Southaven,1021,#1021 1021,"975 East Goodman Road, Suite 21",MS,38671
McAlister's,Columbia,1022,#1022 1022,300 Columbiana Drive,SC,29212
McAlister's,Birmingham,1023,#1023 1023,"1801 4th Avenue South, Suite 111",AL,35233
McAlister's,Conway,1025,#1025 1025,2465 Sanders Road,AR,72032
McAlister's,Corinth,1026,#1026 1026,1510 South Harper Road,MS,38834
McAlister's,Brandon,1027,#1027 1027,"1490 West Government Street, Suite 5",MS,39042
McAlister's,Jonesboro,1029,#1029 1029,2400 South Caraway,AR,72401
McAlister's,Springfield,1030,#1030 1030,1460 East Primrose Street,MO,65804
McAlister's,Roswell,1031,#1031 1031,"1425 Market Boulevard, Suite 1370",GA,30076
