keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Menard's,EAU CLAIRE,3011,3011,3210 N CLAIREMONT AVE,WI,54703
Menard's,LA CROSSE,3012,3012,223 LANG DRIVE,WI,54603
Menard's,ROCHESTER,3013,3013,3000 SOUTH BROADWAY,MN,55904
Menard's,WAITE PARK,3015,3015,251 TENTH AVENUE SOUTH,MN,56387
Menard's,WAUSAU,3016,3016,2801 STEWART AVENUE,WI,54401
Menard's,WEST ST PAUL,3017,3017,1445 ROBERT STREET SOUTH,MN,55118
Menard's,FRIDLEY,3018,3018,5351 CENTRAL AVENUE NE,MN,55421
Menard's,MARION,3020,3020,200 MENARD LANE,IA,52302
Menard's,BURNSVILLE,3021,3021,2700 HWY 13 WEST,MN,55337
Menard's,OAKDALE,3022,3022,3205 HADLEY AVENUE NORTH,MN,55128
Menard's,OSHKOSH,3025,3025,2351 WESTOWNE AVENUE,WI,54904
Menard's,COON RAPIDS,3028,3028,3045 MAIN STREET,MN,55448
Menard's,MILWAUKEE,3029,3029,8110 WEST BROWN DEER ROAD,WI,53223
Menard's,GRAND CHUTE,3030,3030,5105 INTEGRITY WAY,WI,54913
Menard's,OAK CREEK,3032,3032,6800 S 27TH STREET,WI,53154
Menard's,ROCHESTER,3033,3033,5150 E FRONTAGE RD HWY 52,MN,55901
Menard's,MONONA,3034,3034,6401 COPPS AVENUE,WI,53716
Menard's,WEST FARGO,3036,3036,1300 13TH AVENUE EAST,ND,58078
Menard's,WATERLOO,3040,3040,1051 E SAN MARNAN DRIVE,IA,50702
Menard's,GRAND FORKS,3041,3041,3550 32ND AVENUE SOUTH,ND,58201
Menard's,ROCKFORD,3042,3042,2001 S PERRYVILLE ROAD,IL,61112
Menard's,STURTEVANT,3043,3043,3101 SOUTH OAKES ROAD,WI,53177
Menard's,CLIVE,3045,3045,12000 HICKMAN ROAD,IA,50325
Menard's,DES MOINES,3046,3046,6000 SE 14TH STREET,IA,50320
Menard's,APPLE VALLEY,3047,3047,14960 FLORENCE TRAIL,MN,55124
Menard's,MANKATO,3050,3050,1771 PREMIER DRIVE,MN,56001
Menard's,BROOKLYN PARK,3051,3051,7800 LAKELAND AVENUE N,MN,55445
Menard's,WEST ALLIS,3052,3052,2535 SOUTH 108TH STREET,WI,53227
Menard's,EAU CLAIRE,3053,3053,3619 SOUTH HASTINGS WAY,WI,54701
Menard's,HERMANTOWN,3054,3054,4809 MILLER TRUNK HIGHWAY,MN,55811
Menard's,BISMARCK,3055,3055,3300 STATE STREET,ND,58503
Menard's,CHAMPAIGN,3056,3056,620 TOWN CENTER BLVD,IL,61822
Menard's,DUBUQUE,3057,3057,5300 DODGE STREET,IA,52003
Menard's,MADISON,3058,3058,430 COMMERCE DRIVE,WI,53719
Menard's,MAPLEWOOD,3059,3059,2280 MAPLEWOOD DRIVE,MN,55109
Menard's,FORSYTH,3060,3060,533 MARKET DRIVE,IL,62535
Menard's,DAVENPORT,3063,3063,110 W 53RD STREET,IA,52806
Menard's,SIOUX FALLS,3064,3064,3001 S SHIRLEY AVENUE,SD,57106
Menard's,SIOUX CITY,3065,3065,5900 GORDON DRIVE,IA,51106
Menard's,WEST BURLINGTON,3066,3066,922 WEST AGENCY ROAD,IA,52655
Menard's,OMAHA,3068,3068,708 NORTH 120TH STREET,NE,68154
Menard's,TERRE HAUTE,3070,3070,1380 FORT HARRISON ROAD,IN,47804
Menard's,CRYSTAL LAKE,3071,3071,4850 ROUTE 14,IL,60014
Menard's,NORMAL,3072,3072,900 GREENBRIAR DRIVE,IL,61761
Menard's,JOLIET,3073,3073,2524 W JEFFERSON STREET,IL,60435
Menard's,DULUTH,3074,3074,503 NORTH 50TH AVE WEST,MN,55807
Menard's,INDIANAPOLIS,3076,3076,6800 PENDLETON PIKE,IN,46226
Menard's,GARY,3080,3080,6050 WEST RIDGE ROAD,IN,46408
Menard's,PEKIN,3081,3081,3535 COURT STREET,IL,61554
Menard's,COUNCIL BLUFFS,3082,3082,3200 MANAWA CENTRE DRIVE,IA,51501
Menard's,CARMEL,3083,3083,2150 E GREYHOUND PASS,IN,46033
