keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Murphy USA,Calhoun,5360,5360 #5360,440 W. Belmont Dr.,GA,30701
Murphy USA,Hammond,5361,5361 #5361,2805 West Thomas Street,LA,70401
Murphy USA,Callaway,5364,5364 #5364,731 N. Tyndall Parkway,FL,32404
Murphy USA,Clarksville,5367,5367 #5367,1680 B. Ft. Campbell Blvd,TN,37042
Murphy USA,Muscle Shoals,5368,5368 #5368,571-A West Avalon Ave,AL,35661
Murphy USA,Greenwood,5369,5369 #5369,508A Bypass 72 NW,SC,29649
Murphy USA,Destin,5501,5501 #5501,15051 Emerald Coast Parkway,FL,32541
Murphy USA,Stockbridge,5502,5502 #5502,5620 N. Henry Blvd.,GA,30281
Murphy USA,Cartersville,5503,5503 #5503,125 Market Place Blvd.,GA,30121
Murphy USA,Suffolk,5505,5505 #5505,1204 N. Main Street,VA,23434
Murphy USA,Gulfport,5508,5508 #5508,9348 Hwy. 49 North,MS,39503
Murphy USA,Murfreesboro,5509,5509 #5509,2018 Old Fort Parkway,TN,37130
Murphy USA,Fayetteville,5510,5510 #5510,104 Commercial Drive,TN,37334
Murphy USA,Mt. Dora,5526,5526 #5526,17040 US Hwy 441,FL,32757
Murphy USA,Roanoke,5528,5528 #5528,"4805 Valley View Blvd., NW",VA,24012
Murphy USA,Picayune,5529,5529 #5529,233 Frontage Road,MS,39466
Murphy USA,Natchez,5530,5530 #5530,304 Sergeant S. Prentiss Dr,MS,39120
Murphy USA,Brookhaven,5531,5531 #5531,956 Brookway Blvd.,MS,39601
Murphy USA,Crowley,5532,5532 #5532,725 Odd Fellow Road,LA,70526
Murphy USA,Northport,5593,5593 #5593,5700 McFarland Blvd.,AL,35476
Murphy USA,Crossville,5594,5594 #5594,482 Obed Plaza,TN,38555
Murphy USA,Plant City,5595,5595 #5595,2512 James L. Redman Parkway,FL,33566
Murphy USA,Clarksville,5596,5596 #5596,3058 Wilma Rudolph Blvd.,TN,37040
Murphy USA,Sulphur,5597,5597 #5597,527 N. City Service Hwy.,LA,70663
Murphy USA,Jesup,5619,5619 #5619,1120 N. First Street,GA,31545
Murphy USA,Morgan City,5621,5621 #5621,959 Hwy. 90 East,LA,70380
Murphy USA,Lafayette,5622,5622 #5622,1227 N.W. Evangeline Thruway,LA,70501
Murphy USA,Anniston,5624,5624 #5624,5564 McClellan Blvd.,AL,36206
Murphy USA,Athens,5625,5625 #5625,800 US Highway 31 South,AL,35611
Murphy USA,Hopkinsville,5626,5626 #5626,240 Clinic Drive,KY,42240
Murphy USA,Burleson,5627,5627 #5627,921 S. W. Wilshire Blvd.,TX,76028
Murphy USA,Huntsville,5628,5628 #5628,169 Interstate Hwy. 45 S.,TX,77320
Murphy USA,Texarkana,5655,5655 #5655,401 Walton Drive,TX,75501
Murphy USA,Granbury,5656,5656 #5656,801 Hwy. 377 E.,TX,76048
