keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Noodles & Company,Boulder,102,102,1245 Alpine,CO,80304
Noodles & Company,Wheat Ridge,103,103,3294 Youngfield,CO,80033
Noodles & Company,Broomfield,105,105,1100 Hwy 287 at Miramonte,CO,80020
Noodles & Company,Denver,106,106,"550 Broadway, Unit B",CO,80203
Noodles & Company,Highlands Ranch,107,107,9563 South University Blvd.,CO,80126
Noodles & Company,Broomfield,108,108,635A Flatiron Marketplace Dr,CO,80021
Noodles & Company,Denver,109,109,1460 16th Street,CO,80202
Noodles & Company,Louisville,110,110,1100 W. Dillon Road,CO,80027
Noodles & Company,Fort Collins,111,111,4733 S. Timberline Rd,CO,80528
Noodles & Company,Lakewood,112,112,7740 West Alameda,CO,80226
Noodles & Company,Littleton,114,114,9956 Remington,CO,80128
Noodles & Company,Littleton,116,116,9400 Heritage Hills Cir,CO,80124
Noodles & Company,Parker,117,117,11153 S. Parker Rd,CO,80134
Noodles & Company,Arvada,118,118,8071 Wadsworth Blvd,CO,80003
Noodles & Company,Colorado Springs,119,119,7234 North Academy Blvd,CO,80920
Noodles & Company,Centennial,120,120,12023 E Arapahoe Rd,CO,80112
Noodles & Company,Littleton,121,121,7301 S. Santa Fe Dr,CO,80120
Noodles & Company,Westminster,122,122,10355 Federal Blvd,CO,80260
Noodles & Company,Denver,123,123,1502 S. Colorado Blvd,CO,80222
Noodles & Company,Longmont,125,125,1087 S. Hover Street,CO,80501
Noodles & Company,Denver,126,126,7401 E. 29th Ave,CO,80238
Noodles & Company,Colorado Springs,127,127,1812 Southgate Rd,CO,80906
Noodles & Company,Greeley,128,128,4318 West 9th Street Rd,CO,80634
Noodles & Company,Denver,129,129,6300 East Hampden,CO,80222
Noodles & Company,Colorado Springs,130,130,5844 Barnes Road,CO,80922
Noodles & Company,Fort Collins,131,131,648 S. College Avenue,CO,80524
Noodles & Company,Englewood,132,132,697 W Hampden Ave,CO,80110
Noodles & Company,Loveland,133,133,1550 Fall River Dr,CO,80538
Noodles & Company,Aurora,134,134,13700 E Colfax,CO,80011
Noodles & Company,Aurora,135,135,6200 South Main St,CO,80016
Noodles & Company,Highlands Ranch,136,136,1601 Mayberry Dr,CO,80127
Noodles & Company,Broomfield,137,137,4530 W. 121st Ave,CO,80020
Noodles & Company,Aurora,138,138,4261 S. Buckley Road,CO,80013
Noodles & Company,Centennial,139,139,2370 East Arapahoe,CO,80122
Noodles & Company,Colorado Springs,140,140,5166 N Nevada Ave,CO,80918
Noodles & Company,Aurora,141,141,10550 E Garden Drive,CO,80012
Noodles & Company,Denver,142,142,1737 East Evans Ave,CO,80210
Noodles & Company,Boulder,146,146,1600 28th St,CO,80301
Noodles & Company,Dillon,147,147,265 Dillon Ridge Rd,CO,80435
Noodles & Company,Denver,148,148,"303 16th Street, Suite 150",CO,80202
Noodles & Company,Boulder,150,150,2602 Baseline Road,CO,80305
Noodles & Company,Greenwood Village,151,151,8000 East Belleview Avenue,CO,80111
Noodles & Company,Denver,152,152,2205 East Colfax Ave.,CO,80206
Noodles & Company,Castle Rock,153,153,34 E Allen Street,CO,80108
Noodles & Company,Longmont,154,154,2255 N Main St,CO,80501
Noodles & Company,Pueblo,156,156,825 West US Hwy 50,CO,81008
Noodles & Company,Littleton,157,157,8555 W Belleview Ave,CO,80123
Noodles & Company,Grand Junction,158,158,2474 Highway 6 & 50,CO,81505
Noodles & Company,Colorado Springs,159,159,2455 Montebello Square Dr.,CO,80918
Noodles & Company,Fort Collins,160,160,3519 South College Ave,CO,80525
Noodles & Company,Lakewood,161,161,14025 W. Colfax Dr.,CO,80401
Noodles & Company,Fountain,162,162,6825 Mesa Ridge Pkwy,CO,80817
Noodles & Company,Thornton,163,163,3824 120th Ave.,CO,80233
Noodles & Company,Aurora,164,164,3450 North Tower Rd.,CO,80011
Noodles & Company,Madison,201,201,232 State Street at Johnson,WI,53703
