keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Outback Steakhouse,Anchorage,210,210,101 W. 34th,AK,99503
Outback Steakhouse,Tempe,310,310,1734 E. Southern Avenue,AZ,85282
Outback Steakhouse,Glendale,311,311,5605 W. Bell Road,AZ,85308
Outback Steakhouse,Tucson,312,312,4871 E. Grant Road,AZ,85712
Outback Steakhouse,Phoenix,313,313,4715 E. Cactus Road,AZ,85032
Outback Steakhouse,Mesa,314,314,1650 S. Clearview Ave.,AZ,85208
Outback Steakhouse,Tucson,315,315,2240 W. Ina Road,AZ,85741
Outback Steakhouse,Chandler,316,316,1080 N. 54th Street,AZ,85226
Outback Steakhouse,Flagstaff,317,317,2600 E. Lucky Lane,AZ,86004
Outback Steakhouse,Yuma,321,321,328 East 16th Street,AZ,85364
Outback Steakhouse,Chandler,322,322,2520 W. Chandler Blvd.,AZ,85224
Outback Steakhouse,Surprise,323,323,14225 W. Grand Ave.,AZ,85374
Outback Steakhouse,Phoenix,324,324,9801 N. Black Canyon Hwy.,AZ,85021
Outback Steakhouse,Sierra Vista,325,325,99 S. Hwy. 92,AZ,85635
Outback Steakhouse,Mesa,326,326,1860 E. McKellips Road,AZ,85203
Outback Steakhouse,Phoenix,327,327,"7000 Mayo Blvd., #24",AZ,85054
Outback Steakhouse,Gilbert,328,328,2687 S. Market St,AZ,85296
Outback Steakhouse,North Little Rock,411,411,4401 Warden Road,AR,72116
Outback Steakhouse,Little Rock,412,412,105 Markham Park Dr.,AR,72211
Outback Steakhouse,Springdale,450,450,4808 S. Thompson,AR,72764
Outback Steakhouse,Hot Springs,451,451,180 Pakis Street,AR,71913
Outback Steakhouse,Ft. Smith,452,452,6800 Rogers Ave.,AR,72903
Outback Steakhouse,Conway,453,453,2310 Sanders St.,AR,72032
Outback Steakhouse,Jonesboro,454,454,906-C Southwest Dr.,AR,72401
Outback Steakhouse,Rogers,455,455,4509 W. Poplar Street,AR,72758
Outback Steakhouse,Pleasant Hill,511,511,150 A Longbrook Way,CA,94523
Outback Steakhouse,Fresno,512,512,2765 W. Shaw,CA,93711
Outback Steakhouse,Bakersfield,513,513,5051 Stockdale Hwy.,CA,93309
Outback Steakhouse,Cupertino,514,514,20630 Valley Green Drive,CA,95014
Outback Steakhouse,Gold River,515,515,2100 Golden Centre Lane,CA,95670
Outback Steakhouse,Campbell,516,516,1887 S. Bascom Avenue,CA,95008
Outback Steakhouse,Modesto,517,517,2045-D W. Briggsmore Avenue,CA,95350
Outback Steakhouse,Fremont,518,518,5525 Stevenson Blvd.,CA,94538
Outback Steakhouse,Rohnert Park,519,519,4619 Redwood Drive,CA,94928
Outback Steakhouse,Chico,520,520,1990 E. 20th Street,CA,95928
Outback Steakhouse,Roseville,521,521,181 N. Sunrise Ave.,CA,95661
Outback Steakhouse,Redding,522,522,910 Dana Drive,CA,96003
Outback Steakhouse,Dublin,523,523,6505 Regional Street,CA,94568
Outback Steakhouse,Salinas,524,524,1401 North Davis Road,CA,93907
Outback Steakhouse,Sausalito,525,525,196 Donahue Street,CA,94965
Outback Steakhouse,Stockton,526,526,1243 W. March Lane,CA,95207
Outback Steakhouse,Daly City,527,527,371 Gellert Blvd.,CA,94015
Outback Steakhouse,Sacramento,529,529,1340 Howe Ave.,CA,95825
Outback Steakhouse,Vacaville,530,530,521 Davis St.,CA,95688
Outback Steakhouse,San Jose,531,531,632 Blossom Hill Rd.,CA,95123
Outback Steakhouse,Pinole,532,532,1361 Fitzgerald Dr.,CA,94564
Outback Steakhouse,Milpitas,533,533,1246 Great Mall Dr.,CA,95035
