keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Papa John's,JEFFERSONVILLE,1,#0001.com #001.com #0 #01.c #0.c 001.com 01.com 01 01.com #01 #001 01 001,1616 E 10TH ST,IN,47130
Papa John's,CLARKSVILLE,2,#0002.com #002.com #0 #02.c #0.c 002.com 02.com 02 02.com #02 #002 02 002,301 E. Lewis & Clark Parkway,IN,47129
Papa John's,New Albany,3,#0003.com #003.com #0 #03.c #0.c 003.com 03.com 03 03.com #03 #003 03 003,2767 Charlestown Road,IN,47150
Papa John's,LOUISVILLE,4,#0004.com #004.com #0 #04.c #0.c 004.com 04.com 04 04.com #04 #004 04 004,1961 BROWNSBORO RD,KY,40206
Papa John's,LOUISVILLE,7,#0007.com #007.com #0 #07.c #0.c 007.com 07.com 07 07.com #07 #007 07 007,4673 OUTER LOOP,KY,40219
Papa John's,LOUISVILLE,9,#0009.com #009.com #0 #09.c #0.c 009.com 09.com 09 09.com #09 #009 09 009,2336 S FLOYD ST,KY,40208
Papa John's,LOUISVILLE,10,#00010.com #0010.com #0 #010.c #0.c 0010.com 010.com 010 010.com #010 #0010 010 0010,5709 BARDSTOWN RD,KY,40291
Papa John's,LOUISVILLE,11,#00011.com #0011.com #0 #011.c #0.c 0011.com 011.com 011 011.com #011 #0011 011 0011,14041 SHELBYVILLE RD,KY,40245
Papa John's,LOUISVILLE,12,#00012.com #0012.com #0 #012.c #0.c 0012.com 012.com 012 012.com #012 #0012 012 0012,6902 SOUTHSIDE DR,KY,40214
Papa John's,Corydon,14,#00014.com #0014.com #0 #014.c #0.c 0014.com 014.com 014 014.com #014 #0014 014 0014,2363 Highway 135 NW,IN,47112
Papa John's,MADISON,15,#00015.com #0015.com #0 #015.c #0.c 0015.com 015.com 015 015.com #015 #0015 015 0015,2606 Harry Nichols Dr.,IN,47250
Papa John's,LOUISVILLE,16,#00016.com #0016.com #0 #016.c #0.c 0016.com 016.com 016 016.com #016 #0016 016 0016,5363 DIXIE HWY,KY,40216
Papa John's,LOUISVILLE,17,#00017.com #0017.com #0 #017.c #0.c 0017.com 017.com 017 017.com #017 #0017 017 0017,3948 TAYLORSVILLE RD,KY,40220
Papa John's,LEXINGTON,18,#00018.com #0018.com #0 #018.c #0.c 0018.com 018.com 018 018.com #018 #0018 018 0018,265A Avenue of Champions,KY,40508
Papa John's,SEYMOUR,19,#00019.com #0019.com #0 #019.c #0.c 0019.com 019.com 019 019.com #019 #0019 019 0019,600 E TIPTON ST,IN,47274
Papa John's,PROSPECT,20,#00020.com #0020.com #0 #020.c #0.c 0020.com 020.com 020 020.com #020 #0020 020 0020,5911 TIMBER RIDGE DR,KY,40059
Papa John's,LOUISVILLE,21,#00021.com #0021.com #0 #021.c #0.c 0021.com 021.com 021 021.com #021 #0021 021 0021,3983B 7TH STREET RD,KY,40216
Papa John's,LOUISVILLE,22,#00022.com #0022.com #0 #022.c #0.c 0022.com 022.com 022 022.com #022 #0022 022 0022,5010 PRESTON HWY,KY,40213
Papa John's,BEDFORD,23,#00023.com #0023.com #0 #023.c #0.c 0023.com 023.com 023 023.com #023 #0023 023 0023,2609 16TH ST,IN,47421
Papa John's,Crestwood,24,#00024.com #0024.com #0 #024.c #0.c 0024.com 024.com 024 024.com #024 #0024 024 0024,6535 W. Hwy 22,KY,40014
Papa John's,Louisville,25,#00025.com #0025.com #0 #025.c #0.c 0025.com 025.com 025 025.com #025 #0025 025 0025,4123 Shelbyville Road,KY,40207
Papa John's,Radcliffe,26,#00026.com #0026.com #0 #026.c #0.c 0026.com 026.com 026 026.com #026 #0026 026 0026,1960 North Dixie Blvd,KY,40160
Papa John's,LEXINGTON,29,#00029.com #0029.com #0 #029.c #0.c 0029.com 029.com 029 029.com #029 #0029 029 0029,4250 SARON DR,KY,40515
Papa John's,CARROLLTON,30,#00030.com #0030.com #0 #030.c #0.c 0030.com 030.com 030 030.com #030 #0030 030 0030,1415 HIGHLAND AVE,KY,41008
Papa John's,FRANKFORT,31,#00031.com #0031.com #0 #031.c #0.c 0031.com 031.com 031 031.com #031 #0031 031 0031,569 E MAIN ST,KY,40601
Papa John's,Lexington,32,#00032.com #0032.com #0 #032.c #0.c 0032.com 032.com 032 032.com #032 #0032 032 0032,1650 Bryan Station Road,KY,40505
Papa John's,JASPER,33,#00033.com #0033.com #0 #033.c #0.c 0033.com 033.com 033 033.com #033 #0033 033 0033,425 S US HIGHWAY 231,IN,47546
Papa John's,LOUISVILLE,36,#00036.com #0036.com #0 #036.c #0.c 0036.com 036.com 036 036.com #036 #0036 036 0036,3511 Springhurst Commons Drive,KY,40241
Papa John's,Bowling Green,37,#00037.com #0037.com #0 #037.c #0.c 0037.com 037.com 037 037.com #037 #0037 037 0037,1922 Russellville Road,KY,42101
Papa John's,BOWLING GREEN,38,#00038.com #0038.com #0 #038.c #0.c 0038.com 038.com 038 038.com #038 #0038 038 0038,390 US 31W BYP,KY,42101
Papa John's,Lagrange,39,#00039.com #0039.com #0 #039.c #0.c 0039.com 039.com 039 039.com #039 #0039 039 0039,1848 S Highway 53,KY,40031
Papa John's,LEXINGTON,40,#00040.com #0040.com #0 #040.c #0.c 0040.com 040.com 040 040.com #040 #0040 040 0040,2937 RICHMOND RD,KY,40509
Papa John's,ELIZABETHTOWN,41,#00041.com #0041.com #0 #041.c #0.c 0041.com 041.com 041 041.com #041 #0041 041 0041,3100 RING RD,KY,42701
Papa John's,COLUMBUS,42,#00042.com #0042.com #0 #042.c #0.c 0042.com 042.com 042 042.com #042 #0042 042 0042,2520 EASTBROOK PLZ,IN,47201
Papa John's,Louisville,44,#00044.com #0044.com #0 #044.c #0.c 0044.com 044.com 044 044.com #044 #0044 044 0044,10100 Taylorsville Road,KY,40299
Papa John's,LOUISVILLE,45,#00045.com #0045.com #0 #045.c #0.c 0045.com 045.com 045 045.com #045 #0045 045 0045,10627 Dixie Highway,KY,40272
Papa John's,Florence,46,#00046.com #0046.com #0 #046.c #0.c 0046.com 046.com 046 046.com #046 #0046 046 0046,6725 Dixie Hwy Suite A,KY,41042
Papa John's,BLOOMINGTON,47,#00047.com #0047.com #0 #047.c #0.c 0047.com 047.com 047 047.com #047 #0047 047 0047,415 North Walnut Street,IN,47401
Papa John's,Shelbyville,48,#00048.com #0048.com #0 #048.c #0.c 0048.com 048.com 048 048.com #048 #0048 048 0048,1732 Midland Trail,KY,40065
Papa John's,NICHOLASVILLE,49,#00049.com #0049.com #0 #049.c #0.c 0049.com 049.com 049 049.com #049 #0049 049 0049,935 N MAIN ST,KY,40356
Papa John's,Louisville,50,#00050.com #0050.com #0 #050.c #0.c 0050.com 050.com 050 050.com #050 #0050 050 0050,"221 S. Hurstbourne Pkwy, Suite 107",KY,40222
Papa John's,SOMERSET,51,#00051.com #0051.com #0 #051.c #0.c 0051.com 051.com 051 051.com #051 #0051 051 0051,849 South Highway 27,KY,42503
Papa John's,EVANSVILLE,52,#00052.com #0052.com #0 #052.c #0.c 0052.com 052.com 052 052.com #052 #0052 052 0052,303 North Weinbach Avenue.,IN,47711
Papa John's,Greenwood,53,#00053.com #0053.com #0 #053.c #0.c 0053.com 053.com 053 053.com #053 #0053 053 0053,1201 Greenwood Park East Drive,IN,46142
Papa John's,LEXINGTON,54,#00054.com #0054.com #0 #054.c #0.c 0054.com 054.com 054 054.com #054 #0054 054 0054,"3735 Harrodsburg Road, #240",KY,40513
Papa John's,RICHMOND,55,#00055.com #0055.com #0 #055.c #0.c 0055.com 055.com 055 055.com #055 #0055 055 0055,455 EASTERN BYP,KY,40475
Papa John's,SHEPHERDSVILLE,56,#00056.com #0056.com #0 #056.c #0.c 0056.com 056.com 056 056.com #056 #0056 056 0056,189 Adam Shepherd Parkway,KY,40165
Papa John's,West Lafayette,57,#00057.com #0057.com #0 #057.c #0.c 0057.com 057.com 057 057.com #057 #0057 057 0057,1400 West State St,IN,47906
Papa John's,ANDERSON,58,#00058.com #0058.com #0 #058.c #0.c 0058.com 058.com 058 058.com #058 #0058 058 0058,2040 S SCATTERFIELD RD,IN,46016
Papa John's,MUNCIE,59,#00059.com #0059.com #0 #059.c #0.c 0059.com 059.com 059 059.com #059 #0059 059 0059,2714 N WHEELING AVE,IN,47303
Papa John's,Paducah,60,#00060.com #0060.com #0 #060.c #0.c 0060.com 060.com 060 060.com #060 #0060 060 0060,3709 Clarks River Road,KY,42003
Papa John's,HOPKINSVILLE,61,#00061.com #0061.com #0 #061.c #0.c 0061.com 061.com 061 061.com #061 #0061 061 0061,2415 FORT CAMPBELL BLVD,KY,42240
Papa John's,CLARKSVILLE,62,#00062.com #0062.com #0 #062.c #0.c 0062.com 062.com 062 062.com #062 #0062 062 0062,1485 MADISON ST,TN,37040
Papa John's,ASHLAND,63,#00063.com #0063.com #0 #063.c #0.c 0063.com 063.com 063 063.com #063 #0063 063 0063,3406 13TH ST,KY,41102
Papa John's,SHELBYVILLE,64,#00064.com #0064.com #0 #064.c #0.c 0064.com 064.com 064 064.com #064 #0064 064 0064,510 E BROADWAY ST,IN,46176
Papa John's,Floyds Knobs,65,#00065.com #0065.com #0 #065.c #0.c 0065.com 065.com 065 065.com #065 #0065 065 0065,713 Highlander Point Dr,IN,47119
Papa John's,LONDON,67,#00067.com #0067.com #0 #067.c #0.c 0067.com 067.com 067 067.com #067 #0067 067 0067,1521 S MAIN ST,KY,40741
Papa John's,KNOXVILLE,68,#00068.com #0068.com #0 #068.c #0.c 0068.com 068.com 068 068.com #068 #0068 068 0068,1819 LAKE AVE,TN,37916
