keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Payless,TOPEKA,1,PAYLESSSHOESOU0001,3215 SW TOPEKA BLVD,KS,66611-2234
Payless,MIAMI,2,PAYLESSSHOESOU0002,"3401 N MIAMI AVE, SUITE 120",FL,33127-3537
Payless,MESQUITE,4,PAYLESSSHOESOU0004,500 N GALLOWAY AVE SUITE 124,TX,75149-4398
Payless,LUBBOCK,5,PAYLESSSHOESOU0005,5709 4TH STREET,TX,79416-4241
Payless,EL PASO,10,PAYLESSSHOESOU00010,725 SUNLAND PARK DR,TX,79912-6701
Payless,LUBBOCK,11,PAYLESSSHOESOU00011,"1803 7TH ST, SUITE 1101",TX,79401-2325
Payless,AMARILLO,12,PAYLESSSHOESOU00012,"5722 W AMARILLO BLVD, SUITE 5",TX,79106-4004
Payless,PARIS,13,PAYLESSSHOESOU00013,3562 LAMAR AVE,TX,75460-5026
Payless,LAWTON,15,PAYLESSSHOESOU00015,1202 NW SHERIDAN,OK,73505-5210
Payless,ODESSA,16,PAYLESSSHOESOU00016,1001 E 8TH ST,TX,79761-4633
Payless,MIDWEST CITY,21,PAYLESSSHOESOU00021,7201 SE 29TH ST STE 210,OK,73110-6092
Payless,MOORE,23,PAYLESSSHOESOU00023,2724 S TELEPHONE RD,OK,73160-2909
Payless,OKLAHOMA CITY,24,PAYLESSSHOESOU00024,2500 NW 23RD ST,OK,73107-2202
Payless,GARLAND,25,PAYLESSSHOESOU00025,1202 W CENTERVILLE RD # A,TX,75041-5905
Payless,DALLAS,26,PAYLESSSHOESOU00026,"3434 W ILLINOIS AVE, BLDG 2 SUITE 202",TX,75211-8722
Payless,IRVING,27,PAYLESSSHOESOU00027,"1735 N STORY RD, SUITE 105",TX,75061-1852
Payless,DALLAS,33,PAYLESSSHOESOU00033,1918 S BUCKNER BLVD,TX,75217-1821
Payless,TULSA,36,PAYLESSSHOESOU00036,2175 S SHERIDAN RD,OK,74129-1001
Payless,EL PASO,37,PAYLESSSHOESOU00037,8401 DYER ST,TX,79904-2803
Payless,EL PASO,38,PAYLESSSHOESOU00038,10705 GATEWAY WEST SUITE J,TX,79936-0000
Payless,FORT WORTH,40,PAYLESSSHOESOU00040,3310 MANSFIELD HWY,TX,76119-6026
Payless,CLOVIS,42,PAYLESSSHOESOU00042,3900 N PRINCE ST SPACE D,NM,88101-9702
Payless,CEDAR RAPIDS,47,PAYLESSSHOESOU00047,"2600 EDGEWOOD RD SW, NO 730",IA,52404-7818
Payless,OWASSO,48,PAYLESSSHOESOU00048,"9002 NORTH 121ST EAST AVE, SUITE 700",OK,74055-0000
Payless,CLINTON,52,PAYLESSSHOESOU00052,2418 VIRGINIA AVE,IA,52732-7214
Payless,ALBUQUERQUE,53,PAYLESSSHOESOU00053,"8030 ACADEMY NE, SUITE C",NM,87111-1161
Payless,OMAHA,55,PAYLESSSHOESOU00055,3112 S 24TH ST,NE,68108-1853
Payless,ALTOONA,58,PAYLESSSHOESOU00058,"550 36TH AVE SW, SUITES Q AND 4",IA,50009-0000
Payless,INDEPENDENCE,62,PAYLESSSHOESOU00062,4023 S NOLAND RD,MO,64055-6531
Payless,PUEBLO,64,PAYLESSSHOESOU00064,"3545 DILLON DR, SPACE 9",CO,81008-1008
Payless,SCOTTSBLUFF,70,PAYLESSSHOESOU00070,"3410 AVE I, SUITE D",NE,69361-0000
Payless,WINSTON SALEM,71,PAYLESSSHOESOU00071,"3320 SILAS CREEK PARKWAY, SUITE CL 324",NC,27103-0000
Payless,CALEXICO,73,PAYLESSSHOESOU00073,205 E 2ND ST,CA,92231-2753
Payless,WICHITA,77,PAYLESSSHOESOU00077,1514 S OLIVER ST,KS,67218-3228
Payless,CHEYENNE,78,PAYLESSSHOESOU00078,1511 LOGAN AVE,WY,82001-5137
Payless,WEST BURLINGTON,79,PAYLESSSHOESOU00079,411 W AGENCY RD SUITE 6,IA,52655-1702
Payless,FORT MYERS,80,PAYLESSSHOESOU00080,"4125 CLEVELAND AVE, SUITE 1025",FL,33901-0000
Payless,WICHITA,83,PAYLESSSHOESOU00083,2570 S BROADWAY ST SUITE 114,KS,67216-1011
Payless,NORFOLK,85,PAYLESSSHOESOU00085,1700 MARKET LANE,NE,68701-7328
Payless,WESTMINSTER,88,PAYLESSSHOESOU00088,7320 FEDERAL BLVD,CO,80030-4904
Payless,BROWNSVILLE,89,PAYLESSSHOESOU00089,431 E MORRISON RD,TX,78526-0000
Payless,WALDORF,96,PAYLESSSHOESOU00096,3280 CRAIN HWY,MD,20603-0000
Payless,PLAINVIEW,98,PAYLESSSHOESOU00098,3429 OLTON RD,TX,79072-6603
Payless,HURST,99,PAYLESSSHOESOU00099,805 MELBOURNE RD,TX,76053-4630
Payless,MIDLAND,100,PAYLESSSHOESOU000100,900 N MIDKIFF RD,TX,79701-2111
Payless,KANSAS CITY,102,PAYLESSSHOESOU000102,5908 WILSON RD # 10,MO,64123-1941
Payless,POCATELLO,104,PAYLESSSHOESOU000104,320 E BENTON ST,ID,83201-6504
Payless,BILLINGS,105,PAYLESSSHOESOU000105,2499 KING AVENUE WEST SUITE #C,MT,59102-7462
Payless,CLINTON,107,PAYLESSSHOESOU000107,"1917 WEST 1800 NORTH, BLDG 2",UT,84015-8328
Payless,DES MOINES,111,PAYLESSSHOESOU000111,5406 DOUGLAS AVE,IA,50310-1840
Payless,ROGERS,112,PAYLESSSHOESOU000112,"2203 PROMENADE BLVD, SUITE 3190",AR,72758-0000
Payless,GARDEN CITY,115,PAYLESSSHOESOU000115,309 MAIN ST,GA,31408-2206
Payless,PINE BLUFF,117,PAYLESSSHOESOU000117,2600 S OLIVE ST,AR,71601-7857
Payless,TULSA,118,PAYLESSSHOESOU000118,7301 E ADMIRAL PL,OK,74115-7910
Payless,FARGO,119,PAYLESSSHOESOU000119,1411 S UNIVERSITY DR,ND,58103-4152
Payless,SHERMAN,121,PAYLESSSHOESOU000121,2201 TEXOMA PKWY,TX,75090-2417
Payless,FORT DODGE,123,PAYLESSSHOESOU000123,3025 1ST AVE SOUTH SPACE C112,IA,50501-2995
Payless,WILLIAMSBURG,124,PAYLESSSHOESOU000124,"4640 MONTICELLO AVE, SUITE 8B",VA,23188-8215
Payless,FOND DU LAC,125,PAYLESSSHOESOU000125,835 W JOHNSON ST,WI,54935-2033
Payless,TWIN FALLS,127,PAYLESSSHOESOU000127,1605 N BLUE LAKE BLVD,ID,83301-3374
Payless,IDAHO FALLS,128,PAYLESSSHOESOU000128,425 N HOLMES AVE,ID,83401-2615
Payless,HOBBS,130,PAYLESSSHOESOU000130,828 N DAL PASO ST,NM,88240-5318
Payless,MINOT,131,PAYLESSSHOESOU000131,"2400 10TH ST SW, SPACE 204",ND,58701-6997
Payless,ROSWELL,132,PAYLESSSHOESOU000132,501 S MAIN ST,NM,88203-5756
