keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Petco,Kirkland,201,201,12040 NE 85th Street,WA,98033
Petco,Mount Vernon,202,202,201 East College Way Suite B,WA,98273
Petco,Corvallis,203,203,2365 NW Kings Boulevard,OR,97330
Petco,Bellevue,204,204,15600 NE 8th Street Suite 01,WA,98008
Petco,Bend,205,205,3197 #5 North Highway 97,OR,97701
Petco,Great Falls,206,206,1601 Market Place Drive,MT,59404
Petco,Idaho Falls,207,207,2375 East 17th Street,ID,83404
Petco,Seattle,208,208,809 NE 45th Street,WA,98105
Petco,Tualatin,209,209,8775 Tualatin Sherwood Road,OR,97062
Petco,Midvale,211,211,1090 East Fort Union Boulevard,UT,84047
Petco,Tigard,212,212,11705 SW Pacific Highway,OR,97223
Petco,Lake Oswego,214,214,333 South State Street Suite A,OR,97034
Petco,Portland,217,217,14410 SE Division Street,OR,97236
Petco,Spokane,241,241,6302 North Division,WA,99208
Petco,Everett,244,244,1203 SE Everett Mall Way #F,WA,98208
Petco,Issaquah,250,250,975 NW Gilman Boulevard,WA,98027
Petco,Beaverton,251,251,4037 SW 117th Avenue Suite C,OR,97005
Petco,Seattle,252,252,8728 Holman Road NW,WA,98117
Petco,Beaverton,254,254,18200 NW Evergreen Parkway,OR,97006
Petco,Olympia,255,255,1530 Black Lake Boulevard,WA,98502
Petco,Gresham,256,256,2000 NE Burnside Street,OR,97030
Petco,Veradale,257,257,North 10 - Sullivan Road,WA,99037
Petco,Federal Way,258,258,31419 Pacific Highway South,WA,98003
Petco,Bremerton,259,259,4209 Wheaton Way,WA,98310
Petco,Lakewood,260,260,5700 100th Street SW,WA,98499
Petco,Salem,261,261,628 Lancaster Drive NE,OR,97301
Petco,Boise,263,263,179 North Milwaukee Street,ID,83704
Petco,West Jordan,264,264,6842 South Redwood Road,UT,84084
Petco,Seattle,265,265,1241 North 205th,WA,98133
Petco,East Wenatchee,266,266,516 Valley Mall Parkway,WA,98802
Petco,San Jose,267,267,4698 Meridian Avenue,CA,95118
Petco,Citrus Heights,268,268,6067 Greenback Lane,CA,95621
Petco,Fresno,269,269,4144 North Blackstone Avenue,CA,93726
Petco,Sunnyvale,270,270,160 East El Camino Real,CA,94087
Petco,San Jose,271,271,500 El Paseo De Saratoga,CA,95130
Petco,Fair Oaks,272,272,8840 Madison Avenue,CA,95628
Petco,Gilroy,273,273,8767 San Ysidro Avenue,CA,95020
Petco,Lynnwood,276,276,"2617 196th Street SW, Suite 141",WA,98036
Petco,Hillsboro,278,278,"2151 SE Tualatin Valley Highway, Building B",OR,97123
Petco,Glen Cove,280,280,227 Forest Avenue,NY,11542
Petco,Salem,281,281,92 Cluff Crossing Road,NH,3079
Petco,Irondequoit,282,282,2255 East Ridge Road,NY,14622
Petco,Edison,283,283,1029 US Route 1 South,NJ,8837
Petco,Needham,284,284,163 Highland Avenue,MA,2494
Petco,Indianapolis,285,285,7565 US 31 South Suite A-01,IN,46227
Petco,York,286,286,905 Loucks Road,PA,17404
Petco,Omaha,287,287,13660 West Maple Road,NE,68164
Petco,Brighton,288,288,304 Western Avenue,MA,2135
Petco,Hermitage,289,289,5570 Old Hickory Boulevard,TN,37076
Petco,Philadelphia,290,290,3300 Aramingo Avenue,PA,19134
Petco,Cleveland,291,291,325 Paul Huff Parkway,TN,37312
Petco,Dewitt,292,292,3150 Erie Boulevard East Suite #500,NY,13214
Petco,Fishers,293,293,8644 East 96th Street,IN,46038
Petco,Bay Shore,294,294,1851 Sunrise Highway,NY,11706
Petco,Carle Place,295,295,189 Old Country Road,NY,11514
Petco,South Portland,296,296,220 Maine Mall Road,ME,4106
Petco,Ann Arbor,298,298,3537 Washtenaw Avenue,MI,48104
Petco,Elk Grove,301,301,7715 Laguna Boulevard,CA,95758
Petco,Napa,302,302,3284 Jefferson Street,CA,94558
Petco,Vacaville,303,303,210 Nut Tree Parkway,CA,95687
Petco,Reno,304,304,5565 South Virginia Street,NV,89502
Petco,Folsom,305,305,855 East Bidwell Street,CA,95630
Petco,Santa Rosa,306,306,2765 Santa Rosa Avenue,CA,95407
Petco,Modesto,307,307,2021 Evergreen Avenue,CA,95350
Petco,San Francisco,308,308,1591 Sloat Boulevard,CA,94132
Petco,Union City,309,309,31090 Dyer Street,CA,94587
Petco,Reno,310,310,2970 Northtowne Lane,NV,89512
Petco,Mountain View,313,313,1919 El Camino Real,CA,94040
Petco,Martinez,334,334,1170 Arnold Drive #115,CA,94553
Petco,Dublin,348,348,11976 Dublin Boulevard,CA,94568
Petco,Castro Valley,349,349,3735 East Castro Valley Boulevard,CA,94552
Petco,Chico,362,362,2005 Dr. Martin Luther King Jr. Parkway,CA,95928
Petco,Davis,364,364,1341-B West Covell Boulevard,CA,95616
Petco,Vallejo,365,365,161 Plaza Drive,CA,94591
Petco,Redding,366,366,1603 East Hilltop Drive,CA,96002
Petco,San Rafael,368,368,375 Third Street,CA,94901
Petco,Fremont,369,369,3780 Mowry Avenue,CA,94538
Petco,Redwood City,370,370,520 Woodside Road,CA,94061
Petco,Sacramento,371,371,1878 Arden Way,CA,95815
Petco,Alameda,372,372,2310 South Shore Center,CA,94501
Petco,Roseville,373,373,1917 Douglas Boulevard,CA,95661
Petco,Novato,375,375,208 Vintage Way,CA,94945
Petco,Raritan,390,390,300 US Highway 202,NJ,8869
Petco,El Cerrito,399,399,420 El Cerrito Plaza,CA,94530
Petco,Dallas,426,426,4325 Lovers Lane,TX,75225
Petco,Mesquite,429,429,1500 North Town East Boulevard,TX,75150
Petco,Carrollton,430,430,2722 North Josey Lane #107,TX,75007
Petco,Bedford,431,431,2121 Harwood Road,TX,76021
Petco,Denton,432,432,2307 South I-35E,TX,76207
Petco,Richardson,439,439,1401 East Spring Valley Road,TX,75081
Petco,Dallas,440,440,1152 North Buckner,TX,75218
Petco,Lewisville,441,441,201 North Summit,TX,75067
Petco,Conroe,442,442,1410 North Loop 336 West,TX,77304
Petco,Wichita Falls,443,443,4319 A Kemp Boulevard,TX,76308
