keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Pei Wei,Chandler,1,#001 #01,7131 W Ray Rd. Bldg. 1 Suite 3,AZ,85226
Pei Wei,Phoenix,2,#002 #02,4340 E Indian School Rd. Bldg. A Suite 23,AZ,85018
Pei Wei,Scottsdale,3,#003 #03,"(Scottsdale Rd & Doubletree), 8787 N Scottsdale Rd. 214/216",AZ,85253
Pei Wei,Scottsdale,5,#005 #05,32607 N Scottsdale Rd. Suite 107,AZ,85262
Pei Wei,Dallas,6,#006 #06,"(Preston & Frankford), 18204 Preston Rd Suite E-1",TX,75252
Pei Wei,Scottsdale,7,#007 #07,"(Scottsdale Rd & Grayhawk Dr), 20851 N Scottsdale Rd. Suite 105",AZ,85255
Pei Wei,Chandler,8,#008 #08,1085 W Queen Creek Rd Suite 1,AZ,85248
Pei Wei,Gilbert,9,#009 #09,1084 S Gilbert Suite 601,AZ,85296
Pei Wei,Encinitas,11,#0011 #011,1560-A Leucadia Blvd.,CA,92024
Pei Wei,Mesa,12,#0012 #012,3426 E Baseline Rd. Suite 121,AZ,85204
Pei Wei,Glendale,14,#0014 #014,20022 N 67th Ave. Suite 100,AZ,85308
Pei Wei,Dallas,16,#0016 #016,3001 Knox St. Suite 100,TX,75205
Pei Wei,Tucson,17,#0017 #017,845 E University Blvd. Suite 135,AZ,85719
Pei Wei,Fort Worth,18,#0018 #018,5900 Overton Ridge Blvd. Suite 130,TX,76132
Pei Wei,Carrollton,19,#0019 #019,"(Park & Midway), 3412 E  Hebron Pkwy. Suite  100",TX,75010
Pei Wei,Irving,20,#0020 #020,7600 N MacArthur Blvd. Suite 102,TX,75063
Pei Wei,Arlington,21,#0021 #021,4133 S Cooper St. Suite 307,TX,76015
Pei Wei,Newport Beach,22,#0022 #022,1302 Bison Ave.,CA,92660
Pei Wei,Houston,24,#0024 #024,5110 Buffalo Speedway Suite 100,TX,77005
Pei Wei,Highlands Ranch,25,#0025 #025,9352 S Colorado Blvd. Suite G-1,CO,80126
Pei Wei,Southlake,27,#0027 #027,1582 E Southlake Blvd.,TX,76092
Pei Wei,Henderson,28,#0028 #028,1311 W Sunset Rd Suite 120,NV,89014
Pei Wei,Santa Clarita,29,#0029 #029,24250 Valencia Blvd.,CA,91355
Pei Wei,Tucson,30,#0030 #030,5285 E Broadway Blvd. Suite 151,AZ,85711
Pei Wei,Shenandoah,31,#0031 #031,19075 IH 45 S Suite 480,TX,77385
Pei Wei,Lewisville,32,#0032 #032,"(Hebron & I-35), 713 Hebron Pkwy. Suite 200",TX,75057
Pei Wei,Houston,33,#0033 #033,"(Champions Forest & 1960), 5203 FM 1960 W Suite E",TX,77069
Pei Wei,Sugar Land,37,#0037 #037,16101 Kensington Dr.,TX,77479
Pei Wei,Lakewood,39,#0039 #039,14255 Colfax Dr.,CO,80401
Pei Wei,Denver,41,#0041 #041,"200 Quebec St. Bldg. 100, Suite 115",CO,80230
Pei Wei,Dallas,42,#0042 #042,8305 Westchester Dr.,TX,75225
Pei Wei,Torrance,43,#0043 #043,2777 Pacific Coast Hwy.,CA,90505
Pei Wei,Allen,44,#0044 #044,1008 W McDermott Dr. Suite 100,TX,75013
Pei Wei,Las Vegas,45,#0045 #045,10830 W Charleston Blvd. Suite 110,NV,89135
Pei Wei,Salt Lake City,47,#0047 #047,1028 E 2100 S Suite 3,UT,84106
Pei Wei,Dallas,48,#0048 #048,"(Preston & Forest), 11700 Preston Rd. Suite A",TX,75230
Pei Wei,Albuquerque,49,#0049 #049,2201 Louisiana Blvd. NE Suite G,NM,87110
Pei Wei,Kingwood,50,#0050 #050,702 Kingwood Dr.,TX,77339
Pei Wei,Colorado Springs,52,#0052 #052,7148 N Academy Blvd.,CO,80920
Pei Wei,Tulsa,53,#0053 #053,5954 S Yale Ave.,OK,74135
Pei Wei,Houston,54,#0054 #054,1005 Waugh Dr. Suite A,TX,77019
Pei Wei,Austin,55,#0055 #055,"(I-35 & Parmer Lane), 12901 N I-35 Service Rd. NB Bldg. 15, Suite 1540",TX,78753
Pei Wei,Katy,56,#0056 #056,1590 S Mason Rd. Suite A,TX,77450
Pei Wei,Webster,58,#0058 #058,19411-A Gulf Freeway,TX,77598
Pei Wei,Houston,59,#0059 #059,"(1960 & 290), 12020 FM 1960 W",TX,77065
Pei Wei,Addison,60,#0060 #060,4801 Beltline Rd.,TX,75254
Pei Wei,San Antonio,61,#0061 #061,"(Loop 1604 & Highway 281), 1802 N Loop, 1604 E Suite 101",TX,78232
Pei Wei,Oklahoma City,71,#0071 #071,1841 Belle Isle Blvd.,OK,73118
Pei Wei,Sandy,73,#0073 #073,10373 S State St.,UT,84070
Pei Wei,Austin,75,#0075 #075,"(I-35 & 41st St), 1000 E 41st St.Suite L-100",TX,78751
Pei Wei,Orlando,76,#0076 #076,3011 E Colonial Dr. Suite B,FL,32803
Pei Wei,Eden Prairie,77,#0077 #077,12561 Castlemoor Dr.,MN,55344
Pei Wei,Austin,78,#0078 #078,4200 S Lamar Blvd.,TX,78704
Pei Wei,San Antonio,79,#0079 #079,11267 Huebner Rd.,TX,78230
Pei Wei,Boynton Beach,80,#0080 #080,1750 N Congress Ave. 700,FL,33426
Pei Wei,Weston,81,#0081 #081,4517 Weston Rd.,FL,33331
Pei Wei,Tucson,82,#0082 #082,633 W Ina Rd.,AZ,85704
Pei Wei,Baltimore,83,#0083 #083,6302 York Rd.,MD,21212
Pei Wei,Little Rock,84,#0084 #084,205 N University Ave.,AR,72205
Pei Wei,Columbia,85,#0085 #085,6478 Dobbin Center Way Suite A,MD,21045
Pei Wei,Huntington Beach,86,#0086 #086,7621 Edinger Ave. Suite 102,CA,92647
Pei Wei,College Station,87,#0087 #087,980A University Dr. East Suite 4,TX,77840
Pei Wei,Dallas,88,#0088 #088,2222 McKinney Ave. Suite 100,TX,75201
Pei Wei,Plano,89,#0089 #089,"(Preston & 121), 8412 Preston Rd. Suite 400",TX,75024
Pei Wei,Woodbury,90,#0090 #090,8300 Tamarack Village Suite 102,MN,55125
Pei Wei,Tempe,91,#0091 #091,1825 Guadalupe Suite F-112,AZ,85283
Pei Wei,Brentwood,92,#0092 #092,101 Creekside Crossing Suite 1800,TN,37027
Pei Wei,Charlotte,95,#0095 #095,13855 Conlan Circle Suite J,NC,28277
Pei Wei,Edmond,96,#0096 #096,1141 E 2nd St. Suite 100-A,OK,73034
Pei Wei,Henderson,97,#0097 #097,10575 S Eastern Ave. Suite 100,NV,89052
Pei Wei,Albuquerque,98,#0098 #098,10420 Coors Bypass NW Suite 1B,NM,87114
Pei Wei,Wellington,99,#0099 #099,10610 Bay 10 Forest Hill Blvd.,FL,33414
Pei Wei,Houston,100,#00100 #0100,14008 Memorial Dr. Suite A,TX,77079
Pei Wei,Tustin,101,#00101 #0101,2695 Park Ave.,CA,92782
Pei Wei,Garland,102,#00102 #0102,4170 Lavon Dr.,TX,75040
Pei Wei,Boulder,104,#00104 #0104,1675 29th St. Suite 1284,CO,80301
Pei Wei,San Diego,105,#00105 #0105,10562 Craftsman Way Suite 190,CA,92127
Pei Wei,Lake Forest,106,#00106 #0106,23632 El Toro Rd.,CA,92630
Pei Wei,Creve Coeur,107,#00107 #0107,11430 Olive Blvd.,MO,63141
Pei Wei,Raleigh,108,#00108 #0108,10251 Little Brier Creek Ln. Suite 112,NC,27617
Pei Wei,Fort Worth,109,#00109 #0109,2600 W 7th St. Suite 101,TX,76107
Pei Wei,Lubbock,110,#00110 #0110,4210 82nd St. Suite 230,TX,79423
Pei Wei,Phoenix,111,#00111 #0111,267 E Bell Rd. Suite 1,AZ,85022
Pei Wei,San Antonio,112,#00112 #0112,"(Loop 1604 & Bandera Road), 11398 Bandera Rd. Building 1, Suite 101",TX,78250
Pei Wei,Avondale,114,#00114 #0114,1619 North Dysart Rd. Suite 101,AZ,85323
Pei Wei,Fairfax,115,#00115 #0115,4461 Market Commons Dr.,VA,22033
Pei Wei,Cary,116,#00116 #0116,1107 Walnut St.,NC,27511
Pei Wei,Broken Arrow,117,#00117 #0117,4609 W Kenosha St.,OK,74012
Pei Wei,Memphis,118,#00118 #0118,1680 Union Ave. Suite 109,TN,38104
Pei Wei,Naples,119,#00119 #0119,2355 Vanderbilt Beach Rd. Suite 116,FL,34109
Pei Wei,Houston,120,#00120 #0120,1413 S Voss Rd. Suite A,TX,77057
Pei Wei,Raleigh,122,#00122 #0122,4408 Falls of Neuse Rd.,NC,27609
Pei Wei,Dulles,123,#00123 #0123,22000 Dulles Retail Plaza Suite 190,VA,20166
Pei Wei,Plano,125,#00125 #0125,601 W 15th St. Suite 101,TX,75075
Pei Wei,Tampa,127,#00127 #0127,12927 N Dale Mabry Hwy.,FL,33618
Pei Wei,Austin,128,#00128 #0128,13429 N Hwy 183,TX,78750
Pei Wei,Herndon,129,#00129 #0129,2338 Woodland Crossing Dr. Suite A,VA,20171
Pei Wei,Stuart,130,#00130 #0130,2101 SE Federal Hwy.,FL,34994
Pei Wei,Arlington,131,#00131 #0131,2100 N Collins St. Suite 120,TX,76011
Pei Wei,Olathe,134,#00134 #0134,15141 W 119th St.,KS,66062
Pei Wei,Plantation,136,#00136 #0136,522 N Pine Island Rd.,FL,33324
Pei Wei,Tulsa,137,#00137 #0137,3535 S Peoria,OK,74105
Pei Wei,McKinney,138,#00138 #0138,3000 S Central Expressway,TX,75070
Pei Wei,Murfreesboro,139,#00139 #0139,1911 Medical Center Pkwy. Suite A,TN,37129
Pei Wei,Overland Park,141,#00141 #0141,9222 Metcalf Ave.,KS,66212
Pei Wei,West Bountiful,142,#00142 #0142,71 N 500 W Suite A,UT,84010
Pei Wei,Ladue,143,#00143 #0143,8885 Ladue Rd. Suite 1,MO,63124
Pei Wei,Waco,144,#00144 #0144,4300A W Waco Dr. Suite 1,TX,76710
Pei Wei,St. Petersburg,146,#00146 #0146,1402 66th St.,FL,33710
Pei Wei,Nashville,148,#00148 #0148,4017 Hillsboro Pike Suite 301,TN,37215
Pei Wei,Novi,149,#00149 #0149,43170 Grand River Ave.,MI,48375
Pei Wei,Miami,150,#00150 #0150,13616 N Kendall Dr.,FL,33186
Pei Wei,Warren,151,#00151 #0151,5753 Twelve Mile Rd.,MI,48092
Pei Wei,Leesburg,152,#00152 #0152,528A E Market St.,VA,20176
Pei Wei,El Paso,154,#00154 #0154,7500 N Mesa St. Suite 101,TX,79912
Pei Wei,Sterling Heights,155,#00155 #0155,13937 Lakeside Circle Suite 113,MI,48313
Pei Wei,Boca Raton,156,#00156 #0156,1914 NE Fifth Ave.,FL,33431
Pei Wei,Dublin,157,#00157 #0157,7571 Sawmill Rd.,OH,43016
Pei Wei,Moorestown,159,#00159 #0159,400 Route 38 Suite 8120,NJ,8057
Pei Wei,Tampa,161,#00161 #0161,217 S Dale Mabry Hwy.,FL,33609
Pei Wei,Cherry Hill,162,#00162 #0162,2050 Route 70 W,NJ,8002
Pei Wei,Phoenix,163,#00163 #0163,"(7th Ave & McDowell), 701 W McDowell Rd. Suite 101",AZ,85003
Pei Wei,Memphis,165,#00165 #0165,2257 N Germantown Pkwy. Suite 110,TN,38018
Pei Wei,Miami Lakes,166,#00166 #0166,15519 NW 67th Ave.,FL,33014
