keywords,city,Aggdata Store Number,store_number,address,state,zip_code
QFC,Belfair,70500101,70500101 #101,Ne 201 State Route 300 P,WA,98528
QFC,Tacoma,70500105,70500105 #105,11104 Pacific Ave S,WA,98444
QFC,Port Townsend,70500106,70500106 #106,515 Sheridan St,WA,98368
QFC,Port Orchard,70500108,70500108 #108,1735 Village Ln Se,WA,98366
QFC,Lacey,70500126,70500126 #126,4775 Whitman Ln Se,WA,98513
QFC,Portland,70500201,70500201 #201,4756 Nw Bethany Blvd,OR,97229
QFC,Portland,70500202,70500202 #202,7525 Sw Barnes Rd,OR,97225
QFC,Portland,70500205,70500205 #205,5544 E Burnside St,OR,97215
QFC,Portland,70500206,70500206 #206,6411 Se Milwaukie Ave,OR,97202
QFC,Portland,70500207,70500207 #207,1835 Ne 33Rd Ave,OR,97212
QFC,Vancouver,70500212,70500212 #212,3505 Se 192Nd Ave,WA,98683
QFC,Kent,70500803,70500803 #803,13304 Se 240Th St,WA,98042
QFC,Seattle,70500804,70500804 #804,416 15Th Ave E,WA,98112
QFC,Normandy Park,70500805,70500805 #805,17847 1St Ave S,WA,98148
QFC,Mercer Island,70500806,70500806 #806,8421 Se 68Th St,WA,98040
QFC,Seattle,70500807,70500807 #807,2746 Ne 45Th St,WA,98105
QFC,Bellevue,70500808,70500808 #808,10116 Ne 8Th St,WA,98004
QFC,Kirkland,70500809,70500809 #809,211 Parkplace Ctr,WA,98033
QFC,Seattle,70500811,70500811 #811,1600 W Dravus St,WA,98119
QFC,Shoreline,70500816,70500816 #816,600 Nw Richmond Beach Rd,WA,98177
QFC,Bothell,70500819,70500819 #819,18921 Bothell Way Ne,WA,98011
QFC,Redmond,70500820,70500820 #820,15800 Redmond Way,WA,98052
QFC,Issaquah,70500821,70500821 #821,1540 Nw Gilman Blvd,WA,98027
QFC,Bellevue,70500822,70500822 #822,3550 Factoria Blvd Se,WA,98006
QFC,Sammamish,70500824,70500824 #824,2902 228Th Ave Se,WA,98075
QFC,Seattle,70500825,70500825 #825,2500 Sw Barton,WA,98106
QFC,Bellevue,70500826,70500826 #826,15600 Ne 8Th St Ste K1,WA,98008
QFC,Newcastle,70500827,70500827 #827,6940 Coal Creek Pkwy Se,WA,98059
QFC,Kirkland,70500828,70500828 #828,11224 Ne 124Th St,WA,98034
QFC,North Bend,70500829,70500829 #829,460 E North Bend Way,WA,98045
QFC,Tacoma,70500831,70500831 #831,4101 49Th Ave Ne,WA,98422
QFC,Mukilteo,70500832,70500832 #832,11700 Mukilteo Speedway,WA,98275
QFC,Lynnwood,70500835,70500835 #835,7500 196Th St Sw Ste B,WA,98036
QFC,Maple Valley,70500837,70500837 #837,22131 Se 237Th St,WA,98038
QFC,Kirkland,70500838,70500838 #838,14130 Juanita Dr Ne,WA,98034
QFC,Mercer Island,70500839,70500839 #839,7823 Se 28Th St,WA,98040
QFC,Issaquah,70500840,70500840 #840,4570 Klahanie Dr Se,WA,98029
QFC,Sequim,70500841,70500841 #841,990 E Washington St,WA,98382
QFC,Seattle,70500847,70500847 #847,1401 Broadway,WA,98122
QFC,Seattle,70500849,70500849 #849,2707 Rainier Ave S,WA,98144
QFC,Bothell,70500850,70500850 #850,22833 Bothell Everett Hwy,WA,98021
QFC,Edmonds,70500851,70500851 #851,22828 100Th Ave W,WA,98020
QFC,Everett,70500852,70500852 #852,4919 Evergreen Way,WA,98203
QFC,Everett,70500853,70500853 #853,2615 Broadway,WA,98201
QFC,Lynnwood,70500855,70500855 #855,17525 Highway 99 Ste F,WA,98037
QFC,Mill Creek,70500856,70500856 #856,926 164Th St Se,WA,98012
QFC,Mountlake Terrace,70500857,70500857 #857,22803 44Th Ave W,WA,98043
QFC,Seattle,70500858,70500858 #858,1531 Ne 145Th St,WA,98155
QFC,Bellevue,70500859,70500859 #859,2636 Bellevue Way Ne,WA,98004
QFC,Redmond,70500860,70500860 #860,8867 161St Ave Ne,WA,98052
QFC,Enumclaw,70500863,70500863 #863,1009 Monroe Ave,WA,98022
QFC,Gig Harbor,70500864,70500864 #864,5010 Point Fosdick Dr Nw,WA,98335
QFC,Seattle,70500866,70500866 #866,11100 Roosevelt Way Ne,WA,98125
QFC,Seattle,70500869,70500869 #869,1801 N 45Th St,WA,98103
QFC,Port Hadlock,70500870,70500870 #870,1890 Irondale Rd,WA,98339
QFC,Renton,70500871,70500871 #871,4800 Ne 4Th St,WA,98059
QFC,Seattle,70500872,70500872 #872,9999 Holman Rd Nw,WA,98117
QFC,Seattle,70500873,70500873 #873,8400 35Th Ave Ne,WA,98115
QFC,Bellevue,70500874,70500874 #874,1510 145Th Pl Se,WA,98007
QFC,Redmond,70500878,70500878 #878,23475 Ne Novelty Hill Rd,WA,98053
QFC,Stanwood,70500879,70500879 #879,27008 92Nd Ave Nw,WA,98292
QFC,Seattle,70500881,70500881 #881,500 Mercer St,WA,98109
QFC,Seattle,70500883,70500883 #883,4550 42Nd Ave Sw,WA,98116
QFC,Seattle,70500887,70500887 #887,417 Broadway E Box 2,WA,98102
QFC,Seattle,70500891,70500891 #891,5700 24Th Ave Nw,WA,98107
QFC,Seattle,70500972,70500972 #972,9999 Holman Road Nw,WA,98117
