keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Rei,Seattle,11,#11 11,222 Yale Ave N,WA,98109
Rei,Berkeley,12,#12 12,1338 San Pablo Ave,CA,94702
Rei,Portland,13,#13 13,1405 NW Johnson St,OR,97209
Rei,Manhattan Beach,14,#14 14,1800 Rosecrans Ave Ste E,CA,90266
Rei,Bloomington,15,#15 15,750 W American Blvd,MN,55420
Rei,Anchorage,16,#16 16,1200 W Northern Lights Blvd,AK,99503
Rei,Tustin,17,#17 17,2962 El Camino Real,CA,92782
Rei,Denver,18,#18 18,1416 Platte St,CO,80202
Rei,Salt Lake City,19,#19 19,3285 E 3300 S,UT,84109
Rei,Redmond,20,#20 20,7500 166th Ave NE,WA,98052
Rei,Sacramento,21,#21 21,1790 Expo Pkwy,CA,95815
Rei,San Jose,22,#22 22,400 El Paseo de Saratoga,CA,95130
Rei,Spokane,24,#24 24,1125 N Monroe St,WA,99201
Rei,Tempe,25,#25 25,1405 W Southern Ave,AZ,85282
Rei,Reading,26,#26 26,279 Salem St,MA,1867
Rei,College Park,27,#27 27,9801 Rhode Island Ave,MD,20740
Rei,San Diego,29,#29 29,5556 Copley Dr,CA,92111
Rei,Albuquerque,30,#30 30,1550 Mercantile Ave NE,NM,87107
Rei,Austin,32,#32 32,9901 N Capital of Texas Hwy,TX,78759
Rei,Atlanta,33,#33 33,1800 Northeast Expy NE,GA,30329
Rei,Baileys Crossroads,34,#34 34,3509 Carlin Springs Rd,VA,22041
Rei,Lynnwood,35,#35 35,3000 184th St SW Ste 952,WA,98037
Rei,Tigard,36,#36 36,7410 SW Bridgeport Rd,OR,97224
Rei,Conshohocken,37,#37 37,200 W Ridge Pike Ste 115,PA,19428
Rei,San Carlos,38,#38 38,1119 Industrial Rd Ste A,CA,94070
Rei,Northridge,39,#39 39,18605 Devonshire St,CA,91324
Rei,Northbrook,40,#40 40,888 Willow Rd,IL,60062
Rei,Cary,41,#41 41,1751 Walnut Street,NC,27511
Rei,Roseville,42,#42 42,1955 County Rd B2 W,MN,55113
Rei,Eugene,43,#43 43,306 Lawrence St,OR,97401
Rei,Boulder,44,#44 44,1789 28th St,CO,80301
Rei,Dallas,45,#45 45,4515 LBJ Fwy,TX,75244
Rei,Concord,46,#46 46,1975 Diamond Blvd Ste B100,CA,94520
Rei,Boise,47,#47 47,8300 W Emerald St,ID,83704
Rei,Madison,48,#48 48,7483 W Towne Way,WI,53719
Rei,Fort Collins,49,#49 49,4025 S College Ave,CO,80525
Rei,Lakewood,50,#50 50,5375 S Wadsworth Blvd,CO,80123
Rei,Oakbrook Terrace,51,#51 51,17W160 22nd St,IL,60181
Rei,Atlanta,54,#54 54,1165 Perimeter Ctr W Ste 200,GA,30338
