keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Radio Shack,ORLEANS,01-1001#,COR1001X 000011001 CO0011001X 0011001X 11001X 01-1001#,9 WEST RD,MA,2653
Radio Shack,MIDDLETOWN,01-1002#,COR1002X 000011002 CO0011002X 0011002X 11002X 01-1002#,868 W MAIN RD,RI,2842
Radio Shack,FAIRHAVEN,01-1003#,COR1003X 000011003 CO0011003X 0011003X 11003X 01-1003#,BERDON PLAZA,MA,2719
Radio Shack,COVENTRY,01-1004#,COR1004X 000011004 CO0011004X 0011004X 11004X 01-1004#,2380 NEW LONDON TPKE,RI,2816
Radio Shack,BRIDGEWATER,01-1005#,COR1005X 000011005 CO0011005X 0011005X 11005X 01-1005#,CAMPUS PLAZA SHOP CTR,MA,2324
Radio Shack,MANSFIELD,01-1006#,COR1006X 000011006 CO0011006X 0011006X 11006X 01-1006#,287 SCHOOL ST SPC A-150,MA,2048
Radio Shack,WAKEFIELD,01-1007#,COR1007X 000011007 CO0011007X 0011007X 11007X 01-1007#,BELMONT SHOPPING CTR,RI,2879
Radio Shack,E WALPOLE,01-1008#,COR1008X 000011008 CO0011008X 0011008X 11008X 01-1008#,110 PROVIDENCE HWY STE 1,MA,2032
Radio Shack,CAMBRIDGE,01-1009#,COR1009X 000011009 CO0011009X 0011009X 11009X 01-1009#,CAMBRIDGESIDE GALLERIA,MA,2141
Radio Shack,LINCOLN,01-1010#,COR1010X 000011010 CO0011010X 0011010X 11010X 01-1010#,LINCOLN CENTER MALL,RI,2865
Radio Shack,MARSHFIELD,01-1012#,COR1012X 000011012 CO0011012X 0011012X 11012X 01-1012#,9 STRATTON AVE,MA,2050
Radio Shack,SEABROOK,01-1013#,COR1013X 000011013 CO0011013X 0011013X 11013X 01-1013#,SEABROOK SOUTHGATE PLAZA,NH,3874
Radio Shack,PORTSMOUTH,01-1015#,COR1015X 000011015 CO0011015X 0011015X 11015X 01-1015#,LAFAYETTE PLAZA,NH,3801
Radio Shack,HYANNIS,01-1016#,COR1016X 000011016 CO0011016X 0011016X 11016X 01-1016#,CAPETOWN PLAZA,MA,2601
Radio Shack,SOMERSWORTH,01-1017#,COR1017X 000011017 CO0011017X 0011017X 11017X 01-1017#,140 TRI CITY PLAZA,NH,3878
Radio Shack,PORTSMOUTH,01-1019#,COR1019X 000011019 CO0011019X 0011019X 11019X 01-1019#,FOX RUN MALL,NH,3801
Radio Shack,FRANKLIN,01-1020#,COR1020X 000011020 CO0011020X 0011020X 11020X 01-1020#,FRANKLIN VILLAGE SHOP CTR,MA,2038
