keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Ralphs,La Crescenta,70300001,#001 #01 70300001,2675 Foothill Blvd,CA,91214
Ralphs,Laguna Beach,70300004,#004 #04 70300004,700 S Coast Hwy,CA,92651
Ralphs,Duarte,70300005,#005 #05 70300005,1193 Huntington Dr,CA,91010
Ralphs,Encino,70300006,#006 #06 70300006,17840 Ventura Blvd,CA,91316
Ralphs,Orange,70300008,#008 #08 70300008,1435 W Chapman Ave,CA,92868
Ralphs,Westlake Village,70300009,#009 #09 70300009,3963 E Thousand Oaks Blvd,CA,91362
Ralphs,Goleta,70300010,#0010 #010 70300010,5170 Hollister Ave,CA,93111
Ralphs,Rancho Cucamonga,70300013,#0013 #013 70300013,7369 Milliken Ave,CA,91730
Ralphs,San Clemente,70300015,#0015 #015 70300015,638 Camino De Los Mares,CA,92673
Ralphs,Los Angeles,70300016,#0016 #016 70300016,670 S Western Ave,CA,90005
Ralphs,Sun Valley,70300017,#0017 #017 70300017,8325 Laurel Canyon Blvd,CA,91352
Ralphs,Santa Ana,70300018,#0018 #018 70300018,2741 W Macarthur Blvd,CA,92704
Ralphs,San Diego,70300019,#0019 #019 70300019,11875 Carmel Mountain Rd,CA,92128
Ralphs,Huntington Beach,70300020,#0020 #020 70300020,10081 Adams Ave,CA,92646
Ralphs,South Pasadena,70300021,#0021 #021 70300021,1745 Garfield Ave,CA,91030
Ralphs,Los Angeles,70300022,#0022 #022 70300022,645 W 9Th St,CA,90015
Ralphs,Agoura,70300026,#0026 #026 70300026,5727 Kanan Rd,CA,91301
Ralphs,Palm Desert,70300027,#0027 #027 70300027,74884 Country Club Dr,CA,92260
Ralphs,Los Angeles,70300032,#0032 #032 70300032,3410 W 3Rd St,CA,90020
Ralphs,Costa Mesa,70300033,#0033 #033 70300033,380 E 17Th St,CA,92627
Ralphs,Laguna Niguel,70300034,#0034 #034 70300034,27871 La Paz Rd,CA,92677
Ralphs,Los Angeles,70300039,#0039 #039 70300039,260 S La Brea Ave,CA,90036
Ralphs,Pico Rivera,70300040,#0040 #040 70300040,9320 Slauson Ave,CA,90660
Ralphs,Arcadia,70300041,#0041 #041 70300041,211 E Foothill Blvd,CA,91006
Ralphs,Los Angeles,70300044,#0044 #044 70300044,12057 Wilshire Blvd,CA,90025
Ralphs,Corona,70300045,#0045 #045 70300045,12660 Limonite Ave,CA,92880
Ralphs,Van Nuys,70300047,#0047 #047 70300047,7221 Woodman Ave,CA,91405
Ralphs,Los Angeles,70300048,#0048 #048 70300048,3300 W Slauson Ave,CA,90043
Ralphs,Sunland,70300049,#0049 #049 70300049,10455 Sunland Blvd,CA,91040
Ralphs,San Diego,70300051,#0051 #051 70300051,1030 University Ave,CA,92103
Ralphs,Simi Valley,70300052,#0052 #052 70300052,2726 E Los Angeles Ave,CA,93065
Ralphs,Temple City,70300053,#0053 #053 70300053,9470 Las Tunas Dr,CA,91780
Ralphs,Oceanside,70300054,#0054 #054 70300054,101 Old Grove Rd,CA,92057
Ralphs,La Canada,70300055,#0055 #055 70300055,521 Foothill Blvd,CA,91011
Ralphs,North Hollywood,70300056,#0056 #056 70300056,10900 Magnolia Blvd,CA,91601
Ralphs,El Cajon,70300057,#0057 #057 70300057,2652 Jamacha Rd,CA,92019
Ralphs,Long Beach,70300058,#0058 #058 70300058,3380 N Los Coyotes Diagonal,CA,90808
Ralphs,Fountain Valley,70300059,#0059 #059 70300059,18405 Brookhurst St,CA,92708
Ralphs,Glendale,70300060,#0060 #060 70300060,1416 E Colorado St,CA,91205
Ralphs,Port Hueneme,70300062,#0062 #062 70300062,615 W Channel Islands Blvd,CA,93041
Ralphs,Van Nuys,70300063,#0063 #063 70300063,12921 Magnolia Blvd,CA,91423
Ralphs,Whittier,70300064,#0064 #064 70300064,14919 Whittier Blvd,CA,90605
Ralphs,Fullerton,70300067,#0067 #067 70300067,3330 Yorba Linda Blvd,CA,92831
