keywords,city,Aggdata Store Number,store_number,address,state,zip_code,,
Royal Farms,Joppa,1,1 01 001 #1 #01 farms#1,2620 Mountain Rd.,MD,21085,,
Royal Farms,Baltimore,2,2 02 002 #2 #02 farms#2,898 S. Marlyn Ave,MD,21221,,
Royal Farms,Baltimore,3,3 03 003 #3 #03 farms#3,7204 York Road,MD,21212,,
Royal Farms,Denton,4,4 04 004 #4 #04 farms#4,502 Market Street,MD,21629,,
Royal Farms,Salisbury,5,5 05 005 #5 #05 farms#5,901 Snow Hill Road,MD,21804,,
Royal Farms,Baltimore,6,6 06 006 #6 #06 farms#6,3635 Keswick Road,MD,21211,,
Royal Farms,Riviera Beach,7,7 07 007 #7 #07 farms#7,8482 Fort Smallwood Rd,MD,21122,,
Royal Farms,Ruxton,8,8 08 008 #8 #08 farms#8,1630 West Joppa Rd,MD,21204,,
Royal Farms,Baltimore,9,9 09 009 #9 #09 farms#9,6416 Windsor Mill Road,MD,21207,,
Royal Farms,Baltimore,10,10 010 0010 #10 #010 farms#10,504 Edmondson Ave,MD,21228,,
Royal Farms,Baltimore,11,11 011 0011 #11 #011 farms#11,5232 Harford Road,MD,21214,,
Royal Farms,Timonium,12,12 012 0012 #12 #012 farms#12,5 East Timonium Road,MD,21093,,
Royal Farms,Felton,13,13 013 0013 #13 #013 farms#13,11460 S. Dupont Hwy,DE,19943,,
Royal Farms,Baltimore,14,14 014 0014 #14 #014 farms#14,4384 Hollins Ferry Road,MD,21227,,
Royal Farms,Essex,15,15 015 0015 #15 #015 farms#15,1601 Middleborough Road,MD,21221,,
Royal Farms,Glen Burnie,16,16 016 0016 #16 #016 farms#16,6901 Governor Ritchie Hwy,MD,21061,,
Royal Farms,Baltimore,17,17 017 0017 #17 #017 farms#17,8207 Harford Road,MD,21234,,
Royal Farms,Chestertown,18,18 018 0018 #18 #018 farms#18,6502 Church Hill Road,MD,21620,,
Royal Farms,Towson,19,19 019 0019 #19 #019 farms#19,601 Southwick Drive,MD,21204,,
Royal Farms,Baltimore,20,20 020 0020 #20 #020 farms#20,1119 West 41st Street,MD,21211,,
Royal Farms,Dundalk,21,21 021 0021 #21 #021 farms#21,4015 North Point Blvd,MD,21222,,
Royal Farms,Glen Burnie,22,22 022 0022 #22 #022 farms#22,200 Oak Manor Drive,MD,21061,,
Royal Farms,Baltimore,23,23 023 0023 #23 #023 farms#23,6411 Fort Smallwood Road,MD,21226,,
Royal Farms,Baltimore,24,24 024 0024 #24 #024 farms#24,406 Bowleys Quarter Rd,MD,21220,,
