keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Save-A-Lot,Edwardsville,1,#1 1,29 W Gateway Commerce Center Drive,IL,62025
Save-A-Lot,Humboldt,2,#2 2,235 Highway 45 West,TN,38343
Save-A-Lot,Fort Worth,3,#3 3,1201 John Burgess Drive,TX,76140
Save-A-Lot,Austinburg,4,#4 4,2692 Sidley Court,OH,44010
Save-A-Lot,Winchester,5,#5 5,4000 Corporate Drive,KY,40391
Save-A-Lot,Plant City,6,#6 6,4003 Amberjack Blvd.,FL,33566
Save-A-Lot,Williamsport,7,#7 7,9822 Prosperity Lane,MD,21795
Save-A-Lot,St. Johns,8,#8 8,1701 Technical Drive,MI,48879
Save-A-Lot,Rancho Cucamonga,9,#9 9,10670 Acacia Street,CA,91730
Save-A-Lot,Macon,10,#10 10,7595 Industrial Highway,GA,31216
Save-A-Lot,West Coxsackie,11,#11 11,1 Van Bergen Street,NY,12192
Save-A-Lot,Yorktown,12,#12 12,2301 North Priority Way,IN,47396
Save-A-Lot,Hammond,13,#13 13,11077 Highway 190 West,LA,70404
Save-A-Lot,Edgerton,14,#14 14,200 Interstate Blvd,WI,53534
Save-A-Lot,New Port Richey,101,#101 101,6536 Massachusetts Avenue,FL,34653
Save-A-Lot,St. Petersburg,102,#102 102,809 49th St N,FL,33710
Save-A-Lot,Clearwater,103,#103 103,11141 Hwy 19 N #400,FL,33764
Save-A-Lot,Longwood,104,#104 104,262 N Highway 17-92,FL,32750
Save-A-Lot,Daytona Beach,105,#105 105,288 N Nova Rd,FL,32114
Save-A-Lot,Bartow,106,#106 106,330 E Van Fleet Dr,FL,33830
Save-A-Lot,Jacksonville,107,#107 107,3556 Beach Blvd,FL,32207
Save-A-Lot,Tampa,108,#108 108,7430 Palm River Rd,FL,33619
Save-A-Lot,Tampa,109,#109 109,305 West Hillsborough Ave,FL,33604
Save-A-Lot,Tallahassee,110,#110 110,2525 South Monroe St,FL,32301
Save-A-Lot,Sun City Center,111,#111 111,1625 Sun City Center Blvd,FL,33573
Save-A-Lot,Deland,112,#112 112,221 South Woodland Dr,FL,32720
