keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Smith's Food ,Salt Lake City,70600001,#41 #401 70600001,873 E South Temple,UT,84102
Smith's Food ,Salt Lake City,70600002,#42 #402 70600002,1974 S 1100 E,UT,84106
Smith's Food ,Salt Lake City,70600028,#428 #4028 70600028,922 E 2100 S,UT,84106
Smith's Food ,Ogden,70600030,#430 #4030 70600030,4275 Harrison Blvd,UT,84403
Smith's Food ,Twin Falls,70600035,#435 #4035 70600035,1913 Addison Ave E,ID,83301
Smith's Food ,Cedar City,70600042,#442 #4042 70600042,633 S Main St,UT,84720
Smith's Food ,Salt Lake City,70600044,#444 #4044 70600044,876 E 800 S,UT,84102
Smith's Food ,Sandy,70600047,#447 #4047 70600047,2039 E 9400 S,UT,84093
Smith's Food ,Price,70600048,#448 #4048 70600048,1075 E Main St,UT,84501
Smith's Food ,Chubbuck,70600061,#461 #4061 70600061,4845 Yellowstone Ave,ID,83202
Smith's Food ,Heber City,70600063,#463 #4063 70600063,550 N Main St,UT,84032
Smith's Food ,Magna,70600065,#465 #4065 70600065,8055 W 3500 S,UT,84044
Smith's Food ,Salt Lake City,70600066,#466 #4066 70600066,4065 S Redwood Rd,UT,84123
Smith's Food ,Salt Lake City,70600069,#469 #4069 70600069,1174 W 600 N,UT,84116
Smith's Food ,Park City,70600072,#472 #4072 70600072,1725 Uinta Way,UT,84098
Smith's Food ,Pleasant Grove,70600073,#473 #4073 70600073,210 E 700 S,UT,84062
Smith's Food ,Payson,70600075,#475 #4075 70600075,632 S 100 W,UT,84651
Smith's Food ,Salt Lake City,70600077,#477 #4077 70600077,402 6th Ave,UT,84103
Smith's Food ,North Ogden,70600079,#479 #4079 70600079,2560 N 400 E,UT,84414
Smith's Food ,Salt Lake City,70600080,#480 #4080 70600080,828 S 900 W,UT,84104
Smith's Food ,Salt Lake City,70600081,#481 #4081 70600081,3470 Bengal Blvd,UT,84121
Smith's Food ,Vernal,70600082,#482 #4082 70600082,1080 W Highway 40,UT,84078
Smith's Food ,Murray,70600083,#483 #4083 70600083,665 W 5300 S,UT,84123
Smith's Food ,Midvale,70600085,#485 #4085 70600085,980 Fort Union Blvd,UT,84047
Smith's Food ,Evanston,70600086,#486 #4086 70600086,70 Yellow Creek Rd,WY,82930
Smith's Food ,Logan,70600087,#487 #4087 70600087,442 N 175 E,UT,84321
Smith's Food ,Salt Lake City,70600094,#494 #4094 70600094,455 S 500 E,UT,84102
Smith's Food ,Saratoga Springs,70600107,#4107 #40107 70600107,1320 Redwood Rd,UT,84045
Smith's Food ,Herriman,70600108,#4108 #40108 70600108,5560 W 13400 S,UT,84096
Smith's Food ,Lehi,70600119,#4119 #40119 70600119,1550 E 3500 N,UT,84043
Smith's Food ,Idaho Falls,70600121,#4121 #40121 70600121,400 S Woodruff Ave,ID,83401
Smith's Food ,Burley,70600123,#4123 #40123 70600123,937 E Main St,ID,83318
Smith's Food ,Ogden,70600131,#4131 #40131 70600131,1485 Harrison Blvd,UT,84404
Smith's Food ,Draper,70600132,#4132 #40132 70600132,212 E 12300 S,UT,84020
Smith's Food ,Salt Lake City,70600133,#4133 #40133 70600133,845 E 4500 S,UT,84107
