keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Sport Chalet,Chino Hills,77,77,13041 Peyton Dr.,CA,91709
Sport Chalet,W. Los Angeles,108,108,11801 West Olympic Blvd.,CA,90064
Sport Chalet,Los Angeles,2078,2078,735 S. Figueroa Street,CA,90017
Sport Chalet,Huntington Beach,9515,9515,16242 Beach Boulevard,CA,92647
Sport Chalet,San Diego,9516,9516,4525 La Jolla Village D19,CA,92122
Sport Chalet,Burbank,9517,9517,201 E. Magnolia #145,CA,91502-1117
Sport Chalet,Mission Viejo,9518,9518,27551 Puerta Real,CA,92691
Sport Chalet,Oxnard,9519,9519,1885 Ventura Blvd.,CA,93036
Sport Chalet,Torrance,9520,9520,21305 Hawthorne Blvd. #205,CA,90503
Sport Chalet,Temecula,9521,9521,40432 Winchester Rd.,CA,92591
Sport Chalet,Henderson,9523,9523,701 Marks St.,NV,89014
Sport Chalet,Palmdale,9524,9524,39180 10th St. W.,CA,93551
Sport Chalet,Redlands,9526,9526,27550 W. Lugonia Ave.,CA,92374
Sport Chalet,Sacramento,9527,9527,2401 Butano Dr.,CA,95825
Sport Chalet,Roseville,9528,9528,10349 Fairway Drive,CA,95678
Sport Chalet,"Suite A,Lake Forest",9529,9529,26532 Towne Centre Dr.,CA,92610
Sport Chalet,Thousand Oaks,9530,9530,1350 North Moorpark Road,CA,91360
Sport Chalet,"Suite 30,Phoenix",9531,9531,2501 W. Happy Valley Rd.,AZ,85027
Sport Chalet,Scottsdale,9532,9532,8690 E. Raintree Dr.,AZ,85260
Sport Chalet,Vacaville,9534,9534,1621 E. Monte Vista Ave. Unit C.,CA,95688
Sport Chalet,"Suite 1402,San Jose",9535,9535,2190 Eastridge Loop,CA,95122
Sport Chalet,Mira Loma,9536,9536,12399 Limonite Ave.,CA,91752
Sport Chalet,San Marcos,9537,9537,177 South Las Posas Dr.,CA,92078
Sport Chalet,Bakersfield,9539,9539,5200 Stockdale Highway,CA,93309
Sport Chalet,West Jordan,9540,9540,7682 S. Campus View Dr.,UT,84084
Sport Chalet,Queen Creek,9543,9543,21566 S. Ellsworth Loop Rd.,AZ,85142
Sport Chalet,Menifee,9544,9544,30054 Haun Road,CA,92584
Sport Chalet,Laguna Niguel,9581,9581,27080 Alicia Parkway,CA,92656
Sport Chalet,San Diego,9582,9582,3695 Midway Dr.,CA,92110
Sport Chalet,Valencia,9583,9583,25560 The Old Road,CA,91381
Sport Chalet,Marina Del Rey,9584,9584,13455 Maxella Ave.,CA,90292
Sport Chalet,"#150,Brea",9586,9586,2500 E. Imperial,CA,92821
Sport Chalet,West Hills,9587,9587,6701 Fallbrook Ave.,CA,91307
Sport Chalet,Rancho Cucamonga,9588,9588,12449 Foothill Blvd.,CA,91739
Sport Chalet,Glendora,9589,9589,940 S. Grand Ave.,CA,91740
Sport Chalet,Irvine,9590,9590,2983 Michelson Dr.,CA,92612
Sport Chalet,San Diego,9591,9591,1640 Camino Del Rio N. #110,CA,92108
Sport Chalet,Porter Ranch,9592,9592,19817 Rinaldi St.,CA,91326
Sport Chalet,Long Beach,9593,9593,7440 Carson St.,CA,90808
Sport Chalet,"#340.,Costa Mesa",9594,9594,3333 Bear St,CA,92626
Sport Chalet,Las Vegas,9595,9595,8825 W. Charleston Blvd.,NV,89117
Sport Chalet,"#12,Riverside",9596,9596,3700 Tyler St.,CA,92503
Sport Chalet,Elk Grove,9597,9597,8511 Bond Rd.,CA,95624
Sport Chalet,"Suite #910-L,Arcadia",9598,9598,400 S. Baldwin Ave.,CA,91007
Sport Chalet,Pleasanton,9599,9599,4555 Rosewood Dr.,CA,94588
Sport Chalet,Visalia,9600,9600,4145 S. Mooney Blvd.,CA,93277
Sport Chalet,Chandler,9601,9601,2650 E. Germann Rd.,AZ,85249
Sport Chalet,Las Vegas,9602,9602,7230 Arroyo Crossing Pkwy.,NV,89113
Sport Chalet,Goodyear,9603,9603,15277 W. McDowell Road,AZ,85338
Sport Chalet,Peoria,9604,9604,25406 N. Lake Pleasant Pkwy.,AZ,85383
Sport Chalet,La Canada,9605,9605,2 Sport Chalet Dr.,CA,91011
