keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Sprouts Farmers Market,Chandler,1,1,1959 W. Ray Rd,AZ,85224
Sprouts Farmers Market,Scottsdale,2,2,9301 E. Shea Blvd.,AZ,85260
Sprouts Farmers Market,Glendale,3,3,5665 W. Bell Rd.,AZ,85308
Sprouts Farmers Market,Phoenix,4,4,12415 N. Tatum Blvd,AZ,85032
Sprouts Farmers Market,Mesa,5,5,1933 E. Brown Rd,AZ,85213
Sprouts Farmers Market,Peoria,6,6,8375 W. Thunderbird Rd.,AZ,85381
Sprouts Farmers Market,Phoenix,7,7,8040 N. 19th Ave,AZ,85021
Sprouts Farmers Market,Phoenix,8,8,2824 E. Indian School Rd.,AZ,85016
Sprouts Farmers Market,Glendale,9,9,5130 W. Peoria Ave.,AZ,85302
Sprouts Farmers Market,Mesa,10,10,5225 E. Southern Ave.,AZ,85206
Sprouts Farmers Market,Oro Valley,11,11,7665 N. Oracle Way.,AZ,85704
Sprouts Farmers Market,Surprise,12,12,13759 W. Bell Rd.,AZ,85374
Sprouts Farmers Market,Avondale,13,13,1813 N. Dysart Rd.,AZ,85392
Sprouts Farmers Market,Gilbert,14,14,2582 S. Val Vista Dr.,AZ,85296
Sprouts Farmers Market,Chandler,15,15,2855 S. Alma School Rd.,AZ,85286
Sprouts Farmers Market,Phoenix,16,16,4735 E. Ray Rd.,AZ,85044
Sprouts Farmers Market,Phoenix,17,17,1625 E. Glendale Ave,AZ,85020
Sprouts Farmers Market,Phoenix,18,18,245 East Bell Road #15,AZ,85022
Sprouts Farmers Market,Scottsdale,19,19,4402 N. Miller Road,AZ,85251
Sprouts Farmers Market,Tempe,20,20,1706 E. Southern Avenue,AZ,85282
Sprouts Farmers Market,Tucson,21,21,3860 West River Road,AZ,85741
Sprouts Farmers Market,Tucson,22,22,7877 East Broadway Boulevard,AZ,85710
Sprouts Farmers Market,Tucson,23,23,4282 N.1st Avenue,AZ,85719
Sprouts Farmers Market,Tucson,24,24,4645 East Speedway Boulevard,AZ,85712
Sprouts Farmers Market,Flagstaff,26,26,1560 N. Riordan Rand Rd.,AZ,86001
Sprouts Farmers Market,Deer Valley,27,27,6760 W. Deer Valley Rd,AZ,85310
Sprouts Farmers Market,Plano,101,101,4100 E. Legacy Dr.,TX,75024
Sprouts Farmers Market,Flower Mound,102,102,2301 Cross Timbers Rd.,TX,75028
Sprouts Farmers Market,Dallas,103,103,11722 Marsh Ln.,TX,75229
Sprouts Farmers Market,Southlake,104,104,220 Randol Mill Ave.,TX,76092
Sprouts Farmers Market,Frisco,105,105,5190 Preston Rd.,TX,75034
Sprouts Farmers Market,Richardson,106,106,1343 W. Campbell Rd.,TX,75080
Sprouts Farmers Market,Murphy,107,107,207 E. FM 544,TX,75094
Sprouts Farmers Market,Coppell,108,108,110 W. Sandy Lake Rd.,TX,75019
