keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Taco Bueno,Abilene,3001,3001 #3001,3650 North 1st St,TX,79603
Taco Bueno,Tulsa,3002,3002 #3002,6565 E 21st St,OK,74129
Taco Bueno,Tulsa,3003,3003 #3003,9760 E 31st St,OK,74145
Taco Bueno,Tulsa,3005,3005 #3005,3202 S Sheridan Rd,OK,74145
Taco Bueno,Abilene,3007,3007 #3007,825 Judge Ely Rd,TX,79601
Taco Bueno,Oklahoma City,3010,3010 #3010,6615 N May Ave,OK,73116
Taco Bueno,Dallas,3013,3013 #3013,3950 Lemmon Ave,TX,75219
Taco Bueno,Arlington,3016,3016 #3016,2307 S Cooper,TX,76015
Taco Bueno,Fort Worth,3017,3017 #3017,5600 Camp Bowie,TX,76107
Taco Bueno,Bedford,3018,3018 #3018,1528 Brown Trail,TX,76021
Taco Bueno,Tulsa,3019,3019 #3019,7436 E Admiral Place,OK,74115
Taco Bueno,Hurst,3020,3020 #3020,1321 Desiree Lane,TX,76053
Taco Bueno,Richardson,3021,3021 #3021,2113 E Belt Line,TX,75081
Taco Bueno,Fort Worth,3023,3023 #3023,8601 Camp Bowie West Blvd,TX,76116
Taco Bueno,Arlington,3024,3024 #3024,1419 N Collins,TX,76011
Taco Bueno,Euless,3025,3025 #3025,205 Spur 350 W,TX,76040
Taco Bueno,Dallas,3026,3026 #3026,7940 Forest Lane,TX,75230
Taco Bueno,OKC,3027,3027 #3027,1400 S W 74th Expwy,OK,73159
Taco Bueno,Denton,3028,3028 #3028,735 Fort Worth St,TX,76201
Taco Bueno,Abilene,3029,3029 #3029,4117 Buffalo Gap Rd,TX,79605
Taco Bueno,Fort Worth,3030,3030 #3030,1608 N Handley Dr,TX,76112
Taco Bueno,Tulsa,3031,3031 #3031,6825 S Memorial,OK,74133
Taco Bueno,Lawton,3032,3032 #3032,1042 N W 38th,OK,73505
Taco Bueno,Fort Worth,3033,3033 #3033,6429 McCart,TX,76133
Taco Bueno,OKC,3035,3035 #3035,7104 N W Hwy,OK,73132
Taco Bueno,Arlington,3036,3036 #3036,5748 S W Green Oaks Blvd,TX,76017
Taco Bueno,Denton,3037,3037 #3037,1550 W University,TX,76201
Taco Bueno,Ardmore,3038,3038 #3038,905 N Commerce,OK,73401
Taco Bueno,Lewisville,3039,3039 #3039,180 N Stemmons,TX,75067
Taco Bueno,Tulsa,3040,3040 #3040,5032 S Sheridan,OK,74145
Taco Bueno,Oklahoma City,3043,3043 #3043,4416 S E 44th St,OK,73135
Taco Bueno,N.Richland Hills,3044,3044 #3044,5165 Rufe Snow Dr,TX,76118
Taco Bueno,Lake Worth,3045,3045 #3045,6350 Lake Worth Blvd,TX,76135
Taco Bueno,Oklahoma City,3046,3046 #3046,4421 N W 39th Expwy,OK,73112
Taco Bueno,Midwest City,3048,3048 #3048,1440 S Air Depot Blvd,OK,73110
Taco Bueno,Edmond,3049,3049 #3049,125 E 2nd,OK,73034
Taco Bueno,Oklahoma City,3050,3050 #3050,5920 N W 23rd,OK,73127
Taco Bueno,Irving,3051,3051 #3051,904 W Airport Frwy,TX,75062
Taco Bueno,Broken Arrow,3052,3052 #3052,1810 N Elm Place,OK,74012
Taco Bueno,Moore,3053,3053 #3053,1109 N Sante Fe,OK,73160
Taco Bueno,Desoto,3054,3054 #3054,1235 E Pleasant Run Rd,TX,75115
Taco Bueno,Mesquite,3055,3055 #3055,1336 N Town E Blvd,TX,75150
Taco Bueno,Tulsa,3056,3056 #3056,8611 S Lewis,OK,74137
Taco Bueno,Farmers Branch,3057,3057 #3057,2363 Valwood Pkwy,TX,75234
Taco Bueno,Stillwater,3058,3058 #3058,727 N Perkins Rd,OK,74075
Taco Bueno,Garland,3059,3059 #3059,5724 Broadway Blvd,TX,75043
Taco Bueno,Carrollton,3060,3060 #3060,1945 Frankford Rd,TX,75007
Taco Bueno,Grapevine,3061,3061 #3061,1113 W N W Highway,TX,76051
Taco Bueno,Muskogee,3062,3062 #3062,301 W Shawnee,OK,74401
Taco Bueno,Sherman,3063,3063 #3063,2204 Texoma Pkwy.,TX,75090
Taco Bueno,Norman,3064,3064 #3064,251 S E 12th Ave,OK,73071
Taco Bueno,Oklahoma City,3065,3065 #3065,2001 N W 23rd St,OK,73106
Taco Bueno,Enid,3066,3066 #3066,1725 W Owen K Garriot,OK,73703
Taco Bueno,Sand Springs,3067,3067 #3067,546 Plaza Court,OK,74063
Taco Bueno,Pantego,3068,3068 #3068,2353 W Pioneer Pkwy,TX,76013
Taco Bueno,Fort Worth,3069,3069 #3069,7057 Ridgemar Meadow Rd,TX,76116
Taco Bueno,Tulsa,3070,3070 #3070,6519 E 91st St,OK,74133
Taco Bueno,Owasso,3071,3071 #3071,11925 E 86th St,OK,74055
Taco Bueno,Wichita Falls,3073,3073 #3073,4417 Kemp Blvd,TX,76308
Taco Bueno,Claremore,3074,3074 #3074,1210 W Will Rogers Blvd,OK,74017
Taco Bueno,Garland,3075,3075 #3075,850 W Buckingham,TX,75040
Taco Bueno,Oklahoma City,3076,3076 #3076,3023 S W 29th St,OK,73119
Taco Bueno,Arlington,3077,3077 #3077,2140 E Pioneer Pkwy,TX,76010
Taco Bueno,Oklahoma City,3078,3078 #3078,1301 S Meridian,OK,73108
Taco Bueno,Norman,3079,3079 #3079,1820 W Lindsey,OK,73069
Taco Bueno,Plano,3080,3080 #3080,3400 Ave K,TX,75074
Taco Bueno,Bixby,3081,3081 #3081,15040 S Memorial,OK,74008
Taco Bueno,Broken Arrow,3082,3082 #3082,6112 S Garnett,OK,74012
Taco Bueno,Tulsa,3084,3084 #3084,4608 S Peoria,OK,74105
Taco Bueno,Tulsa,3085,3085 #3085,2814 E 11th St,OK,74104
Taco Bueno,Dallas,3086,3086 #3086,2630 S Buckner Blvd,TX,75227
Taco Bueno,Waco,3087,3087 #3087,815 N Valley Mills,TX,76710
Taco Bueno,Greenville,3088,3088 #3088,6834 Wesley St,TX,75401
Taco Bueno,Sapulpa,3090,3090 #3090,722 S Main St,OK,74066
Taco Bueno,Dallas,3092,3092 #3092,13443 Montfort Dr,TX,75240
Taco Bueno,Dallas,3093,3093 #3093,8939 Skillman,TX,75243
Taco Bueno,Duncanville,3094,3094 #3094,750 Wheatland Rd,TX,75116
Taco Bueno,Garland,3095,3095 #3095,1936 S 1st St,TX,75040
Taco Bueno,Irving,3097,3097 #3097,2951 W Belt Line Rd,TX,75062
Taco Bueno,Kilgore,3098,3098 #3098,1217 N Kilgore,TX,75662
Taco Bueno,Longview,3099,3099 #3099,500 E Marshall,TX,75601
Taco Bueno,McKinney,3100,3100 #3100,302 N Central Expy,TX,75069
Taco Bueno,Plano,3102,3102 #3102,3287 Independence Pkwy,TX,75075
Taco Bueno,Fort Worth,3108,3108 #3108,6050 S Hulen,TX,76132
Taco Bueno,Tulsa,3109,3109 #3109,11710 E 11th St,OK,74128
Taco Bueno,Shawnee,3111,3111 #3111,500 Shawnee Mall Dr,OK,74804
Taco Bueno,Carrollton,3112,3112 #3112,2612 Midway Rd,TX,75006
Taco Bueno,Balch Springs,3113,3113 #3113,11932 Elam Road,TX,75180
Taco Bueno,Arlington,3114,3114 #3114,4920 S Cooper,TX,76017
Taco Bueno,Dallas,3115,3115 #3115,17848 Preston Road,TX,75252
Taco Bueno,Abilene,3116,3116 #3116,5010 South US Hwy 277,TX,79605
Taco Bueno,Plano,3117,3117 #3117,720 W Spring Creek Pkwy,TX,75023
Taco Bueno,Burleson,3118,3118 #3118,901 SW Wilshire Blvd,TX,76028
Taco Bueno,Longview,3119,3119 #3119,3314 North Fourth St,TX,75605
Taco Bueno,Oklahoma City,3120,3120 #3120,945 West Memorial Road,OK,73114
Taco Bueno,Weatherford,3121,3121 #3121,1901 S. Main St,TX,76086
Taco Bueno,Haltom City,3122,3122 #3122,5380 N. Beach St,TX,76137
Taco Bueno,Grapevine,3123,3123 #3123,5341 William D. Tate Ave,TX,76051
Taco Bueno,Broken Arrow,3124,3124 #3124,1001 West New Orleans St.,OK,74011
Taco Bueno,Rowlett,3125,3125 #3125,8300 Lakeview Pkwy,TX,75088
Taco Bueno,Southlake,3126,3126 #3126,2305 E. Southlake Blvd,TX,76092
Taco Bueno,Keller,3127,3127 #3127,1510 E. Keller Pkwy,TX,76248
Taco Bueno,Fort Worth,3128,3128 #3128,2404 Westport Pkwy,TX,76177
Taco Bueno,Waxahachie,3129,3129 #3129,1080 West Hwy 287 By Pass,TX,75165
Taco Bueno,Mesquite,3130,3130 #3130,1723 W. Scyene Road,TX,75149
Taco Bueno,Forest Hill,3131,3131 #3131,3204 SE Loop 820,TX,76140
Taco Bueno,Carrollton,3132,3132 #3132,1533 West Hebron Pkwy,TX,75010
Taco Bueno,Grand Prairie,3133,3133 #3133,2546 West Interstate 20,TX,75052
Taco Bueno,Rockwall,3134,3134 #3134,609 White Hills Drive,TX,75087
Taco Bueno,McKinney,3136,3136 #3136,3700 Eldorado Pkwy,TX,75070
Taco Bueno,Tulsa,3137,3137 #3137,10323 S. Memorial Dr.,OK,74133
Taco Bueno,Grand Prairie,3138,3138 #3138,2630 N. Hwy 360,TX,75050
Taco Bueno,Brownwood,3139,3139 #3139,201 E. Commerce,TX,76801
Taco Bueno,Ponca City,3141,3141 #3141,813 E. Prospect Ave.,OK,74601
Taco Bueno,Bartlesville,3142,3142 #3142,2340 SE Washington Blvd,OK,74006
Taco Bueno,Yukon,3144,3144 #3144,1601 Garth Brooks Blvd.,OK,73099
Taco Bueno,Granbury,3145,3145 #3145,1180 East Hwy 377,TX,76048
Taco Bueno,Plano,3147,3147 #3147,609 Jupiter Road,TX,75074
Taco Bueno,Dallas,3148,3148 #3148,14221 Coit Road,TX,75254
Taco Bueno,Irving,3151,3151 #3151,707 W. IH 635,TX,75063
Taco Bueno,NRH,3154,3154 #3154,6221 Precinct Line Rd,TX,76180
Taco Bueno,Wichita,3155,3155 #3155,3530 North Rock Road,KS,67226
Taco Bueno,Frisco,3156,3156 #3156,9191 Rolater Drive,TX,75035
Taco Bueno,Addison,3157,3157 #3157,15000 Marsh Lane,TX,75001
Taco Bueno,Cedar Hill,3158,3158 #3158,445 N. Clark Road,TX,75104
Taco Bueno,Amarillo,3159,3159 #3159,6001 I-40 W,TX,79106
Taco Bueno,Mansfield,3160,3160 #3160,1120 Hwy 287 N,TX,76063
Taco Bueno,Lewisville,3163,3163 #3163,320 East FM 3040,TX,75067
Taco Bueno,Wichita,3165,3165 #3165,427 N. Hillside,KS,67214
Taco Bueno,Arlington,3166,3166 #3166,4401 South Collins,TX,76018
Taco Bueno,Waco,3170,3170 #3170,1601 Hewitt Drive,TX,76712
Taco Bueno,Belton,3172,3172 #3172,510 E North Ave,MO,64012
Taco Bueno,Blue Springs,3173,3173 #3173,727 NW 7 Hwy,MO,64014
Taco Bueno,Dallas,3177,3177 #3177,7940 N Central Expwy #101,TX,75206
Taco Bueno,Cleburne,3179,3179 #3179,1305 W Henderson,TX,76033
Taco Bueno,Oklahoma City,3180,3180 #3180,6001 W Reno Ave,OK,73127
Taco Bueno,Kansas City,3181,3181 #3181,6901 NW 83rd Terrace,MO,64152
Taco Bueno,Olathe,3184,3184 #3184,13546 S Blackbob Rd,KS,66062
Taco Bueno,Kansas City,3188,3188 #3188,10932 Stadium Parkway,KS,66111
Taco Bueno,Fort Worth,3189,3189 #3189,9523 White Settlement Road,TX,76108
Taco Bueno,Roanoke,3190,3190 #3190,1200 N Hwy 377,TX,76262
Taco Bueno,Tulsa,3191,3191 #3191,5847 S 49th West Ave,OK,74107
Taco Bueno,Sachse,3193,3193 #3193,5320 State Hwy 78,TX,75048
Taco Bueno,Harker Heights,3194,3194 #3194,325 East FM 2410,TX,76548
Taco Bueno,Kansas City,3195,3195 #3195,380 NE Vivion Rd,MO,64118
Taco Bueno,Plano,3196,3196 #3196,4120 Legacy Dr,TX,75024
Taco Bueno,Kansas City,3197,3197 #3197,503 NW Barry Road,MO,64155
Taco Bueno,Olathe,3198,3198 #3198,18016 W 119th St,KS,66061
Taco Bueno,Catoosa,3200,3200 #3200,2030 S Cherokee St,OK,74015
Taco Bueno,Allen,3201,3201 #3201,1709 N. Greenville Ave.,TX,75002
Taco Bueno,Glenpool,3202,3202 #3202,12130 South Vancouver Avenue,OK,74033
Taco Bueno,Owasso,3203,3203 #3203,13502 E 116 St N,OK,74055
Taco Bueno,San Marcos,3204,3204 #3204,2319 South I-35,TX,78666
Taco Bueno,Austin,3205,3205 #3205,"5000 West Slaughter Ln,Bldg 3",TX,78749
Taco Bueno,Round Rock,3206,3206 #3206,"1700 Palm Valley Blvd, #100",TX,78664
Taco Bueno,Fayetteville,8001,8001 #8001,272 E Joyce Road,AR,72703
