keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Tilly's,Cypress,3,#3,6836 Katella Ave.,CA,90630
Tilly's,Huntington Beach,4,#4,18545 Main St.,CA,92648
Tilly's,Fullerton,6,#6,1429 South Harbor Blvd.,CA,92832
Tilly's,Long Beach,7,#7,5286 East 2nd St.,CA,90803
Tilly's,Laguna Niguel,8,#8,27150 Alicia Pkwy.,CA,92677
Tilly's,Rancho Santa Margarita,10,#10,30616 Santa Margarita Pkwy.,CA,92688
Tilly's,Costa Mesa,11,#11,901 South Coast Dr.,CA,92626
Tilly's,Ontario,12,#12,One Mills Rd.,CA,91764
Tilly's,Orange,14,#14,20 City Blvd.,CA,92868
Tilly's,Brea,15,#15,2365 East Imperial Hwy.,CA,92821
Tilly's,Temecula,16,#16,40820 Winchester Rd.,CA,92591
Tilly's,Long Beach,17,#17,7350 Carson Blvd.,CA,90808
Tilly's,Anaheim Hills,19,#19,8176 East Santa Ana Canyon,CA,92808
Tilly's,Northridge,20,#20,19811 Rinaldi St.,CA,91326
Tilly's,Escondido,21,#21,1266 Auto Park Way,CA,92029
Tilly's,Torrance,22,#22,2645 Pacific Coast Highway,CA,90505
Tilly's,Oxnard,24,#24,161 Esplanade Dr.,CA,93030
Tilly's,Burbank,25,#25,1751 North Victory Place,CA,91502
Tilly's,San Ysidro,26,#26,4051 Camino De La Plaza,CA,92173
Tilly's,Chino,27,#27,3865 Grand Ave.,CA,91710
Tilly's,Valencia,28,#28,27027 McBean Pkwy.,CA,91355
Tilly's,Redondo Beach,29,#29,1815 Hawthorne Blvd.,CA,90278
Tilly's,Santee,30,#30,9880 Mission Gorge Rd.,CA,92071
Tilly's,Irvine,31,#31,81 Fortune Dr.,CA,92618
Tilly's,Palm Desert,32,#32,72840 Highway 111,CA,92260
Tilly's,Oceanside,33,#33,2641 Vista Way,CA,92054
Tilly's,Carlsbad,34,#34,1911 Calle Barcelona,CA,92009
Tilly's,Thousand Oaks,35,#35,33 North Moorpark Rd.,CA,91360
Tilly's,Palmdale,36,#36,1233 West Rancho Vista Rd.,CA,93551
Tilly's,West Covina,37,#37,112 Plaza Dr.,CA,91790
Tilly's,Henderson,38,#38,1300 West Sunset Rd.,NV,89014
Tilly's,Las Vegas,39,#39,8800 West Charleston Blvd.,NV,89117
Tilly's,Elk Grove,40,#40,9688 Bruceville Rd.,CA,95758
Tilly's,Scottsdale,41,#41,16455 North Scottsdale Rd.,AZ,85254
Tilly's,Corona,42,#42,3417 Grand Oaks,CA,92881
Tilly's,San Jose,43,#43,5353 Almaden Expressway,CA,95118
Tilly's,Gilbert,44,#44,5034 South Power Rd.,AZ,85297
Tilly's,Gilbert,45,#45,3885 South Gilbert Rd.,AZ,85296
Tilly's,Phoenix,46,#46,4550 East Cactus Rd.,AZ,85032
Tilly's,Mesa,47,#47,6555 East Southern Ave.,AZ,85206
Tilly's,Glendale,48,#48,7700 West Arrowhead Town Center,AZ,85308
Tilly's,Dublin,49,#49,4980 Dublin Blvd.,CA,94568
Tilly's,Tempe,50,#50,5000 South Arizona Mills Circle,AZ,85282
Tilly's,San Diego,51,#51,1640 Camino Del Rio North,CA,92108
Tilly's,El Cajon,52,#52,363 Parkway Plaza,CA,92020
Tilly's,Simi Valley,53,#53,1555 Simi Town Center Way,CA,93065
Tilly's,San Bruno,54,#54,1150 El Camino Real,CA,94066
Tilly's,Riverside,55,#55,1299 Galleria,CA,92503
Tilly's,Las Vegas,56,#56,4300 Meadows Lane,NV,89107
Tilly's,San Jose,58,#58,2200 Eastridge Loop,CA,95122
Tilly's,Concord,59,#59,One Sun Valley Mall,CA,94520
Tilly's,Phoenix,60,#60,2501 West Happy Valley Rd.,AZ,85027
Tilly's,Natomas,61,#61,3642 North Freeway Blvd.,CA,95833
Tilly's,Chandler,62,#62,3111 West Chandler Blvd.,AZ,85226
