keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Uno Chicago Grill,Boston,201,#201,731 Boylston Street,MA,2116
Uno Chicago Grill,Cambridge,202,#202,"22 JFK Street,  Harvard Square",MA,2138
Uno Chicago Grill,Framingham,203,#203,70 Worcester RD,MA,1701
Uno Chicago Grill,Springfield,206,#206,"1722 Boston Road,  Haymarket Sq.",MA,01129-1153
Uno Chicago Grill,Boston,209,#209,"645 Beacon Street,  Kenmore Square",MA,2215
Uno Chicago Grill,Burlington,210,#210,"75 Middlesex Turnpike,  Burlington Mall (Unit # 1095)",MA,1803
Uno Chicago Grill,Dedham,217,#217,270 Providence Highway,MA,2026
Uno Chicago Grill,Boston,218,#218,280 Huntington Ave,MA,2115
Uno Chicago Grill,Hanover,219,#219,1799 Washington Street,MA,2339
Uno Chicago Grill,Hyannis,222,#222,"574 Iyanough Road,  Rte. 132",MA,2601
Uno Chicago Grill,Revere,224,#224,"399 Squire road,  Northgate Shopping Center",MA,2151
Uno Chicago Grill,Braintree,227,#227,"250 Granite Street,  South Shore Plaza",MA,2184
Uno Chicago Grill,Woburn,231,#231,"300 Mishawum Road,  Woburn Mall",MA,1801
Uno Chicago Grill,Waltham,235,#235,155 Bear Hill Road,MA,2451
Uno Chicago Grill,Bellingham,236,#236,205 Hartford Avenue,MA,2019
Uno Chicago Grill,Westborough,238,#238,225 Turnpike Road,MA,01581-2807
Uno Chicago Grill,Leominster,239,#239,905 Merriam Ave.,MA,1453
Uno Chicago Grill,Sturbridge,241,#241,"100 Charlton Road,  Center at Hobbs Brook",MA,1566
Uno Chicago Grill,Haverhill,242,#242,30 Cushing Avenue,MA,01830-1405
Uno Chicago Grill,Wrentham,246,#246,"1048 South Street, Suite 30",MA,2093
Uno Chicago Grill,Millbury,249,#249,"70 Worcester Providence Highway, Suite 447",MA,1527
Uno Chicago Grill,Attleboro,250,#250,221 Washington Street,MA,2703
Uno Chicago Grill,Taunton,251,#251,904 County St.,MA,2780
Uno Chicago Grill,Swampscott,252,#252,970 Paradise Road,MA,1907
Uno Chicago Grill,Forest Hills,302,#302,107-16 70th Road,NY,11375
Uno Chicago Grill,Albany,304,#304,"1 Crossgate Mall Road,  Crossgates Mall Road - Next to Best Buy",NY,12203
Uno Chicago Grill,New York,308,#308,432 Columbus Avenue,NY,10024
Uno Chicago Grill,Bayside,310,#310,39-02 Bell Blvd,NY,11361
Uno Chicago Grill,Syracuse,311,#311,9558 Destiny USA Drive,NY,13204
Uno Chicago Grill,Brooklyn,312,#312,9201 4th Ave,NY,11209
Uno Chicago Grill,New York,315,#315,220 E.86th Street,NY,10028
Uno Chicago Grill,Vestal,318,#318,"2503 Vestal Parkway E.,  Towne Square Plaza",NY,13850
Uno Chicago Grill,Yonkers,319,#319,"2650 Central Park Ave,  Central Plaza",NY,10710
Uno Chicago Grill,Latham,321,#321,601 Troy-Schenectady Road,NY,12110-2811
Uno Chicago Grill,Henrietta,322,#322,1000 Hylan Drive,NY,14467
Uno Chicago Grill,Victor,323,#323,"7724 Victor-Pittsford Road,  Valentown Corner Plaza",NY,14564
Uno Chicago Grill,Long Island City,325,#325,37-11 35th Avenue,NY,11101
Uno Chicago Grill,Central Valley,327,#327,20 Centre Drive,NY,10917
Uno Chicago Grill,Fayetteville,328,#328,520 Towne Drive,NY,13066
Uno Chicago Grill,Liverpool,329,#329,3974 State Route 31,NY,13090-1312
Uno Chicago Grill,New Hartford,330,#330,8645 Clinton Street,NY,13413
Uno Chicago Grill,Webster,331,#331,931 Holt Road,NY,14580
Uno Chicago Grill,Warwick,401,#401,"399 Bald Hill Road,  Suite 10",RI,2886
Uno Chicago Grill,Providence,402,#402,82 Providence Place,RI,2903
Uno Chicago Grill,Smithfield,403,#403,"371 Putnam Pike, Suite 200,  Smithfield Crossing",RI,2917
Uno Chicago Grill,Milford,454,#454,1061 Boston Post Road,CT,6460
Uno Chicago Grill,Nashua,501,#501,304 Daniel Webster Highway,NH,3060
Uno Chicago Grill,Concord,503,#503,15 Fort Eddy Road,NH,3301
Uno Chicago Grill,Dover,506,#506,238 Indian Brook Drive,NH,3820
Uno Chicago Grill,Nashua,507,#507,593 Amherst Street,NH,03063-1048
Uno Chicago Grill,Tilton,509,#509,"122 Laconia Road,  Tanger Outlet Center-Tilton",NH,3276
Uno Chicago Grill,Metuchen,603,#603,"61 US Highway #1,  Menlo Park/Brew Pub",NJ,8840
Uno Chicago Grill,Washington,701,#701,"50 Mass. Ave, N.E.,  Union Station-Box 6",DC,20002
Uno Chicago Grill,Baltimore,704,#704,"201 East Pratt Street,  Harborplace",MD,21202
Uno Chicago Grill,Norfolk,710,#710,"5900 East Virginia Beach Blvd,  Virginia Beach",VA,23502
Uno Chicago Grill,Williamsburg,715,#715,205 Bypass Road,VA,23185
Uno Chicago Grill,Tabb,716,#716,"5007 Victory Blvd,  Village Sq. Shopping Center",VA,23693
Uno Chicago Grill,Falls Church,719,#719,3058 Gatehouse Plaza,VA,22042
Uno Chicago Grill,Ellicott City,720,#720,4470 Long Gate Parkway,MD,21043-6085
Uno Chicago Grill,Frederick,721,#721,"5449 Urbana Pike,  Across from FSK Mall",MD,21704-7275
Uno Chicago Grill,Kingstowne,722,#722,5935 Kingstowne Towne Center,VA,22315-5877
Uno Chicago Grill,Hagerstown,723,#723,17734 Garland Groh. Blvd,MD,21740
Uno Chicago Grill,Manassas,725,#725,10701 Bulloch Drive,VA,20109-2237
Uno Chicago Grill,Bowie,727,#727,4001 Town Center Blvd,MD,20716
Uno Chicago Grill,Virginia Beach,730,#730,1005 Lynnhaven Mall Loop,VA,23452
Uno Chicago Grill,Columbia,731,#731,"10300 Little Patuxent Parkway, Suite 3030",MD,21044
Uno Chicago Grill,Chicago,761,#761,"29 East Ohio,  Pizzeria Uno",IL,60611
Uno Chicago Grill,Chicago,762,#762,"619 North Wabash Avenue,  Pizzeria Due",IL,60611
Uno Chicago Grill,Chicago,763,#763,"49 East Ontario,  Su Casa",IL,60611
Uno Chicago Grill,Schaumburg,767,#767,1160 Plaza Drive,IL,60173
Uno Chicago Grill,Gurnee,768,#768,6593 Grand Ave,IL,60031-1643
Uno Chicago Grill,Dublin,781,#781,"5930 Britton Parkway,  Tuttle Crossing",OH,43016-1207
Uno Chicago Grill,Pickerington,783,#783,1720 Hill Road,OH,43147
Uno Chicago Grill,Southport,791,#791,4740 East Southport Road,IN,46237
Uno Chicago Grill,S. Burlington,810,#810,1330 Shelburne Road,VT,5403
Uno Chicago Grill,S. Portland,830,#830,280 Maine Mall Road,ME,4106
Uno Chicago Grill,Bangor,831,#831,725 Stillwater Ave,ME,4401
Uno Chicago Grill,Philadelphia,841,#841,789 Franklin Mills Circle,PA,19154
Uno Chicago Grill,Homestead,843,#843,205 East Waterfront Drive,PA,15120
Uno Chicago Grill,Orlando,960,#960,8250 International Drive,FL,32819
Uno Chicago Grill,Kissimmee,964,#964,"5350 W. Irlo Bronson Memorial Hwy,  Rte 192",FL,34746
Uno Chicago Grill,Winter Garden,972,#972,3167 Daniels Rd.,FL,34787
Uno Chicago Grill,Melbourne,974,#974,8260 Wickham Road,FL,32940
Uno Chicago Grill,Orlando,975,#975,"12553 Sr-535,  Across From Disney",FL,32836
Uno Chicago Grill,Oakland,2001,#2001,19746 Garrett Highway,MD,21550
Uno Chicago Grill,Holyoke,2102,#2102,"50 Holyoke Street,  Holyoke Mall at Ingleside",MA,1040
Uno Chicago Grill,Springfield,2103,#2103,"820 West Columbus Avenue,  Riverfront",MA,1105
Uno Chicago Grill,Worcester,2104,#2104,25 Major Taylor Blvd,MA,1608
Uno Chicago Grill,Birch Run,2303,#2303,"8975 Marketplace Dr, Suite F600",MI,48415
Uno Chicago Grill,Sterling Heights,2304,#2304,44805 Mound Road,MI,48314
Uno Chicago Grill,Clifton,2704,#2704,"Riverfront Center, 426 Route 3 West",NJ,7014
