keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Vons,Thousand Oaks,1610,0001610X,1790 Moorpark Rd,CA,91360
Vons,Nipomo,1621,0001621X,520 W. Tefft St.,CA,93444
Vons,Redondo Beach,1623,0001623X,4001 Inglewood Ave,CA,90278
Vons,Gardena,1625,0001625X,1260 W Redondo Beach Blvd,CA,90247
Vons,Santa Ana,1626,0001626X,3650 S Bristol St.,CA,92704
Vons,Lakewood,1638,0001638X,4226 Woodruff Ave,CA,90713
Vons,Saugus,1669,0001669X,26518 Bouquet Canyon Rd,CA,91350
Vons,Mission Viejo,1670,0001670X,28751 Los Alisos Blvd,CA,92692
Vons,Chatsworth,1671,0001671X,20440 Devonshire St.,CA,91311
Vons,Camarillo,1672,0001672X,820 Arneill Rd,CA,93010
Vons,Canoga Park,1673,0001673X,8201 Topanga Canyon Blvd,CA,91304
Vons,Studio City,1674,0001674X,4033 Laurel Canyon Blvd,CA,91604
Vons,Laguna Niguel,1676,0001676X,30252 Crown Valley Pkwy,CA,92677
Vons,Las Vegas,1688,0001688X,820 S. Rampart Blvd,NV,89145
Vons,Glendale,1707,0001707X,561 N Glendale Ave.,CA,91206
Vons,Redlands,1734,0001734X,522 N. Orange St,CA,92374
Vons,Moorpark,1735,0001735X,4241 Tierra Rejada,CA,93021
Vons,Costa Mesa,1736,0001736X,2701 B. Harbor Blvd,CA,92626
Vons,Lompoc,1738,0001738X,729 N. H St.,CA,93436
Vons,Fontana,1742,0001742X,7390 Cherry Ave,CA,92336
Vons,Bishop,1753,0001753X,1190 N. Main St.,CA,93514
Vons,Fresno,1754,0001754X,5638 E. Kings Canyon,CA,93727
Vons,Clovis,1756,0001756X,1650 Herndon Ave,CA,93611
Vons,Brawley,1767,0001767X,475 W. Main St.,CA,92227
Vons,Newbury Park,1793,0001793X,2100 Newbury Rd,CA,91320
Vons,Henderson,1795,0001795X,2511 Anthem Village,NV,89052
Vons,Yucaipa,1796,0001796X,33644 Yucaipa Blvd,CA,92399
Vons,San Diego,1797,0001797X,4627 Carmel Mountain Rd.,CA,92130
Vons,Santee,1897,0001897X,9643 Mission Gorge Rd,CA,92071
Vons,Oxnard,1913,0001913X,450 S. Ventura Rd,CA,93030
Vons,Rancho Cucamonga,1914,0001914X,6351 Haven Ave,CA,91737
Vons,Temecula,1962,0001962X,29530 Rancho California Rd,CA,92591
Vons,Las Vegas,1963,0001963X,1155 E. Twain Ave,NV,89169
Vons,Bakersfield,1969,0001969X,5700 Stockdale Hwy,CA,93309
Vons,Las Vegas,1970,0001970X,8540 W. Desert Inn Rd.,NV,89117
Vons,Agoura,2001,0002001X,5671 Kanan Rd,CA,91301
Vons,Santa Monica,2002,0002002X,1311 Wilshire Blvd,CA,90403
Vons,Chula Vista,2006,0002006X,505 Telegraph Canyon Rd,CA,91910
Vons,Glendora,2007,0002007X,431 E. Arrow Hwy,CA,91740
Vons,Palmdale,2008,0002008X,2616 E. Palmdale,CA,93550
Vons,San Diego,2012,0002012X,7788 Regents Rd,CA,92122
Vons,Whittier,2027,0002027X,15740 Laforge St.,CA,90603
Vons,Lancaster,2029,0002029X,4033 W. Ave. L,CA,93536
Vons,Valencia,2030,0002030X,25850 N. The Old Rd,CA,91381
Vons,Woodland Hills,2031,0002031X,23381 Mulholland Dr,CA,91364
Vons,Bakersfield,2033,0002033X,4500 Coffee Rd.,CA,93308
Vons,Sylmar,2034,0002034X,13730 Foothill Blvd,CA,91342
Vons,Bakersfield,2035,0002035X,5360 Olive Dr,CA,93308
Vons,Reseda,2039,0002039X,19333 Victory Blvd,CA,91335
Vons,San Diego,2040,0002040X,5555 Balboa Ave,CA,92111
Vons,Garden Grove,2041,0002041X,11861 Valley View St.,CA,92845
