keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Zales,Gilbert,12,#12,2196 E William Field Roa,AZ,85296
Zales,Wesley Chapel,13,#13,"28211 Paseo Drive, Unit #180",FL,33544
Zales,Miami,14,#14,20505 South Dixie Hwy S,FL,33189
Zales,Niles,15,#15,5555 Youngstown Warren Rd,OH,44446
Zales,Cedar Park,16,#16,11200 Lakeline Mall Drive,TX,78613
Zales,Plymouth Meeting,17,#17,1150 Plymouth Meeting Mal,PA,19462
Zales,Eatontown,20,#20,Route 35 36,NJ,7724
Zales,Killeen,22,#22,2100 S W S Young Drive,TX,76543
Zales,Wyomissing,23,#23,1665 State Hill Rd,PA,19610
Zales,Lancaster,24,#24,301 Park City Center,PA,17601
Zales,Easton,26,#26,2455 Park Avenue,PA,18045
Zales,Harrisburg,27,#27,I 83 Paxton St,PA,17111
Zales,Rochester,28,#28,1100 Miracle Mile Drive,NY,14623
Zales,Whitehall,29,#29,229 Lehigh Valley Mall,PA,18052
Zales,Orland Park,30,#30,128 Orland Square Mall,IL,60462
Zales,Monroeville,31,#31,200 Monroeville Mall,PA,15146
Zales,Monroeville,31,#31,200 Monroeville Mall,PA,15146
Zales,East Brunswick,32,#32,755 State Route 18,NJ,8816
Zales,East Brunswick,32,#32,755 State Route 18,NJ,8816
Zales,Toledo,33,#33,5001 Monroe Street,OH,43623
Zales,Toledo,33,#33,5001 Monroe Street,OH,43623
Zales,Plantation,37,#37,8000 W Broward Blvd,FL,33388
Zales,Manassas,38,#38,8300 Sudley Road,VA,20109
Zales,Monaca,39,#39,380 Beaver Valley Mall,PA,15061
Zales,Monaca,39,#39,380 Beaver Valley Mall,PA,15061
Zales,Stroudsburg,41,#41,Route 611 454 Stroud Mal,PA,18360
Zales,Youngstown,42,#42,7401 Market Street,OH,44512
Zales,Akron,44,#44,3265 W Market Street,OH,44333
Zales,Victoria,46,#46,7800 N Navarro St,TX,77904
Zales,Selinsgrove,47,#47,Routes 11 15,PA,17870
Zales,Newark,48,#48,715 Christiana Mall,DE,19702
Zales,Cleburne,49,#49,1663 W Henderson,TX,76031
Zales,San Antonio,51,#51,6301 Nw Loop 410,TX,78238
Zales,Clinton Township,52,#52,17420 Hall Road Ste 108,MI,48038
Zales,Langhorne,53,#53,2300 E Lincoln Hwy,PA,19047
Zales,Rochester,57,#57,271 Greece Ridge Center D,NY,14626
Zales,Waco,58,#58,6001 W Waco Drive,TX,76710
Zales,Charlottesville,59,#59,1600 E Rio Road,VA,22901
Zales,Amherst,60,#60,K 2 Boulevard Mall,NY,14226
Zales,Lawrenceville,61,#61,Rte 1 Quakerbridge Rd,NJ,8648
Zales,Vineland,64,#64,3849 S Delsea Drive,NJ,8360
Zales,Erie,66,#66,5800 Peach St K 9,PA,16565
Zales,Davenport,67,#67,320 W Kimberly,IA,52806
Zales,Parma,68,#68,7948 Ridgewood Dr,OH,44129
Zales,Plainfield,69,#69,2499 Futura Parkway,IN,46168
Zales,Staten Island,70,#70,2655 Richmond Avenue,NY,10314
Zales,San Bernardino,76,#76,504 Inland Center,CA,92408
Zales,Johnson City,77,#77,601 635 Harry L Dr Suit,NY,13790
Zales,Bakersfield,78,#78,2701 Ming Ave,CA,93304
Zales,Bakersfield,78,#78,2701 Ming Ave,CA,93304
Zales,Philadelphia,79,#79,2385 W Cheltenham Ave,PA,19150
Zales,Pittsburgh,81,#81,301 South Hills Village,PA,15241
Zales,Baltimore,82,#82,7839 Eastpoint Mall,MD,21224
Zales,Clarksville,83,#83,701 Lewis Clark Pkwy,IN,47129
Zales,San Juan,86,#86,9410 Los Romeros Ave,PR,926
Zales,Lakewood,90,#90,318 E Fairmount Ave,NY,14750
Zales,Hurst,91,#91,1101 Melbourne Rd Ste 3,TX,76053
Zales,Watertown,92,#92,1300 9th Ave Se,SD,57201
Zales,National City,94,#94,3030 Plaza Bonita Rd,CA,91950
Zales,Laredo,95,#95,5300 San Dario Avenue,TX,78041
Zales,Saint Joseph,96,#96,3702 Fredrick Blvd,MO,64506
Zales,Lakewood,97,#97,200 Lakewood Center Mall,CA,90712
Zales,Roseville,99,#99,10 Rosedale Shopping Cent,MN,55113
Zales,Sioux Falls,100,#100,1670 W Empire Mall,SD,57106 6520
Zales,Morgantown,101,#101,9030 Mall Road,WV,26501 8549
Zales,Carlsbad,102,#102,2525 El Camino Real,CA,92008
Zales,West Covina,103,#103,9007 Plaza Drive,CA,91790
Zales,Ventura,105,#105,3301 East Main St,CA,93003
Zales,Vero Beach,108,#108,6200 20th Street,FL,32966
Zales,Vero Beach,108,#108,6200 20th Street,FL,32966
Zales,Greendale,112,#112,5300 S 76th Street,WI,53129
Zales,Des Moines,114,#114,3850 Merle Hay Road,IA,50310
Zales,Deptford,115,#115,1750 Deptford Center Rd,NJ,8096
Zales,Manchester,117,#117,194 Buckland Hills Dr,CT,6040
Zales,Williamsville,119,#119,4545 Transit Road,NY,14221
Zales,Sandy,120,#120,10450 S State St Stek,UT,84070
Zales,Santa Fe,123,#123,4250 Cerrillos Rd,NM,87505
Zales,Richmond Heights,124,#124,691 Richmond Road,OH,44143
Zales,Naples,125,#125,1900 G 2 Tamiami Trail No,FL,34102
Zales,Baltimore,127,#127,6901 Security Blvd,MD,21244
Zales,Akron,129,#129,2000 Brittain Rd,OH,44310
Zales,Charleston,134,#134,3000 Charleston Town Cent,WV,25389
Zales,Hayward,135,#135,1 Southland Mall,CA,94545
Zales,Gastonia,136,#136,246 N New Hope Rd,NC,28054
Zales,Lynnwood,139,#139,3000 184th Street Sw,WA,98037
Zales,Leominster,141,#141,Commercial Road,MA,1453
Zales,San Antonio,142,#142,7400 San Pedro Avenue,TX,78216
Zales,Austin,145,#145,6001 Airport Blvd,TX,78752
Zales,Dover,146,#146,1365 North Dupont Hwy,DE,19901
Zales,North Dartmouth,150,#150,105 B North Dartmouth Mal,MA,2747
Zales,Lake Wales,152,#152,719 Eagle Ridge Drive,FL,33853
Zales,Wilmington,155,#155,4737 Concord Pike,DE,19803
Zales,Wilmington,155,#155,4737 Concord Pike,DE,19803
Zales,Mary Esther,157,#157,300 Mary Esther Blvd,FL,32569
Zales,Jacksonville,158,#158,9501 Arlington Expressway,FL,32225
Zales,Russellville,160,#160,3071 E Main,AR,72801
Zales,North Dartmouth,163,#163,132 Dartmouth Mall,MA,2747
Zales,Vancouver,164,#164,8700 Ne Vancouver Mall Dr,WA,98662
Zales,Odessa,167,#167,B 15 Music City Mall,TX,79762
Zales,Medford,168,#168,1600 N Riverside Ave,OR,97501
Zales,Virginia Beach,170,#170,701 Lynnhaven Pkwy,VA,23452
Zales,San Angelo,175,#175,4001 Southwest Blvd,TX,76904
Zales,Mishawaka,177,#177,6501 N Grape Road,IN,46545
Zales,Mays Landing,179,#179,4403 Black Horse Pike,NJ,8330
Zales,Mays Landing,179,#179,4403 Black Horse Pike,NJ,8330
Zales,Saint Petersburg,180,#180,6836 22nd Avenue N,FL,33710
Zales,Bay Shore,181,#181,1701 Sunrise Hwy,NY,11706
Zales,Scranton,183,#183,100 Scranton Carbondale H,PA,18508
Zales,Altoona,186,#186,Logan Valley Mall 5580 Goods Lane Space #724,PA,16602
Zales,Yorktown Heights,187,#187,650 Lee Boulevard,NY,10598
Zales,Yorktown Heights,187,#187,650 Lee Boulevard,NY,10598
Zales,Ashland,188,#188,500 Winchester Ave,KY,41101
Zales,Overland Park,190,#190,11267 W 95th Street,KS,66214
Zales,Wichita Falls,191,#191,3111 Midwestern Parkway,TX,76308
Zales,Kennewick,193,#193,1321 N Columbia Center B,WA,99336
Zales,Tucson,195,#195,4500 N Oracle Rd,AZ,85705
Zales,Tucson,195,#195,4500 N Oracle Rd,AZ,85705
Zales,Bayamon,196,#196,Comerio Ave Local 4 Hwy,PR,961
Zales,El Paso,198,#198,750 Sunland Park Drive,TX,79912
Zales,El Paso,199,#199,8401 Gateway Blvd W,TX,79925
Zales,Isabela,201,#201,3533 Avenue Militar Ste,PR,662
Zales,Ponce,202,#202,2050 Ponce Bypass,PR,731
Zales,Dubuque,204,#204,555 John F Kennedy Rd,IA,52002
Zales,Blasdell,206,#206,3701 Mckinley Pkwy,NY,14219
Zales,Blasdell,206,#206,3701 Mckinley Pkwy,NY,14219
Zales,Brooklyn,209,#209,5148 Flatbush Ave,NY,11234
Zales,Plymouth Meeting,212,#212,Plymouth Meeting 500 W Germantown Pike. Ste 230,PA,19462
Zales,Pottstown,213,#213,351 Schuylkill Road Ste,PA,19465
Zales,Daly City,214,#214,116 Serramonte Center,CA,94015
Zales,Mesa,215,#215,1445 W Southern Ave,AZ,85202
Zales,Phillipsburg,217,#217,1200 Hwy 22 East,NJ,8865
Zales,York,218,#218,2899 Whiteford Road,PA,17402
Zales,Spokane,219,#219,4750 N Division St,WA,99207
Zales,Orlando,220,#220,8001 S Orange Blossom Tr,FL,32809
Zales,Newport News,221,#221,12300 Jefferson Ave K 5,VA,23602
Zales,Lakeland,222,#222,3800 U S Hwy 98 N,FL,33809
Zales,Bensalem,223,#223,4200 Neshaminy Blvd,PA,19020
Zales,Forestville,224,#224,3393 Donnell Dr,MD,20747
Zales,Acredale,226,#226,4554 Virginia Beach Blvd,VA,23462
Zales,Fresno,227,#227,645 E Shaw Ave,CA,93710
Zales,Westminster,228,#228,1025 Westminster Mall,CA,92683
Zales,Richmond,231,#231,11500 Midlothian Turnpike,VA,23235
Zales,Ocoee,232,#232,9401 W Colonial Dr,FL,34761
