keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Zaxby's,STATESBORO,102,102 #00102 #0102 #102 00102,502 FAIR ROAD,GA,30458
Zaxby's,VALDOSTA,103,103 #00103 #0103 #103 00103,1102 NORTH SAINT AUGUSTINE ROAD,GA,31601
Zaxby's,LAKE PARK,104,104 #00104 #0104 #104 00104,1220 LAKES BOULEVARD,GA,31636
Zaxby's,AUGUSTA,105,105 #00105 #0105 #105 00105,1702 WALTON WAY,GA,30904
Zaxby's,ATHENS,106,106 #00106 #0106 #106 00106,2100 BARNETT SHOALS RD,GA,30605
Zaxby's,VALDOSTA,107,107 #00107 #0107 #107 00107,3250 INNER PERIMETER,GA,31602
Zaxby's,CANTON,108,108 #00108 #0108 #108 00108,1385 RIVERSTONE PKWY,GA,30114
Zaxby's,GREENVILLE,109,109 #00109 #0109 #109 00109,1903 LAURENS ROAD,SC,29607
Zaxby's,MADISON,110,110 #00110 #0110 #110 00110,1930 EATONTON ROAD,GA,30650
Zaxby's,STOCKBRIDGE,111,111 #00111 #0111 #111 00111,29 HWY 138 WEST,GA,30281
Zaxby's,MAULDIN,113,113 #00113 #0113 #113 00113,403 WEST BUTLER RD.,SC,29662
Zaxby's,ATHENS,115,115 #00115 #0115 #115 00115,2255 BROAD STREET,GA,30606
Zaxby's,ATHENS,116,116 #00116 #0116 #116 00116,1800 EPPS BRIDGE PKWY,GA,30606
Zaxby's,ELLENWOOD,117,117 #00117 #0117 #117 00117,235 FAIRVIEW ROAD,GA,30294
Zaxby's,SENECA,118,118 #00118 #0118 #118 00118,1642 SANDIFER BLVD.,SC,29678
Zaxby's,MCDONOUGH,119,119 #00119 #0119 #119 00119,821 HWY 81 EAST,GA,30253
Zaxby's,THOMSON,120,120 #00120 #0120 #120 00120,1929 WASHINGTON RD.,GA,30824
Zaxby's,WOODSTOCK,121,121 #00121 #0121 #121 00121,3030 EAGLE DR.,GA,30189
Zaxby's,LOGANVILLE,122,122 #00122 #0122 #122 00122,4333 ATLANTA HWY,GA,30052
Zaxby's,SNELLVILLE,123,123 #00123 #0123 #123 00123,2735 WEST MAIN ST.,GA,30078
Zaxby's,CROSSVILLE,124,124 #00124 #0124 #124 00124,2540 NORTH MAIN ST,TN,38555
Zaxby's,STATESVILLE,126,126 #00126 #0126 #126 00126,169 TURNERSBURG HWY,NC,28625
Zaxby's,THOMASTON,127,127 #00127 #0127 #127 00127,809 N CHURCH ST,GA,30286
Zaxby's,JACKSBORO,129,129 #00129 #0129 #129 00129,125 MOUNT PERKINS LN.,TN,37757
Zaxby's,BAINBRIDGE,130,130 #00130 #0130 #130 00130,1404 TALLAHASSEE HWY.,GA,39819
Zaxby's,FITZGERALD,131,131 #00131 #0131 #131 00131,128 BENJAMIN HILL DR. W,GA,31750
Zaxby's,HARTWELL,132,132 #00132 #0132 #132 00132,1590 ANDERSON HWY,GA,30643
Zaxby's,LAGRANGE,133,133 #00133 #0133 #133 00133,1488 LAFAYETTE HWY,GA,30241
Zaxby's,POWELL,134,134 #00134 #0134 #134 00134,607 EAST EMORY RD.,TN,37849
Zaxby's,JESUP,135,135 #00135 #0135 #135 00135,1097 N. FIRST ST.,GA,31545
Zaxby's,DILLON,136,136 #00136 #0136 #136 00136,706 GEORGE T RADFORD BLVD,SC,29536
Zaxby's,DALLAS,137,137 #00137 #0137 #137 00137,105 THOMAS B. MURPHY DR.,GA,30132
Zaxby's,GREENVILLE,142,142 #00142 #0142 #142 00142,6169 WHITE HORSE ROAD,SC,29611
Zaxby's,GREENVILLE,143,143 #00143 #0143 #143 00143,824 S. CHURCH STREET,SC,29601
Zaxby's,NEWBERRY,145,145 #00145 #0145 #145 00145,2804 MAIN ST.,SC,29108
Zaxby's,LANCASTER,146,146 #00146 #0146 #146 00146,1210 LANCASTER BYPASS E,SC,29720
Zaxby's,BISHOPVILLE,147,147 #00147 #0147 #147 00147,1042 SUMTER HWY.,SC,29010
Zaxby's,SAVANNAH,148,148 #00148 #0148 #148 00148,8040 WHITE BLUFF RD.,GA,31406
Zaxby's,CEDARTOWN,149,149 #00149 #0149 #149 00149,1595 ROME HWY,GA,30125
Zaxby's,GREENVILLE,150,150 #00150 #0150 #150 00150,3830 E. NORTH STREET,SC,29615
Zaxby's,GAINESVILLE,151,151 #00151 #0151 #151 00151,3710 SW ARCHER ROAD,FL,32608
Zaxby's,STOCKBRIDGE,152,152 #00152 #0152 #152 00152,1480 HUDSON BRIDGE RD.,GA,30281
Zaxby's,SANDERSVILLE,153,153 #00153 #0153 #153 00153,600 SOUTH HARRIS STREET,GA,31082
Zaxby's,LAWRENCEVILLE,154,154 #00154 #0154 #154 00154,541 WEST PIKE STREET,GA,30045
Zaxby's,ATHENS,155,155 #00155 #0155 #155 00155,3704 ATLANTA HWY,GA,30606
Zaxby's,HAMPTON,156,156 #00156 #0156 #156 00156,11131 TARA BLVD.,GA,30228
Zaxby's,ATHENS,157,157 #00157 #0157 #157 00157,820 HULL RD,GA,30601
Zaxby's,LOCUST GROVE,158,158 #00158 #0158 #158 00158,701 MARKET PLACE BLVD,GA,30248
