keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Books-A-Million,Dalton,303,0000303 00303,816 Walnut Square Blvd,GA,30721
Books-A-Million,Janesville,493,0000493 00493,2500 Milton Ave,WI,53545
Books-A-Million,Abilene,105,0000105 00105,4310 Buffalo Gap Road,TX,79606
Books-A-Million,Acworth,106,0000106 00106,3372 North Cobb Parkway,GA,30101
Books-A-Million,Alabaster,108,0000108 00108,300 Colonial Promenade Parkway,AL,35007
Books-A-Million,Albany,111,0000111 00111,2601 Dawson Road,GA,31707
Books-A-Million,Aiken,114,0000114 00114,2441 Whiskey Road Ste 100 & 110,SC,29803
Books-A-Million,Alexandria,116,0000116 00116,3660 North Boulevard,LA,71301
Books-A-Million,Alexandria,118,0000118 00118,6230-I N. Kings Highway,VA,22303
Books-A-Million,Ames,119,0000119 00119,1200 South Duff Ave,IA,50010
Books-A-Million,Anderson,124,0000124 00124,3131 North Main Street,SC,29621
Books-A-Million,Hanover,134,0000134 00134,7000 Arundel Mills Circle,MD,21076
Books-A-Million,Asheboro,139,0000139 00139,130 Randolph Mall,NC,27205
Books-A-Million,Lawrenceville,149,0000149 00149,5900 Sugarloaf Parkkway,GA,30043
Books-A-Million,Auburn,153,0000153 00153,550 Center Street,ME,17402
Books-A-Million,Aurora,155,0000155 00155,195 Fox Valley Center,IL,60504
Books-A-Million,Barboursville,158,0000158 00158,120 Mall Rd.,WV,25504
Books-A-Million,Butler,159,0000159 00159,101 Clearview Circle,PA,16001
Books-A-Million,Bangor,163,0000163 00163,116 Bangor Mall Blvd.,ME,4401
Books-A-Million,Baton Rouge,167,0000167 00167,2380 Towne Center Blvd,LA,70806
Books-A-Million,Beverly Hills,174,0000174 00174,31150 Southfield Road,MI,48026
Books-A-Million,Biloxi,176,0000176 00176,2600 Beach Boulevard,MS,39531
Books-A-Million,Birmingham,180,0000180 00180,757 Brookwood Village,AL,35209
Books-A-Million,Birmingham,181,0000181 00181,5287 Highway 280 South,AL,35242
Books-A-Million,Trussville,216,0000216 00216,1624 Gadsden Highway,AL,35173
Books-A-Million,Bridgeport,222,0000222 00222,2399 Meadowbrook Road,WV,26330
Books-A-Million,Brandon,224,0000224 00224,839 Brandon Town Center Mall,FL,33511
Books-A-Million,Bradenton,225,0000225 00225,4225 14th Street West,FL,34205
Books-A-Million,Bristol,226,0000226 00226,16700 Highlands Center Blvd,VA,24202
Books-A-Million,Brunswick,230,0000230 00230,163 Golden Isles Plaza,GA,31520
Books-A-Million,Branson,231,0000231 00231,985 Branson Hills Parkway,MO,65616
Books-A-Million,Canton,232,0000232 00232,1810 Cumming Highway,GA,30114
Books-A-Million,North Canton,233,0000233 00233,6751 Strip Ave. NW,OH,44720
Books-A-Million,Charleston,234,0000234 00234,2107 Charleston Town Center,WV,25389
Books-A-Million,Charlotte,236,0000236 00236,14151 Steele Creek Road,NC,28273
Books-A-Million,Charleston,239,0000239 00239,2150 Northwoods Boulevard,SC,29406
Books-A-Million,Charleston,240,0000240 00240,212 RHL Boulevard,WV,25309
Books-A-Million,Hixson,242,0000242 00242,5230 Highway 153,TN,37343
Books-A-Million,Chicago,243,0000243 00243,144 S. Clark Street,IL,60603
Books-A-Million,Clarksville,252,0000252 00252,125 South Hampton Drive,TN,37040
Books-A-Million,Clarksville,253,0000253 00253,757 East Lewis and Clark Parkway,IN,47129
Books-A-Million,Cuyahoga Falls,254,0000254 00254,335 Howe Ave,OH,44221
Books-A-Million,Chicago Ridge,255,0000255 00255,444 Chicago Ridge Mall,IL,60415
Books-A-Million,Cleveland,265,0000265 00265,4560 Frontage Road,TN,37312
Books-A-Million,Fairview Park,267,0000267 00267,3230 Westgate,OH,44126
