keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Burlington Coat Factory,Bayamon,2,COA00002,1501 W. Zellman Court,WI,53221-5253
Burlington Coat Factory,Milwaukee,3,COA00003,705 Granite Street,MA,21845-5328
Burlington Coat Factory,Braintree,5,COA00005,40 Route 46 West,NJ,07058-9383
Burlington Coat Factory,Pinebrook,6,COA00006,651 Route 17 South Suite 2,NJ,07652-3113
Burlington Coat Factory,Paramus,7,COA00007,5202 W Baltimore Avenue,PA,19018
Burlington Coat Factory,Clifton Heights,8,COA00008,2199 Nesconset Highway,NY,11790
Burlington Coat Factory,Stony Brook,9,COA00009,840 Scranton-Carbondale,PA,18403-1018
Burlington Coat Factory,Eynon,12,COA000012,3200 Donnell Drive,MD,20747-3290
Burlington Coat Factory,Forestville,13,COA000013,3524 S. Jefferson Street,VA,22041-3119
Burlington Coat Factory,Baileys Crossroads,14,COA000014,5766 Bufford Highway Ne,GA,30340-1207
Burlington Coat Factory,Doraville,15,COA000015,1255 Roswell Road NE,GA,30062-3610
Burlington Coat Factory,Marietta,19,COA000019,30 West Rand Road,IL,60004-3141
Burlington Coat Factory,Arlington Heights,22,COA000022,800 Barnum Ave Cutoff,CT,06614-5028
Burlington Coat Factory,Stratford,23,COA000023,268-276 Bridge Approach,CT,06320-2641
Burlington Coat Factory,New London,24,COA000024,29720 Southfield Road,MI,48076-2088
Burlington Coat Factory,Southfield,25,COA000025,39200 Van Dyke Ave,MI,48313-4617
Burlington Coat Factory,Sterling Heights,26,COA000026,174 W. Roosevelt Rd,IL,60181-3504
Burlington Coat Factory,Villa Park,27,COA000027,321 A. Speen Street,MA,01760-1506
Burlington Coat Factory,Natick,32,COA000032,5100 Park Ave,TN,38117-5706
Burlington Coat Factory,Memphis,34,COA000034,60 Newport Ave Route 1,RI,02916-2068
Burlington Coat Factory,East Providence,35,COA000035,4094 Merle Hay Road,IA,50310-1310
Burlington Coat Factory,Des Moines,41,COA000041,6875 Southland Drive,OH,44130-3608
