keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Claim Jumper,SAN BERNARDINO,1,X001,1905 SOUTH COMMERCENTER EAST,CA,92408
Claim Jumper,SANTA ANA,3,X003,2250 E 17TH ST.,CA,92705
Claim Jumper,BUENA PARK,4,X004,7971 BEACH BLVD.,CA,90620
Claim Jumper,CORONA,5,X005,380 MCKINLEY STREET,CA,92879
Claim Jumper,CARLSBAD,6,X006,5958 AVENIDA ENCINAS,CA,92008
Claim Jumper,TEMECULA,7,X007,29540 RANCHO CALIFORNIA ROAD,CA,92591
Claim Jumper,SAN DIEGO,8,X008,12384 CARMEL MTN.ROAD,CA,92128
Claim Jumper,LA MESA,9,X009,5500 GROSSMONT CENTER DRIVE,CA,91942
Claim Jumper,RANCHO CUCAMONGA,10,X0010,12499 FOOTHILL BLVD.,CA,91739
Claim Jumper,BREA,11,X0011,190 S STATE COLLEGE BLVD.,CA,92821
Claim Jumper,MONROVIA,12,X0012,820 W. HUNTINGTON DRIVE,CA,91016
Claim Jumper,LONG BEACH,13,X0013,6501 E PACIFIC COAST HIGHWAY,CA,90803
Claim Jumper,CONCORD,14,X0014,1981 DIAMOND BLVD.,CA,94520
Claim Jumper,VALENCIA,15,X0015,25740 THE OLD ROAD,CA,91381
Claim Jumper,MISSION VIEJO,16,X0016,27845 SANTA MARGARITA PARKWAY,CA,92691
Claim Jumper,REDMOND,17,X0017,7210 164TH AVE NE,WA,98052
Claim Jumper,NORTHRIDGE,18,X0018,9429 TAMPA AVENUE,CA,91324
Claim Jumper,PHOENIX,19,X0019,3063 W AGUA FRIA FREEWAY,AZ,85027
Claim Jumper,TEMPE,20,X0020,1530 WEST BASELINE ROAD,AZ,85283
Claim Jumper,TUKWILA,21,X0021,5901 SOUTH 180TH ST,WA,98188
Claim Jumper,ROSEVILLE,22,X0022,250 N. HARDING BLVD.,CA,95678
Claim Jumper,SUMMERLIN - LAS VEGAS,23,X0023,1100 S. FORT APACHE ROAD LAS VEGAS,NV,89117
Claim Jumper,RENO,24,X0024,4905 S VIRGINIA ST,NV,89502
Claim Jumper,HENDERSON,25,X0025,601 NORTH GREEN VALLEY PARKWAY,NV,89074
Claim Jumper,COSTA MESA,26,X0026,3333 BRISTOL ST. # 2078,CA,92626
Claim Jumper,LYNNWOOD,27,X0027,18725 33RD AVE. W,WA,98037
Claim Jumper,TUCSON,28,X0028,3761 E BROADWAY,AZ,85716
Claim Jumper,LOMBARD,29,X0029,92 YORKTOWN CENTER MALL,IL,60148
Claim Jumper,FREMONT,31,X0031,43330 PACIFIC COMMONS BOULEVARD,CA,94538
Claim Jumper,VILLAGE OF HOFFMAN ESTATES,32,X0032,2610 NEW SUTTON RD,IL,60192
Claim Jumper,AVONDALE,33,X0033,10125 W MCDOWELL RD,AZ,85392
Claim Jumper,CLACKAMAS,34,X0034,9085 SE SUNNYSIDE RD,OR,97015
Claim Jumper,TUALATIN,35,X0035,18000 SW LOWER BOONES FERRY ROAD,OR,97224
Claim Jumper,THE STRIP - LAS VEGAS,36,X0036,6629 LAS VEGAS BLVD. LAS VEGAS,NV,89119
Claim Jumper,PALMDALE,37,X0037,1247 W AVENUE P,CA,93551
Claim Jumper,FOUNTAIN VALLEY,39,X0039,18050 BROOKHURST STREET,CA,92708
