keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Coach,SCOTTSDALE,1100, 0001100X,7014 E CAMELBACK RD,AZ,85251
Coach,CHANDLER,1101, 0001101X,3111 WEST CHANDLER BLVD.,AZ,85225
Coach,TUCSON,1102, 0001102X,2905 E. SKYLINE DRIVE,AZ,85718
Coach,SCOTTSDALE,1103, 0001103X,15215 N. KIERLAND BLVD.,AZ,85254
Coach,GLENDALE,1104, 0001104X,7700 W. ARROWHEAD TOWNE CENTER,AZ,85308
Coach,GILBERT,1105, 0001105X,2206 E. WILLIAMS FIELD RD.,AZ,85296
Coach,TUCSON,1106, 0001106X,5870 EAST BROADWAY BLVD.,AZ,85711
Coach,ANCHORAGE,1130, 0001130X,320 W 5TH AVENUE,AK,99501
Coach,ROGERS,1140, 0001140X,2203 PROMENADE BLVD.,AR,72758
Coach,LITTLE ROCK,1141, 0001141X,6000 WEST MARKHAM ST.,AR,72205
Coach,BIRMINGHAM,1150, 0001150X,2000 RIVERCHASE GALLERIA,AL,35244
Coach,SAN FRANCISCO,1200, 0001200X,190 POST STREET,CA,94108
Coach,LOS ANGELES,1201, 0001201X,8500 BEVERLY BLVD.  SPACE 718,CA,90048
Coach,BREA,1202, 0001202X,1052 BREA MALL,CA,92821
Coach,LOS ANGELES,1203, 0001203X,10250 SANTA MONICA BLVD. #172,CA,90067
Coach,SAN DIEGO,1205, 0001205X,7007 FRIARS ROAD - SUITE 371,CA,92108
Coach,GLENDALE,1206, 0001206X,2110 GLENDALE GALLERIA,CA,91210
Coach,PALO ALTO,1207, 0001207X,361 STANFORD SHOPPING CENTER,CA,94304
Coach,SACRAMENTO,1208, 0001208X,1689 ARDEN WAY,CA,95815
Coach,COSTA MESA,1209, 0001209X,3333 BRISTOL STREET,CA,92626
Coach,SANTA CLARA,1211, 0001211X,2855 STEVENS CREEK BLVD.,CA,95050
Coach,WALNUT CREEK,1213, 0001213X,1259 BROADWAY PLAZA,CA,94596
Coach,MISSION VIEJO,1216, 0001216X,128 THE SHOPS AT MISSION VIEJO,CA,92691
Coach,SAN FRANCISCO,1217, 0001217X,865 MARKET STREET  SPACE #222,CA,94103
Coach,ROSEVILLE,1218, 0001218X,1151 GALLERIA BLVD.  SPACE 155,CA,95678
Coach,PASADENA,1219, 0001219X,302 EAST COLORADO BLVD  SPACE B-106,CA,91101
Coach,SHERMAN OAKS,1220, 0001220X,14006 RIVERSIDE DRIVE  SUITE 34,CA,91423
Coach,THOUSAND OAKS,1224, 0001224X,434 WEST HILLCREST DRIVE,CA,91360
Coach,LOS ANGELES,1226, 0001226X,189 THE GROVE DRIVE,CA,90036
Coach,RANCHO CUCAMONGA,1227, 0001227X,12443 SOUTH MAINSTREET,CA,91739
Coach,PALM DESERT,1228, 0001228X,73-585 EL PASEO,CA,92260
Coach,BEVERLY HILLS,1229, 0001229X,327 N. RODEO DRIVE,CA,90210
Coach,PLEASANTON,1230, 0001230X,2037 STONERIDGE MALL ROAD SPACE A- 216,CA,94588
