keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Coborn's,Sauk Rapids,2001,#2001,110 First Street South,MN,56379
Coborn's,Foley,2002,#2002,161 Glen Street,MN,55329
Coborn's,St. Cloud,2005,#2005,2118 8th Street North,MN,56303
Coborn's,Little Falls,2006,#2006,1101 2nd Ave NE,MN,56345
Coborn's,Sartell,2007,#2007,707 1st Ave N,MN,56377
Coborn's,Clearwater,2008,#2008,705 County Road 75,MN,55320
Coborn's,Long Prairie,2016,#2016,645 Lake Street S,MN,56347
Coborn's,Mora,2017,#2017,710 Frankie Lane,MN,55051
Coborn's,Princeton,2019,#2019,1100 7th Ave S,MN,55371
Coborn's,Sauk Centre,2022,#2022,214 12th Street,MN,56378
Coborn's,Elk River,2023,#2023,19425 Evans St NW,MN,55330
Coborn's,Huron,2024,#2024,2150 Dakota Ave S,SD,57350
Coborn's,Mitchell,2025,#2025,1800 North Main,SD,57301
Coborn's,Glencoe,2027,#2027,2211 11th Street E,MN,55336
Coborn's,Delano,2028,#2028,1400 Babcock Blvd E,MN,55328
Coborn's,Albertville,2029,#2029,5698 LaCentre Ave NE,MN,55301
Coborn's,Park Rapids,2030,#2030,209 West 1st Street,MN,56470
Coborn's,Big Lake,2031,#2031,711 Rose Dr,MN,55309
Coborn's,Sartell,2032,#2032,1725 Pine Cone Rd S,MN,56377
Coborn's,Ramsey,2033,#2033,7900 Sunwood Dr NW,MN,55303
Coborn's,Pipestone,2034,#2034,1106 8th Street S.W.,MN,56164
Coborn's,St. Cloud,2035,#2035,900 Cooper Ave S,MN,56301
Coborn's,Buffalo,2036,#2036,205 1st Street S,MN,55313
Coborn's,Hastings,2037,#2037,225 33rd St W,MN,55033
Coborn's,New Prague,2038,#2038,200 Alton Avenue SE,MN,56071
Coborn's,St. Joseph,2039,#2039,1500 Elm Street,MN,56374
Coborn's,Belle Plaine,2042,#2042,1010 E Enterprise Dr.,MN,56011
Coborn's,Melrose,2043,#2043,105 East Main Street,MN,56352-1159
Coborn's,Montevideo,2044,#2044,1409 East Hwy 7,MN,56265
Coborn's,Jamestown,2045,#2045,410 10th Street S.E.,ND,58401
