keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Cold Stone Creamery,Phoenix,20014,#20014,12625 N. Tatum Blvd.,AZ,85032
Cold Stone Creamery,Clinton,20177,#20177,7 Glenwood Road,CT,6413
Cold Stone Creamery,Oahu - Honolulu,20190,#20190,848 Ala Lilikoi St,HI,96818
Cold Stone Creamery,Farmington,20226,#20226,4917 E. Main Suite A,NM,87402
Cold Stone Creamery,Chula Vista,20244,#20244,2295 Otay Lakes Road Suite 113,CA,91915
Cold Stone Creamery,Santa Rosa,20298,#20298,2324 Montgomery Drive,CA,95405
Cold Stone Creamery,Carson,20323,#20323,210 E. Sepulveda Blvd.,CA,90745
Cold Stone Creamery,Dayton,20339,#20339,1053 Miamisburg-Centerville Rd,OH,45459
Cold Stone Creamery,Rancho Cucamonga,20365,#20365,12451 N. Main Street,CA,91739
Cold Stone Creamery,Greensboro,20407,#20407,3105 Northline Avenue,NC,27408
Cold Stone Creamery,College Park,20489,#20489,7314 Baltimore Avenue,MD,20740
Cold Stone Creamery,Grandville,20549,#20549,3427 Century Center Street SW,MI,49418
Cold Stone Creamery,Aurora,20560,#20560,4251 S. Buckley Rd. Unit 685/025,CO,80013
Cold Stone Creamery,Savannah,20577,#20577,5500 Abercorn Street Suite 20,GA,31405
Cold Stone Creamery,Kansas City,20623,#20623,7250 NW 86th Terrace,MO,64153
Cold Stone Creamery,Brick,20638,#20638,960 Cedar Bridge Avenue,NJ,8723
Cold Stone Creamery,South Orange,20647,#20647,3 Sloan Street,NJ,7079
Cold Stone Creamery,Stamford,20653,#20653,1109 High Ridge Road,CT,6905
Cold Stone Creamery,Torrance,20691,#20691,17362 Hawthorne Blvd.,CA,90504
Cold Stone Creamery,Kansas City,20764,#20764,1865 Village West Pkwy,KS,66111
Cold Stone Creamery,Gambrills,20845,#20845,1310 Main Chapel Way,MD,21054
Cold Stone Creamery,Chapel Hill,20861,#20861,131 East Franklin Street,NC,27514
