keywords,city,Aggdata Store Number,store_number,address,state,zip_code
CrossFit,Los Angeles,1,1 01 000000001,11174 La Grange Ave,CA,90025
CrossFit,Fayetteville,2,2 02 000000002,2015 Main Dr. Suite C,AR,72704
CrossFit,Morganville,3,3 03 000000003,"165 Amboy Ave, #705",NJ,7751
CrossFit,Whangarei,4,4 04 000000004,17 Finlayson Street,Northland,
CrossFit,Dubuque,5,5 05 000000005,3188 Hughes Court,IA,52003
CrossFit,Arlington,6,6 06 000000006,1110 North Glebe Rd,VA,22201
CrossFit,Ft. Belvior,7,7 07 000000007,5305 Smokehouse CT.,VA,22060
CrossFit,Moorabbin,8,8 08 000000008,16 Coachranes Road,Victoria,
CrossFit,Bartlesville,9,9 09 000000009,3822 SE Kentucky Suite 13-14,OK,74006
CrossFit,Ocoee,10,10 010 0000000010,"880 Macguire Road, Unit B",FL,34761
CrossFit,Signal Hill,11,11 011 0000000011,1480 E 28th St,CA,90755
CrossFit,Karlstad,12,12 012 0000000012,Kolvgatan 1A,Värmlands Län,
CrossFit,Katy,13,13 013 0000000013,3750 S Mason Road,TX,77450
CrossFit,Moscow,14,14 014 0000000014,4/1 Proektiruemy proezd 5231,Moscow,
CrossFit,Sussex,15,15 015 0000000015,208 Church Ave,NB,
CrossFit,Sussex,15,15 015 0000000015,208 Church Ave,NB,E4E
CrossFit,Forest Hill,16,16 016 0000000016,350 Granary Road,MD,21050
CrossFit,Sugar Land,17,17 017 0000000017,5750 New Territory Blvd,TX,77479
CrossFit,Conshohocken,18,18 018 0000000018,701 E Elm St,PA,19428
CrossFit,Hudson,19,19 019 0000000019,"98 Old Derry Road, Unit B1",NH,3051
CrossFit,Toronto,20,20 020 0000000020,225 Sterling Road,ON,
CrossFit,Honolulu,21,21 021 0000000021,1777 Ala Moana Blvd.,HI,96815
CrossFit,Allentown,22,22 022 0000000022,"7562 Penn Dr., Suite 160",PA,18106
CrossFit,Cheshire,23,23 023 0000000023,Reebok Ltd. Pepper Rd,England,
CrossFit,Aliso Viejo,24,24 024 0000000024,"6 Journey, Suite 300",CA,92656
CrossFit,Spring,25,25 025 0000000025,25003 Pitkin Rd.Unit G200,TX,77386
CrossFit,Bullard,26,26 026 0000000026,105 E. Main,TX,75757
CrossFit,Victoria,27,27 027 0000000027,2310 N Navarro Ste B,TX,77901
CrossFit,Beresford,28,28 028 0000000028,"976 rue Principale, suite 2",NB,
CrossFit,Beresford,28,28 028 0000000028,"976 rue Principale, suite 2",NB,E8K 1J8
CrossFit,Escazu,29,29 029 0000000029,"De la antigua rotonda de Multiplaza de EscazÁº, 300 mts norte.  Bodegas Roca Azul Center #12",San Jose,
CrossFit,San Bruno,30,30 030 0000000030,1213 San Mateo Avenue,CA,94066
CrossFit,Sycamore,31,31 031 0000000031,1330 East State Street,IL,60178
CrossFit,Eugene,32,32 032 0000000032,234 West 6th Ave.,OR,97401
CrossFit,Bacliff,33,33 033 0000000033,"4131 Smith St, Ste C",TX,77518
CrossFit,Mornington,34,34 034 0000000034,297 Cambridge Road,Tasmania,
CrossFit,Weymouth,35,35 035 0000000035,242 Libbey Parkway,MA,2189
CrossFit,Toronto,36,36 036 0000000036,390 Queens Quay W. Unit 114,ON,
CrossFit,Bamberg,37,37 037 0000000037,Zollnerstrasse,Bavaria,
CrossFit,Yakima,38,38 038 0000000038,5 N. Naches Ave.,WA,98901
CrossFit,Edgewater,39,39 039 0000000039,"115 River Rd, Pier 112",NJ,7020
CrossFit,Burlington,40,40 040 0000000040,3523 B Walkers Line,ON,
CrossFit,Nieder Olm,41,41 041 0000000041,Oppenheimer Strasse 44,n.a.,
CrossFit,Pleasant Grove,42,42 042 0000000042,1983 W. 680 N. #5,UT,84062
CrossFit,Celbridge,43,43 043 0000000043,Unit 6C,Co. Dublin,
CrossFit,Edmonton,44,44 044 0000000044,7908 88th Ave,AB,
CrossFit,San Juan,45,45 045 0000000045,Las Brisas Building Lot #8 Federico Costas St # 54,,
CrossFit,Austin,46,46 046 0000000046,6711 Burnet Lane,TX,78757
