keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Fantastic Sams,Rancho Cucamonga,14,(#14,9784 19th Street,CA,91737
Fantastic Sams,La Verne,303,(#303,2365 Foothill Blvd,CA,91750
Fantastic Sams,Wichita,313,(#313,"7340 West Central,  Suite 102",KS,67212
Fantastic Sams,Harrisonville,321,(#321,1910 N 291 Highway,MO,64701
Fantastic Sams,Wichita,357,(#357,1656 South Rock Road,KS,67207
Fantastic Sams,Upland,388,(#388,1233 W Foothill Boulevard,CA,91786
Fantastic Sams,Buffalo,404,(#404,"2476 Seneca St.,  Between Harlem and Wildwood",NY,14210
Fantastic Sams,Eau Claire,421,(#421,"2839 Mall Dr,  Suite 2, Near Festival Foods, across from Famous Dave's",WI,54701
Fantastic Sams,Depew,508,(#508,"1310 French Road,  between Bowen and Transit",NY,14043
Fantastic Sams,Louisville,525,(#525,"3932 Taylorsville Road,  NOW OPEN SUNDAYS!",KY,40220
Fantastic Sams,Ventura,533,(#533,"5722 Telephone Rd, Suite 18",CA,93003
Fantastic Sams,Ontario,625,(#625,"4150 E 4th St, Suite F",CA,91764
Fantastic Sams,Wichita,640,(#640,4738 South Broadway,KS,67216
Fantastic Sams,Manchester,651,(#651,14511 Manchester Road,MO,63011
Fantastic Sams,Slidell,775,(#775,1597 Gause Blvd,LA,70458
Fantastic Sams,St. Louis,911,(#911,115 Concord Plaza Shopping Center,MO,63128
Fantastic Sams,St. Louis,944,(#944,11473 Olive Blvd.,MO,63141
Fantastic Sams,Riverside,974,(#974,3267 Arlington Ave,CA,92506
Fantastic Sams,Wichita,977,(#977,2790 South Seneca,KS,67217
Fantastic Sams,Canton,1015,(#1015,44706 Ford Road,MI,48187
Fantastic Sams,Riverside,1019,(#1019,"2955 Van Buren Blvd, Suite D-1",CA,92503
Fantastic Sams,Chippewa Falls,1030,(#1030,"321 E. Prairie View Rd., In the Mega Pick n Save and KMart strip center",WI,54729
Fantastic Sams,Oak Lawn,1107,(#1107,9608 S Pulaski Road,IL,60453
Fantastic Sams,St. Louis,1109,(#1109,2520 Lemay Ferry Road,MO,63125
Fantastic Sams,Torrance,1117,(#1117,"1730 W. Sepulveda, Unit 11",CA,90501
Fantastic Sams,Glendora,1118,(#1118,127 W. Route 66,CA,91740
Fantastic Sams,Barstow,1121,(#1121,971 Armory,CA,92311
Fantastic Sams,Warwick,1387,(#1387,"2404 Warwick Avenue, Meadowbrook Plaza",RI,2889
Fantastic Sams,Williamsville,1421,(#1421,"8220-B Transit Road,  at Maple - Lowe's Plaza",NY,14221
Fantastic Sams,Seattle,1435,(#1435,9624 14th Ave SW,WA,98106
Fantastic Sams,Belleville,1438,(#1438,6044 Rawsonville Road,MI,48111
Fantastic Sams,Harwood Heights,1470,(#1470,4711 N. Harlem Avenue,IL,60706
Fantastic Sams,Florissant,1513,(#1513,#9 Paddock Hills Shop Ctr,MO,63033
Fantastic Sams,Brentwood,1574,(#1574,"330 Franklin Rd, 124, Brentwood Place",TN,37027
Fantastic Sams,Columbia,1575,(#1575,1940 Shady Brook St.,TN,38401
Fantastic Sams,Hermitage,1578,(#1578,4410-B Lebanon Road,TN,37076
Fantastic Sams,Hendersonville,1579,(#1579,1022B Glennbrook Way,TN,37075
Fantastic Sams,Dickson,1580,(#1580,445 Hwy 46 South,TN,37055
