keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Food 4 Less,Vista,70400300,#0300 #300 70400300 70800300,500 Hacienda Dr,CA,92083
Food 4 Less,San Bernardino,70400301,#0301 #301 70400301 70800301,555 W 2Nd St Ste A,CA,92401
Food 4 Less,Moreno Valley,70400302,#0302 #302 70400302 70800302,12200 Perris Blvd,CA,92557
Food 4 Less,Rialto,70400303,#0303 #303 70400303 70800303,1410 W Foothill Blvd,CA,92376
Food 4 Less,Corona,70400304,#0304 #304 70400304 70800304,109 N Mckinley St,CA,92879
Food 4 Less,Victorville,70400305,#0305 #305 70400305 70800305,16266 Bear Valley Rd,CA,92392
Food 4 Less,Lancaster,70400306,#0306 #306 70400306 70800306,44455 Valley Central Way,CA,93536
Food 4 Less,Bell Gardens,70400307,#0307 #307 70400307 70800307,6901 Eastern Ave,CA,90201
Food 4 Less,Cathedral City,70400308,#0308 #308 70400308 70800308,34251 Date Palm Dr,CA,92234
Food 4 Less,Arleta,70400309,#0309 #309 70400309 70800309,9635 Laurel Canyon Blvd,CA,91331
Food 4 Less,Anaheim,70400310,#0310 #310 70400310 70800310,1616 W Katella Ave,CA,92802
Food 4 Less,Redlands,70400311,#0311 #311 70400311 70800311,2070 W Redlands Blvd,CA,92373
Food 4 Less,Barstow,70400312,#0312 #312 70400312 70800312,580 E Virginia Way,CA,92311
Food 4 Less,Hawthorne,70400313,#0313 #313 70400313 70800313,14500 Ocean Gate Ave,CA,90250
Food 4 Less,Panorama City,70400314,#0314 #314 70400314 70800314,8530 Tobias Ave,CA,91402
Food 4 Less,Perris,70400315,#0315 #315 70400315 70800315,1688 N Perris Blvd Ste E,CA,92571
Food 4 Less,Long Beach,70400317,#0317 #317 70400317 70800317,6700 Cherry Ave,CA,90805
Food 4 Less,Lemon Grove,70400318,#0318 #318 70400318 70800318,7420 Broadway,CA,91945
Food 4 Less,Temecula,70400319,#0319 #319 70400319 70800319,26419 Ynez Rd,CA,92591
Food 4 Less,Ontario,70400320,#0320 #320 70400320 70800320,2246 S Euclid Ave,CA,91762
Food 4 Less,Huntington Park,70400321,#0321 #321 70400321 70800321,6920 Santa Fe Ave,CA,90255
Food 4 Less,Los Angeles,70400322,#0322 #322 70400322 70800322,1651 E 103Rd St,CA,90002
Food 4 Less,Van Nuys,70400323,#0323 #323 70400323 70800323,16530 Sherman Way,CA,91406
Food 4 Less,Lynwood,70400324,#0324 #324 70400324 70800324,11245 Long Beach Blvd,CA,90262
Food 4 Less,Canoga Park,70400326,#0326 #326 70400326 70800326,20155 Saticoy St,CA,91306
Food 4 Less,Pasadena,70400327,#0327 #327 70400327 70800327,1329 N Lake Ave,CA,91104
Food 4 Less,Rancho Cucamonga,70400328,#0328 #328 70400328 70800328,12879 Foothill Blvd,CA,91739
Food 4 Less,Riverside,70400329,#0329 #329 70400329 70800329,3900 Chicago Ave,CA,92507
Food 4 Less,Los Angeles,70400330,#0330 #330 70400330 70800330,3654 E Olympic Blvd,CA,90023
Food 4 Less,Chino,70400331,#0331 #331 70400331 70800331,4024 Grand Ave,CA,91710
Food 4 Less,North Hollywood,70400332,#0332 #332 70400332 70800332,8035 Webb Ave,CA,91605
Food 4 Less,San Diego,70400333,#0333 #333 70400333 70800333,7730 Hazard Center Dr,CA,92108
Food 4 Less,Pico Rivera,70400336,#0336 #336 70400336 70800336,8620 Whittier Blvd,CA,90660
Food 4 Less,West Covina,70400337,#0337 #337 70400337 70800337,615 N Azusa Ave,CA,91791
Food 4 Less,El Monte,70400338,#0338 #338 70400338 70800338,11950 Garvey Ave,CA,91732
Food 4 Less,Santa Ana,70400340,#0340 #340 70400340 70800340,2140 S Bristol St,CA,92704
Food 4 Less,Maywood,70400341,#0341 #341 70400341 70800341,4400 Slauson Ave,CA,90270
Food 4 Less,Riverside,70400343,#0343 #343 70400343 70800343,4250 Van Buren Blvd,CA,92503
Food 4 Less,Los Angeles,70400344,#0344 #344 70400344 70800344,5318 S Main St,CA,90037
Food 4 Less,Escondido,70400345,#0345 #345 70400345 70800345,644 N Broadway,CA,92025
