keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Giant Food,Flourtown ,6522,#6522,1874 Bethlehem Pike,PA,19031
Giant Food,Cumberland ,6003,#6003,739 Park St,MD,21501
Giant Food,Lititz ,6004,#6004,1008 Lititz Pike,PA,17543
Giant Food,Mechanicsburg ,6005,#6005,6560 Carlisle Pike,PA,17055
Giant Food,Harrisburg ,6006,#6006,136 Kline Vlg,PA,17104
Giant Food,Plymouth Mtng ,6011,#6011,2450 Chemical Rd,PA,19462
Giant Food,Altoona ,6012,#6012,2032 E Pleasant Valley Rd,PA,16602
Giant Food,Elizabethtown ,6014,#6014,1278 S Market St,PA,17022
Giant Food,Souderton ,6018,#6018,760 Pennsylvania 113,PA,18964
Giant Food,York ,6019,#6019,1200 W Market St,PA,17404
Giant Food,Phoenixville ,6023,#6023,700 Nutt Rd,PA,19460
Giant Food,Lewistown ,6025,#6025,200 S Dorcas St,PA,17044
Giant Food,Lancaster ,6028,#6028,235 N Resevoir St,PA,17602
Giant Food,Lancaster ,6029,#6029,550 Centerville Rd,PA,17601
Giant Food,Pottsville ,6030,#6030,1544 Route 61 Hwy S # 6100,PA,17901
Giant Food,Waynesboro ,6032,#6032,1511 E Main St,PA,17268
Giant Food,Hellerstown ,6043,#6043,1880 Leithsville Rd,PA,18055
Giant Food,West Grove ,6045,#6045,849 West Baltimore St,PA,19390
Giant Food,Bensalem ,6046,#6046,2721 Street Rd,PA,19020
Giant Food,West Reading ,6050,#6050,2641 Shillington Rd,PA,19608
Giant Food,Exton ,6051,#6051,141 E Swedesford Rd,PA,19341
Giant Food,Chambersburg ,6052,#6052,993 Wayne Ave,PA,17201
Giant Food,Hanover ,6054,#6054,455 Eisenhower Dr,PA,17331
Giant Food,Burnham ,6055,#6055,325 West Freedom Ave,PA,17009
Giant Food,Shippensburg ,6061,#6061,397 Baltimore Rd,PA,17257
Giant Food,Yardley ,6062,#6062,700 Stony Hill Rd,PA,19067
Giant Food,Lancaster ,6065,#6065,1360 Columbia Ave,PA,17603
Giant Food,Keyser ,6071,#6071,100 Keyser Mall,WV,26726
Giant Food,State College ,6072,#6072,255 Northland Ctr,PA,16803
Giant Food,Allentown ,6074,#6074,3015 West Emmaus Ave,PA,18103
Giant Food,Winchester ,6078,#6078,1950 S Pleasant Valley Rd,VA,22601
Giant Food,York ,6079,#6079,275 Pauline Dr,PA,17402
Giant Food,Hazleton ,6081,#6081,70 S Locust St,PA,18201
Giant Food,Aldan ,6083,#6083,539 North Oak Ave,PA,19018
Giant Food,Norristown ,6084,#6084,2670 Egypt Rd,PA,19403
Giant Food,York ,6087,#6087,2415 East Market St,PA,17402
Giant Food,Middletown ,6088,#6088,450 East Main St,PA,17057
Giant Food,Horsham ,6089,#6089,314 Horsham Rd,PA,19044
Giant Food,Halifax ,6090,#6090,3777 Peters Mtn,PA,17032
Giant Food,Blue Bell ,6091,#6091,1760 Dekalb Pike,PA,19422
Giant Food,Wind Gap ,6093,#6093,837 Male Rd,PA,18091
Giant Food,Fairless Hills ,6094,#6094,471 Oxford Valley Rd,PA,19030
Giant Food,Southampton ,6095,#6095,466 Second Street Pike,PA,18966
Giant Food,Hershey ,6097,#6097,1250 Cocoa Ave,PA,17033
Giant Food,Cleona ,6098,#6098,481 West Penn Ave,PA,17042
Giant Food,Newport ,6100,#6100,14 Newport Plz,PA,17074
Giant Food,Charles Town,6102,#6102,190 Flowing Spring Rd,WV,25414
Giant Food,Morrisville ,6103,#6103,833 W Trenton Ave,PA,19067
Giant Food,Hagerstown ,6104,#6104,1729 Dual Hwy,MD,21740
Giant Food,Kennett Sq ,6105,#6105,350 Scarlet Rd,PA,19348
Giant Food,New Hope ,6106,#6106,6542 Logan Square,PA,18938
Giant Food,Martinsburg ,6107,#6107,901 Foxcroft Ave,WV,25401
Giant Food,State College ,6111,#6111,2222 E College Ave,PA,16801
Giant Food,Carlisle ,6112,#6112,255s Spring Garden St,PA,17013
Giant Food,West Chester ,6116,#6116,1393 Dilworthtown Xing,PA,19382
Giant Food,Leola ,6117,#6117,10 Newport Rd,PA,17540
Giant Food,Mechanicsburg ,6120,#6120,255 Cumberland Pwky,PA,17055
Giant Food,Berwick ,6121,#6121,50 Briar Creek Plz,PA,18603
Giant Food,Williamsport ,6122,#6122,1969 East 3rd St,PA,17701
Giant Food,Bethlehem ,6123,#6123,2918 Easton Ave,PA,18017
Giant Food,Allentown ,6243,#6243,3070 Tilghman St,PA,18104
Giant Food,Pottsville ,6244,#6244,500 Progress Ave,PA,17901
Giant Food,Reading ,6251,#6251,1100 Rockland St,PA,19604
Giant Food,Harrisburg ,6252,#6252,5074 Jonestown Rd,PA,17112
Giant Food,New Cumberland ,6253,#6253,130 Old York Rd,PA,17070
Giant Food,Easton ,6255,#6255,801 S 25th St,PA,18045
Giant Food,Warminster ,6257,#6257,720 West Street Rd,PA,18974
Giant Food,Brookhaven ,6258,#6258,4801 Edgemont Ave,PA,19015
Giant Food,Danville ,6262,#6262,328 Church St,PA,17821
Giant Food,Enola ,6263,#6263,310 E Penn Dr,PA,17025
Giant Food,North Wales ,6265,#6265,1201 Knapp Rd,PA,19454
Giant Food,Lebanon ,6266,#6266,835 Bowman Ave,PA,17046
Giant Food,Gettysburg ,6267,#6267,44 Natural Springs Rd,PA,17325
Giant Food,Camp Hill ,6269,#6269,3301 Trindle Rd,PA,17011
Giant Food,Shrewsbury ,6271,#6271,14635 Mt Airy Rd,PA,17361
Giant Food,Mcconnellsburg ,6272,#6272,360 South 2nd St,PA,17233
Giant Food,Reading ,6273,#6273,600 E Lancaster Ave,PA,19607
Giant Food,Hagerstown ,6275,#6275,1650 C Wesel Blvd,MD,21740
Giant Food,Huntington ,6277,#6277,7673 Lake Raystown Shopping Center,PA,16652
Giant Food,Aston ,6278,#6278,3400 Concord Rd,PA,19014
Giant Food,Hummelstown ,6279,#6279,277 Hershey Rd,PA,17036
Giant Food,Front Royal ,6282,#6282,409 South St,VA,22630
Giant Food,Winchester ,6283,#6283,400 Gateway Dr,VA,22603
Giant Food,Royersford ,6284,#6284,1824 Ridge Pike,PA,19468
Giant Food,Waynesboro ,6285,#6285,437 Tiffany Dr,VA,22980
Giant Food,Bloomsburg ,6287,#6287,100 Scott Town Ctr,PA,17815
Giant Food,Duncansville ,6288,#6288,221 Glimcher Dr,PA,16635
Giant Food,West Lawn ,6289,#6289,2104 Van Reed Rd,PA,19609
Giant Food,Connellsville ,6290,#6290,800 Vanderbilt Rd,PA,15425
Giant Food,West Chester ,6291,#6291,698 Dowingtown Pike,PA,19380
Giant Food,Altoona ,6292,#6292,200 E Chestnut Ave,PA,16601
Giant Food,York ,6294,#6294,1255 Carlisle Rd,PA,17404
Giant Food,Stephens City ,6295,#6295,240 Elizabeth Dr,VA,22655
Giant Food,Lavale ,6297,#6297,12101 Winchester Rd,MD,21501
Giant Food,Winchester ,6299,#6299,200 Rivendell Ct,VA,22603
Giant Food,Red Lion ,6300,#6300,3175 Cape Horn Rd,PA,17356
Giant Food,Thorndale ,6301,#6301,3477 Lincoln Hwy,PA,19372
Giant Food,Harrisburg ,6304,#6304,4211 Union Deposit Rd,PA,17111
Giant Food,Scranton ,6305,#6305,1600 Nay Aug Ave,PA,18509
Giant Food,Dover ,6306,#6306,2130 Palomino Rd,PA,17315
Giant Food,Eldersburg ,6307,#6307,1320 Londontown Blvd,MD,21784
Giant Food,Indiana ,6308,#6308,1570 Oakland Ave,PA,15701
Giant Food,Broomall ,6309,#6309,2910 Springfield Rd,PA,19008
Giant Food,Dillsburg ,6310,#6310,830 N Us Route 15,PA,17019
Giant Food,Bethlehem ,6313,#6313,2174 West Union Blvd,PA,18018
Giant Food,Coopersburg ,6314,#6314,216 E Fairmont St,PA,18036
Giant Food,Dickson City ,6316,#6316,1550 Main St,PA,18447
Giant Food,Royersford ,6317,#6317,967 S Township Line Rd,PA,19468
Giant Food,Coplay ,6319,#6319,202 Chestnut St,PA,18037
Giant Food,Lehighton ,6320,#6320,1241 Blakeslee Blvd,PA,18235
Giant Food,Nazareth ,6321,#6321,859 Nazareth Pike,PA,18064
Giant Food,Levittown ,6324,#6324,4001 New Falls Rd,PA,19056
Giant Food,Dubois ,6325,#6325,22 Hoover Ave,PA,15801
Giant Food,Lansdowne ,6329,#6329,300 E Baltimore Ave,PA,19050
Giant Food,Easton ,6330,#6330,301 Town Center Blvd,PA,18040
Giant Food,Mechanicsburg ,6331,#6331,5301 Simpson Ferry Rd,PA,17055
Giant Food,Quakertown ,6333,#6333,901 S West End Blvd,PA,18951
Giant Food,Whitehall ,6335,#6335,2641 Macarthur Rd,PA,18052
Giant Food,Bethlehem ,6336,#6336,3926 Linden St,PA,18020
Giant Food,Williamsburg ,6402,#6402,4660 Monticello Ave,VA,23188
