keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Guitar Center,Palm Desert,108,#108,72-399 California 111,CA,92260
Guitar Center,Orange,109,#109,20 City Blvd. West Suite 907D,CA,92868
Guitar Center,Hollywood,110,#110,7425 Sunset Blvd.,CA,90046
Guitar Center,San Marcos,111,#111,712 Center Dr.,CA,92069
Guitar Center,La Mesa,112,#112,8825 Murray Dr.,CA,91942
Guitar Center,Palmdale,113,#113,1011 West Avenue P,CA,93551
Guitar Center,Fountain Valley,114,#114,18361 Euclid St.,CA,92708
Guitar Center,Covina,115,#115,1054 North Azusa Ave.,CA,91722
Guitar Center,Sherman Oaks,116,#116,14209 Ventura Blvd.,CA,91423
Guitar Center,San Bernardino,117,#117,925 E. Hospitality Lane,CA,92408
Guitar Center,Lawndale,118,#118,4525 Artesia Blvd.,CA,90260
Guitar Center,Brea,119,#119,606 S. Brea Blvd.,CA,92821
Guitar Center,Northridge,120,#120,19510 Nordhoff St.,CA,91324
Guitar Center,Rancho Cucamonga,121,#121,"12479 Foothill Blvd., Su.#G/H",CA,91739
Guitar Center,Lake Forest,122,#122,23811 El Toro Rd. #A,CA,92630
Guitar Center,Oxnard,123,#123,1741 E. Ventura Blvd. Suite E,CA,93036
Guitar Center,Bakersfield,124,#124,3428 Ming Avenue,CA,93309
Guitar Center,Pasadena,125,#125,2660 East Colorado Blvd.,CA,91107
Guitar Center,Cerritos,126,#126,11155 183rd Street,CA,90703
Guitar Center,Murrieta,127,#127,24370 Village Walk,CA,92562
Guitar Center,Los Angeles,128,#128,10831 West Pico Blvd.,CA,90064
Guitar Center,Stevenson Ranch,129,#129,24961 Pico Canyon Road,CA,91381
Guitar Center,Las Vegas,131,#131,6587 S. Las Vegas Blvd. STE B172,NV,89119
Guitar Center,Las Vegas,132,#132,8621 W. Charleston Blvd. Suite 150,NV,89117
Guitar Center,Reno,133,#133,6663 S. Virginia St.,NV,89511
Guitar Center,Tempe,151,#151,1245 W. Elliot Rd. Ste. 115,AZ,85284
Guitar Center,Phoenix,152,#152,2750 West Peoria St.,AZ,85029
Guitar Center,Tucson,153,#153,4720 E. Broadway Blvd.,AZ,85711
Guitar Center,Scottsdale,154,#154,8949 East Indian Bend Road,AZ,85250
Guitar Center,Avondale,155,#155,9945 W. McDowell Rd.,AZ,85392
Guitar Center,Mesa,156,#156,1652 S. Val Vista Dr Suite 118,AZ,85204
Guitar Center,Chico,218,#218,2027 Martin Luther King Parkway Suite 119,CA,95928
Guitar Center,San Mateo,219,#219,53 West Hillsdale Blvd.,CA,94403
Guitar Center,San Francisco,220,#220,1645 Van Ness Ave.,CA,94109
Guitar Center,Gilroy,221,#221,6910 Chestnut Street,CA,95020
Guitar Center,Santa Clara,222,#222,3677 Stevens Creek Blvd.,CA,95051
Guitar Center,Visalia,223,#223,4254 S. Mooney Rd,CA,93277
Guitar Center,Emeryville,224,#224,5925 Shellmound St.,CA,94530
Guitar Center,Concord,225,#225,"1280 Willow Pass Rd., Ste. A",CA,94520
Guitar Center,Sacramento,226,#226,2120 Alta Arden Expressway,CA,95825
Guitar Center,Fresno,227,#227,5330 North Blackstone Ave.,CA,93710
Guitar Center,Modesto,228,#228,3440 McHenry Ave. Suite D-20,CA,95350
Guitar Center,Roseville,229,#229,5781B Five Star Blvd,CA,95678
Guitar Center,Seattle,231,#231,530 Westlake Ave.,WA,98109
Guitar Center,Lynnwood,232,#232,18420 33rd Ave West # D,WA,98037
Guitar Center,Tukwila,233,#233,230 Andover Park W.,WA,98188
Guitar Center,Kirkland,234,#234,12608 120th AVE. N.E.,WA,98034
Guitar Center,Tacoma,235,#235,"2919 South 38th Street, Suite A",WA,98409
Guitar Center,Spokane,236,#236,5628 N. Division Street Suite B3,WA,99207
Guitar Center,Bellingham,237,#237,"3960 Meridian St. Suite 101 Bellingham, WA 98226",WA,98226
Guitar Center,Eugene,241,#241,1015 Green Acres Road,OR,97408
Guitar Center,Medford,242,#242,2570 Crater Lake Hwy,OR,97504
Guitar Center,Clackamas,243,#243,13029 Southeast 84th Ave.,OR,97015
Guitar Center,Beaverton,244,#244,9575 S.W. Cascade Ave.,OR,97008
Guitar Center,Keizer,245,#245,6325 Ulali Drive,OR,97303
Guitar Center,Portland,246,#246,1147 Hayden Meadows Dr,OR,97217
Guitar Center,Boise,251,#251,5761 Fairview Avenue,ID,83706
Guitar Center,West Des Moines,310,#310,3910 University Ave,IA,50266
Guitar Center,Davenport,311,#311,3860 Elmore Ave,IA,52807
Guitar Center,Cedar Rapids,312,#312,4651 1st Ave. SE,IA,52402
Guitar Center,Saginaw,320,#320,4360 Bay Road,MI,48602
Guitar Center,Portage,321,#321,5800 S. Westnedge Ave.,MI,49024
Guitar Center,Flint,322,#322,G3640 Miller Rd.,MI,48507
Guitar Center,Allen Park,323,#323,23133 Outer Dr.,MI,48101
Guitar Center,Lansing,324,#324,517 Mall Court,MI,48912
Guitar Center,Bedford Park,330,#330,7250 S. Cicero Ave #C,IL,60620
Guitar Center,Roseville,331,#331,31940 Gratiot Ave. Suite A,MI,48066
Guitar Center,Arlington Heights,332,#332,2375 S. Arlington Heights Rd.,IL,60005
Guitar Center,Southfield,333,#333,29555 Northwestern Hwy.,MI,48034
Guitar Center,Chicago,334,#334,2633 North Halsted,IL,60614
Guitar Center,Canton Township,335,#335,39415 Ford Road,MI,48187
Guitar Center,Villa Park,336,#336,298 W. Roosevelt Rd.,IL,60181
Guitar Center,Highland Park,337,#337,143 South Skokie Valley Road,IL,60035
Guitar Center,Kentwood,338,#338,2891 Radcliff Ave SE,MI,49512
Guitar Center,Roseville,339,#339,1641 West County Road B2,MN,55113
Guitar Center,St. Louis,341,#341,9177 Watson Rd.,MO,63126
Guitar Center,Bridgeton,342,#342,11977 St. Charles Rock Rd.,MO,63044
Guitar Center,Independence,343,#343,3911 Bolger Road,MO,64055
Guitar Center,Springfield,344,#344,3500 S. Glenstone Ave.,MO,65804
