keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Ikea,Baltimore,1,1,8352 Honeygo Blvd.,MD,21236
Ikea,Burbank,2,2,600 N. San Fernando Blvd.,CA,91502
Ikea,Carson,3,3,20700 South Avalon Blvd.,CA,90746
Ikea,College Park,4,4,10100 Baltimore Ave.,MD,20740
Ikea,Conshohocken,5,5,400 Alan Wood Road,PA,19428
Ikea,Costa Mesa,6,6,1475 South Coast Drive,CA,92626
Ikea,Covina,7,7,848 South Barranca Avenue,CA,91791
Ikea,East Palo Alto,9,9,1700 E.Bayshore Rd.,CA,94303
Ikea,Elizabeth,10,10,"Elizabeth Center, 1000 IKEA Dr",NJ,7201
Ikea,Emeryville,11,11,4400 Shellmound St.,CA,94608
Ikea,Houston,12,12,7810 Katy Freeway at Antoine,TX,77024
Ikea,Hicksville,13,13,1100 Broadway Mall,NY,11801
Ikea,New Haven,14,14,450 Sargent Dr,CT,6511
Ikea,Paramus,15,15,100 IKEA Dr.,NJ,7652
Ikea,Pittsburgh,16,16,2001 Park Manor Blvd.,PA,15205
Ikea,San Diego,17,17,2149 Fenton Parkway,CA,92108
Ikea,Schaumburg,18,18,1800 E McConnor Parkway,IL,60173
Ikea,Renton,19,19,601 SW 41st Street,WA,98057
Ikea,Bloomington,20,20,8000 IKEA Way,MN,55425
Ikea,Woodbridge,21,21,2901 Potomac Mills Circle,VA,22192
Ikea,Philadelphia,22,22,2206 S. Columbus Blvd.,PA,19148
Ikea,Tempe,23,23,2110 IKEA Way,AZ,85284
Ikea,Atlanta,24,24,441 16th Street,GA,30363
Ikea,Frisco,25,25,7171 IKEA Drive,TX,75034
Ikea,Bolingbrook,26,26,750 E. Boughton Road,IL,60440
Ikea,Stoughton,27,27,1 IKEA Way,MA,2072
Ikea,West Sacramento,28,28,700 IKEA Court,CA,95605
Ikea,Canton,29,29,41640 Ford Road,MI,48187
Ikea,Round Rock,30,30,1 IKEA Way,TX,78664
Ikea,Draper,31,31,67 West IKEA Way,UT,84020
Ikea,Portland,32,32,10280 North East Cascades Parkway,OR,97220
Ikea,Sunrise,33,33,151 NW 136th Ave,FL,33325
Ikea,Orlando,34,34,4092 Eastgate Drive,FL,32839
Ikea,West Chester,35,35,9500 IKEA Way,OH,45069
Ikea,Brooklyn,36,36,1 Beard Street,NY,11231
Ikea,Charlotte,37,37,8300 IKEA Blvd.,NC,28262
Ikea,Tampa,38,38,1103 N. 22nd Street,FL,33605
Ikea,Centennial,39,39,9800 E. IKEA Way,CO,80112
